municipio,data,confirmado,suspeito,lat,lon,morte,codigo_ibge,populacao_estimada_2019,incidencia,mortalidade
Acari,2020-07-29,45,219,-6.43395,-36.63959,3,240010,11136,404.0948276,26.93965517
Açu,2020-07-29,833,1044,-5.57621,-36.91483,40,240020,58017,1435.786063,68.94530913
Afonso Bezerra,2020-07-29,59,63,-5.50095,-36.50317,6,240030,11035,534.6624377,54.37245129
Água Nova,2020-07-29,7,6,-6.20748,-38.29327,,240040,3252,215.2521525,0
Alexandria,2020-07-29,29,45,-6.40831,-38.01499,3,240050,13577,213.5965235,22.09619209
Almino Afonso,2020-07-29,17,31,-6.15239,-37.76711,,240060,4735,359.0285111,0
Alto do Rodrigues,2020-07-29,253,189,-5.29508,-36.76236,11,240070,14529,1741.344896,75.71064767
Angicos,2020-07-29,87,148,-5.67997,-36.60629,3,240080,11714,742.7010415,25.61038074
Antônio Martins,2020-07-29,3,23,-6.21583,-37.88829,1,240090,7145,41.98740378,13.99580126
Apodi,2020-07-29,1200,214,-5.66309,-37.7982,19,240100,35845,3347.747245,53.00599805
Areia Branca,2020-07-29,674,570,-4.95542,-37.13027,47,240110,27774,2426.730035,169.2230143
Arês,2020-07-29,185,274,-6.19552,-35.17176,6,240120,14306,1293.163708,41.94044457
Baía Formosa,2020-07-29,78,48,-6.37124,-35.00528,3,240140,9271,841.3331895,32.35896883
Baraúna,2020-07-29,332,83,-5.07941,-37.61694,11,240145,28374,1170.085289,38.76788609
Barcelona,2020-07-29,28,8,-5.95042,-35.926,1,240150,3998,700.3501751,25.01250625
Bento Fernandes,2020-07-29,21,9,-5.69366,-35.8213,1,240160,5497,382.0265599,18.19174095
Boa Saúde,2020-07-29,36,41,-6.15681,-35.60446,,240530,10181,353.5998428,0
Bodó,2020-07-29,3,24,-5.98711,-36.41332,,240165,2223,134.9527665,0
Bom Jesus,2020-07-29,94,53,-5.98536,-35.58444,1,240170,10210,920.6660137,9.794319295
Brejinho,2020-07-29,127,83,-6.20412,-35.3654,3,240180,12699,1000.078746,23.62390739
Caiçara do Norte,2020-07-29,78,56,-5.06428,-36.05275,2,240185,6549,1191.02153,30.53901359
Caiçara do Rio do Vento,2020-07-29,60,23,-5.7576,-35.9978,1,240190,3684,1628.664495,27.14440825
Caicó,2020-07-29,881,1405,-6.46037,-37.09819,15,240200,67952,1296.503414,22.07440546
Campo Grande,2020-07-29,43,26,-5.86221,-37.31171,2,240130,9655,445.3650958,20.71465562
Campo Redondo,2020-07-29,132,13,-6.24361,-36.18325,2,240210,11217,1176.785237,17.83007934
Canguaretama,2020-07-29,215,317,-6.37781,-35.13433,15,240220,34276,627.2610573,43.76239935
Caraúbas,2020-07-29,262,94,-5.78784,-37.55911,4,240230,20493,1278.485336,19.5188601
Carnaúba dos Dantas,2020-07-29,28,140,-6.55706,-36.59243,3,240240,8180,342.2982885,36.67481663
Carnaubais,2020-07-29,94,92,-5.34,-36.8305,4,240250,10759,873.6871456,37.17817641
Ceará-Mirim,2020-07-29,650,480,-5.6352,-35.4196,34,240260,73497,884.389839,46.26039158
Cerro Corá,2020-07-29,25,76,-6.04645,-36.34773,1,240270,11179,223.6335987,8.945343948
Coronel Ezequiel,2020-07-29,32,24,-6.38549,-36.21705,,240280,5506,581.1841627,0
Coronel João Pessoa,2020-07-29,6,9,-6.26176,-38.4442,1,240290,4912,122.1498371,20.35830619
Cruzeta,2020-07-29,37,71,-6.41214,-36.78746,2,240300,7998,462.6156539,25.00625156
Currais Novos,2020-07-29,429,362,-6.25708,-36.51196,11,240310,44786,957.8886259,24.56124682
