municipio,data,confirmado,suspeito,lat,lon,morte,codigo_ibge,populacao_estimada_2019,incidencia,mortalidade
Acari,2020-07-03,25,103,-6.43395,-36.63959,1,240010,11136,224.4971264,8.979885057
Açu,2020-07-03,469,414,-5.57621,-36.91483,19,240020,58017,808.3837496,32.74902184
Afonso Bezerra,2020-07-03,51,28,-5.50095,-36.50317,5,240030,11035,462.165836,45.31037608
Água Nova,2020-07-03,1,3,-6.20748,-38.29327,,240040,3252,30.7503075,0
Alexandria,2020-07-03,17,22,-6.40831,-38.01499,2,240050,13577,125.2117552,14.73079473
Almino Afonso,2020-07-03,15,16,-6.15239,-37.76711,,240060,4735,316.7898627,0
Alto do Rodrigues,2020-07-03,199,119,-5.29508,-36.76236,8,240070,14529,1369.674444,55.06228921
Angicos,2020-07-03,78,114,-5.67997,-36.60629,2,240080,11714,665.8698993,17.07358716
Antônio Martins,2020-07-03,3,10,-6.21583,-37.88829,1,240090,7145,41.98740378,13.99580126
Apodi,2020-07-03,789,167,-5.66309,-37.7982,11,240100,35845,2201.143814,30.68768308
Areia Branca,2020-07-03,576,525,-4.95542,-37.13027,42,240110,27774,2073.882048,151.220566
Arês,2020-07-03,112,146,-6.19552,-35.17176,,240120,14306,782.8882986,0
Baía Formosa,2020-07-03,31,31,-6.37124,-35.00528,1,240140,9271,334.3760112,10.78632294
Baraúna,2020-07-03,226,74,-5.07941,-37.61694,9,240145,28374,796.5038415,31.71917953
Barcelona,2020-07-03,18,8,-5.95042,-35.926,,240150,3998,450.2251126,0
Bento Fernandes,2020-07-03,13,7,-5.69366,-35.8213,1,240160,5497,236.4926323,18.19174095
Boa Saúde,2020-07-03,17,30,-6.15681,-35.60446,,240530,10181,166.9777036,0
Bodó,2020-07-03,2,11,-5.98711,-36.41332,,240165,2223,89.96851102,0
Bom Jesus,2020-07-03,63,52,-5.98536,-35.58444,2,240170,10210,617.0421156,19.58863859
Brejinho,2020-07-03,70,58,-6.20412,-35.3654,2,240180,12699,551.2245059,15.7492716
Caiçara do Norte,2020-07-03,49,32,-5.06428,-36.05275,1,240185,6549,748.205833,15.26950679
Caiçara do Rio do Vento,2020-07-03,48,24,-5.7576,-35.9978,1,240190,3684,1302.931596,27.14440825
Caicó,2020-07-03,376,718,-6.46037,-37.09819,7,240200,67952,553.3317636,10.30138922
Campo Grande,2020-07-03,13,7,-5.86221,-37.31171,,240130,9655,134.6452615,0
Campo Redondo,2020-07-03,51,8,-6.24361,-36.18325,,240210,11217,454.6670233,0
