municipio,data,confirmado,suspeito,lat,lon,morte,codigo_ibge,populacao_estimada_2019,incidencia,mortalidade
Acari,2020-07-01,25,102,-6.43395,-36.63959,1,240010,11136,224.4971264,8.979885057
Açu,2020-07-01,448,404,-5.57621,-36.91483,17,240020,58017,772.1874623,29.30175638
Afonso Bezerra,2020-07-01,49,26,-5.50095,-36.50317,4,240030,11035,444.0416855,36.24830086
Água Nova,2020-07-01,1,3,-6.20748,-38.29327,,240040,3252,30.7503075,0
Alexandria,2020-07-01,16,23,-6.40831,-38.01499,2,240050,13577,117.8463578,14.73079473
Almino Afonso,2020-07-01,14,15,-6.15239,-37.76711,,240060,4735,295.6705385,0
Alto do Rodrigues,2020-07-01,194,119,-5.29508,-36.76236,6,240070,14529,1335.260513,41.29671691
Angicos,2020-07-01,78,104,-5.67997,-36.60629,2,240080,11714,665.8698993,17.07358716
Antônio Martins,2020-07-01,3,10,-6.21583,-37.88829,1,240090,7145,41.98740378,13.99580126
Apodi,2020-07-01,772,148,-5.66309,-37.7982,9,240100,35845,2153.717394,25.10810434
Areia Branca,2020-07-01,564,532,-4.95542,-37.13027,38,240110,27774,2030.676172,136.8186073
Arês,2020-07-01,94,142,-6.19552,-35.17176,,240120,14306,657.0669649,0
Baía Formosa,2020-07-01,30,32,-6.37124,-35.00528,1,240140,9271,323.5896883,10.78632294
Baraúna,2020-07-01,222,73,-5.07941,-37.61694,9,240145,28374,782.4064284,31.71917953
Barcelona,2020-07-01,14,8,-5.95042,-35.926,,240150,3998,350.1750875,0
Bento Fernandes,2020-07-01,11,8,-5.69366,-35.8213,,240160,5497,200.1091504,0
Boa Saúde,2020-07-01,14,30,-6.15681,-35.60446,,240530,10181,137.51105,0
Bodó,2020-07-01,2,11,-5.98711,-36.41332,,240165,2223,89.96851102,0
Bom Jesus,2020-07-01,60,49,-5.98536,-35.58444,2,240170,10210,587.6591577,19.58863859
Brejinho,2020-07-01,68,58,-6.20412,-35.3654,1,240180,12699,535.4752343,7.874635798
Caiçara do Norte,2020-07-01,47,32,-5.06428,-36.05275,1,240185,6549,717.6668194,15.26950679
Caiçara do Rio do Vento,2020-07-01,48,21,-5.7576,-35.9978,1,240190,3684,1302.931596,27.14440825
Caicó,2020-07-01,355,714,-6.46037,-37.09819,5,240200,67952,522.427596,7.358135154
Campo Grande,2020-07-01,13,7,-5.86221,-37.31171,,240130,9655,134.6452615,0
Campo Redondo,2020-07-01,49,5,-6.24361,-36.18325,,240210,11217,436.8369439,0
Canguaretama,2020-07-01,146,156,-6.37781,-35.13433,11,240220,34276,425.9540203,32.09242619
Caraúbas,2020-07-01,149,82,-5.78784,-37.55911,,240230,20493,727.0775387,0
Carnaúba dos Dantas,2020-07-01,21,100,-6.55706,-36.59243,2,240240,8180,256.7237164,24.44987775
Carnaubais,2020-07-01,62,40,-5.34,-36.8305,2,240250,10759,576.2617344,18.58908821
Ceará-Mirim,2020-07-01,474,384,-5.6352,-35.4196,24,240260,73497,644.9242826,32.65439406
Cerro Corá,2020-07-01,14,53,-6.04645,-36.34773,1,240270,11179,125.2348153,8.945343948
Coronel Ezequiel,2020-07-01,20,8,-6.38549,-36.21705,,240280,5506,363.2401017,0
Coronel João Pessoa,2020-07-01,6,8,-6.26176,-38.4442,1,240290,4912,122.1498371,20.35830619
Cruzeta,2020-07-01,19,36,-6.41214,-36.78746,1,240300,7998,237.5593898,12.50312578
Currais Novos,2020-07-01,189,209,-6.25708,-36.51196,4,240310,44786,422.0068771,8.931362479
Doutor Severiano,2020-07-01,16,6,-6.09469,-38.37369,1,240320,7076,226.11645,14.13227812
Encanto,2020-07-01,20,13,-6.11311,-38.30996,2,240330,5638,354.7357219,35.47357219
Equador,2020-07-01,7,7,-6.94464,-36.71772,,240340,6045,115.7981803,0
