municipio,data,confirmado,suspeito,lat,lon,morte,codigo_ibge,populacao_estimada_2019,incidencia,mortalidade
Acari,2020-07-06,25,123,-6.43395,-36.63959,1,240010,11136,224.4971264,8.979885057
Açu,2020-07-06,497,444,-5.57621,-36.91483,22,240020,58017,856.645466,37.91992002
Afonso Bezerra,2020-07-06,51,43,-5.50095,-36.50317,5,240030,11035,462.165836,45.31037608
Água Nova,2020-07-06,1,3,-6.20748,-38.29327,,240040,3252,30.7503075,0
Alexandria,2020-07-06,17,33,-6.40831,-38.01499,2,240050,13577,125.2117552,14.73079473
Almino Afonso,2020-07-06,15,19,-6.15239,-37.76711,,240060,4735,316.7898627,0
Alto do Rodrigues,2020-07-06,202,125,-5.29508,-36.76236,8,240070,14529,1390.322803,55.06228921
Angicos,2020-07-06,78,123,-5.67997,-36.60629,2,240080,11714,665.8698993,17.07358716
Antônio Martins,2020-07-06,3,12,-6.21583,-37.88829,1,240090,7145,41.98740378,13.99580126
Apodi,2020-07-06,830,137,-5.66309,-37.7982,13,240100,35845,2315.525178,36.26726182
Areia Branca,2020-07-06,583,541,-4.95542,-37.13027,42,240110,27774,2099.085476,151.220566
Arês,2020-07-06,122,165,-6.19552,-35.17176,,240120,14306,852.7890396,0
Baía Formosa,2020-07-06,33,32,-6.37124,-35.00528,1,240140,9271,355.9486571,10.78632294
Baraúna,2020-07-06,229,77,-5.07941,-37.61694,9,240145,28374,807.0769014,31.71917953
Barcelona,2020-07-06,18,8,-5.95042,-35.926,,240150,3998,450.2251126,0
Bento Fernandes,2020-07-06,13,8,-5.69366,-35.8213,1,240160,5497,236.4926323,18.19174095
Boa Saúde,2020-07-06,18,34,-6.15681,-35.60446,,240530,10181,176.7999214,0
Bodó,2020-07-06,2,11,-5.98711,-36.41332,,240165,2223,89.96851102,0
Bom Jesus,2020-07-06,70,46,-5.98536,-35.58444,2,240170,10210,685.6023506,19.58863859
Brejinho,2020-07-06,79,60,-6.20412,-35.3654,2,240180,12699,622.096228,15.7492716
Caiçara do Norte,2020-07-06,52,34,-5.06428,-36.05275,2,240185,6549,794.0143533,30.53901359
Caiçara do Rio do Vento,2020-07-06,49,21,-5.7576,-35.9978,1,240190,3684,1330.076004,27.14440825
Caicó,2020-07-06,401,813,-6.46037,-37.09819,9,240200,67952,590.1224394,13.24464328
Campo Grande,2020-07-06,13,7,-5.86221,-37.31171,,240130,9655,134.6452615,0
Campo Redondo,2020-07-06,56,7,-6.24361,-36.18325,,240210,11217,499.2422216,0
Canguaretama,2020-07-06,154,195,-6.37781,-35.13433,13,240220,34276,449.2939666,37.92741277
Caraúbas,2020-07-06,161,82,-5.78784,-37.55911,,240230,20493,785.634119,0
Carnaúba dos Dantas,2020-07-06,24,119,-6.55706,-36.59243,2,240240,8180,293.398533,24.44987775
Carnaubais,2020-07-06,69,49,-5.34,-36.8305,2,240250,10759,641.3235431,18.58908821
Ceará-Mirim,2020-07-06,511,429,-5.6352,-35.4196,26,240260,73497,695.2664735,35.37559356
Cerro Corá,2020-07-06,14,54,-6.04645,-36.34773,1,240270,11179,125.2348153,8.945343948
Coronel Ezequiel,2020-07-06,20,17,-6.38549,-36.21705,,240280,5506,363.2401017,0
Coronel João Pessoa,2020-07-06,6,8,-6.26176,-38.4442,1,240290,4912,122.1498371,20.35830619
Cruzeta,2020-07-06,22,47,-6.41214,-36.78746,1,240300,7998,275.0687672,12.50312578
Currais Novos,2020-07-06,217,255,-6.25708,-36.51196,6,240310,44786,484.5264145,13.39704372
Doutor Severiano,2020-07-06,17,6,-6.09469,-38.37369,1,240320,7076,240.2487281,14.13227812
Encanto,2020-07-06,22,13,-6.11311,-38.30996,3,240330,5638,390.2092941,53.21035828
Equador,2020-07-06,7,8,-6.94464,-36.71772,,240340,6045,115.7981803,0
Espírito Santo,2020-07-06,81,38,-6.33285,-35.31054,3,240350,10505,771.0613993,28.5578296
Extremoz,2020-07-06,357,339,-5.70592,-35.30274,17,240360,28583,1248.994157,59.47591226
Felipe Guerra,2020-07-06,83,10,-5.59829,-37.69658,1,240370,5985,1386.800334,16.70843776
Fernando Pedroza,2020-07-06,18,32,-5.69707,-36.53091,,240375,3054,589.3909627,0
Florânia,2020-07-06,42,160,-6.12226,-36.8103,2,240380,9116,460.7283896,21.93944713
Francisco Dantas,2020-07-06,3,21,-6.08879,-38.12427,,240390,2824,106.2322946,0
Frutuoso Gomes,2020-07-06,5,3,-6.15907,-37.84093,,240400,4068,122.9105211,0
Galinhos,2020-07-06,30,6,-5.09233,-36.27439,,240410,2786,1076.812635,0
Goianinha,2020-07-06,253,178,-6.26803,-35.20846,6,240420,26328,960.9541173,22.78942571
Governador Dix-Sept Rosado,2020-07-06,61,77,-5.45588,-37.51945,,240430,13037,467.8990565,0
Grossos,2020-07-06,175,164,-4.98204,-37.15164,4,240440,10383,1685.447366,38.52451122
Guamaré,2020-07-06,237,305,-5.10822,-36.31985,10,240450,15659,1513.50661,63.86103838
Ielmo Marinho,2020-07-06,81,77,-5.82138,-35.55238,1,240460,13766,588.4062182,7.264274299
Ipanguaçu,2020-07-06,80,99,-5.50835,-36.85966,8,240470,15491,516.4288942,51.64288942
Ipueira,2020-07-06,5,7,-6.8169,-37.1982,,240480,2241,223.1146809,0
Itajá,2020-07-06,107,53,-5.63128,-36.86387,1,240485,7548,1417.594065,13.24854266
Itaú,2020-07-06,17,14,-5.84451,-37.99029,,240490,5878,289.2140184,0
Jaçanã,2020-07-06,91,18,-6.42742,-36.20408,,240500,9133,996.3867294,0
Jandaíra,2020-07-06,47,16,-5.357,-36.12584,1,240510,6878,683.3381797,14.53911021
Janduís,2020-07-06,12,26,-6.01718,-37.40641,1,240520,5268,227.7904328,18.98253607
Japi,2020-07-06,14,25,-6.46597,-35.94585,,240540,5055,276.9535114,0
Jardim de Angicos,2020-07-06,3,6,-5.65155,-35.97139,,240550,2612,114.8545176,0
Jardim de Piranhas,2020-07-06,85,218,-6.37882,-37.35209,3,240560,14837,572.8920941,20.21972097
Jardim do Seridó,2020-07-06,51,52,-6.58731,-36.77304,2,240570,12396,411.4230397,16.13423685
João Câmara,2020-07-06,198,85,-5.54933,-35.81469,2,240580,34955,566.442569,5.721642111
João Dias,2020-07-06,1,3,-6.27803,-37.79739,,240590,2654,37.67897513,0
José da Penha,2020-07-06,3,5,-6.31884,-38.28444,,240600,5951,50.41169551,0
Jucurutu,2020-07-06,96,283,-6.03196,-37.01604,4,240610,18295,524.7335338,21.86389724
Jundiá,2020-07-06,19,10,-6.26701,-35.32768,,240615,3898,487.429451,0
Lagoa d'Anta,2020-07-06,58,63,-6.39137,-35.59791,3,240620,6769,856.8473925,44.31969272
Lagoa de Pedras,2020-07-06,17,25,-6.14635,-35.43342,1,240630,7544,225.3446448,13.25556734
Lagoa de Velhos,2020-07-06,43,2,-6.00234,-35.86802,1,240640,2732,1573.938507,36.60322108
Lagoa Nova,2020-07-06,18,10,-6.09447,-36.47148,1,240650,15614,115.2811579,6.404508774
Lagoa Salgada,2020-07-06,34,51,-6.12244,-35.48143,,240660,8245,412.371134,0
Lajes,2020-07-06,47,157,-5.70114,-36.24449,1,240670,11277,416.7775117,8.867606633
Lajes Pintadas,2020-07-06,58,22,-6.14999,-36.1168,1,240680,4759,1218.743433,21.01281782
Lucrécia,2020-07-06,5,7,-6.11528,-37.81364,,240690,3996,125.1251251,0
Luís Gomes,2020-07-06,16,21,-6.4133,-38.38689,1,240700,10116,158.1652827,9.88533017
Macaíba,2020-07-06,569,1977,-5.85975,-35.3498,27,240710,80792,704.2776513,33.41915041
Macau,2020-07-06,203,198,-5.11261,-36.63449,15,240720,31814,638.0838625,47.14905388
Major Sales,2020-07-06,2,18,-6.40682,-38.32301,1,240725,4020,49.75124378,24.87562189
Marcelino Vieira,2020-07-06,23,48,-6.29336,-38.16689,,240730,8347,275.5481011,0
Martins,2020-07-06,12,6,-6.09002,-37.91357,,240740,8725,137.5358166,0
Maxaranguape,2020-07-06,86,37,-5.51832,-35.25922,1,240750,12371,695.1741977,8.083420904
Messias Targino,2020-07-06,14,8,-6.07799,-37.51304,1,240760,4601,304.2816779,21.73440556
Montanhas,2020-07-06,67,23,-6.48446,-35.28537,4,240770,11251,595.502622,35.55239534
Monte Alegre,2020-07-06,131,97,-6.07245,-35.33661,2,240780,22451,583.4929402,8.908289163
Monte das Gameleiras,2020-07-06,8,22,-6.44027,-35.78497,,240790,2105,380.0475059,0
Mossoró,2020-07-06,3442,2330,-5.18784,-37.34422,137,240800,297378,1157.449441,46.06931246
Natal,2020-07-06,13348,24700,-5.79544,-35.21151,526,240810,884122,1509.746392,59.49405173
Nísia Floresta,2020-07-06,191,147,-6.05176,-35.22306,4,240820,27602,691.9788421,14.4917035
Nova Cruz,2020-07-06,287,295,-6.47523,-35.42884,15,240830,37343,768.5510002,40.16817074
Olho-d'Água do Borges,2020-07-06,17,2,-5.95575,-37.70363,,240840,4258,399.2484735,0
Ouro Branco,2020-07-06,21,5,-6.70336,-36.94578,,240850,4812,436.4089776,0
Paraná,2020-07-06,7,3,-6.48408,-38.31216,,240860,4254,164.5510108,0
Paraú,2020-07-06,21,19,-5.77734,-37.1016,1,240870,3768,557.3248408,26.53927813
Parazinho,2020-07-06,45,49,-5.22691,-35.83942,,240880,5237,859.2705748,0
Parelhas,2020-07-06,47,208,-6.69242,-36.65892,,240890,21477,218.8387577,0
Parnamirim,2020-07-06,3526,5051,-5.90543,-35.2612,89,240325,261469,1348.534626,34.03845198
Passa e Fica,2020-07-06,47,20,-6.43547,-35.64359,1,240910,13277,353.9956315,7.531821948
Passagem,2020-07-06,21,12,-6.2787,-35.37552,,240920,3089,679.8316607,0
Patu,2020-07-06,16,18,-6.10194,-37.6373,1,240930,12755,125.4410035,7.840062721
Pau dos Ferros,2020-07-06,60,87,-6.1119,-38.20615,1,240940,30394,197.407383,3.290123051
Pedra Grande,2020-07-06,32,12,-5.15087,-35.87696,,240950,3237,988.5696633,0
Pedra Preta,2020-07-06,6,7,-5.58167,-36.10432,,240960,2458,244.100895,0
Pedro Avelino,2020-07-06,13,14,-5.5205,-36.38722,,240970,6716,193.5675998,0
Pedro Velho,2020-07-06,33,69,-6.43889,-35.22165,,240980,14806,222.8826152,0
Pendências,2020-07-06,201,164,-5.25664,-36.71899,11,240990,15129,1328.574261,72.70804415
