municipio,data,confirmado,suspeito,lat,lon,morte,codigo_ibge,populacao_estimada_2019,incidencia,mortalidade
Acari,2020-06-29,24,99,-6.433949999999925,-36.63958999999994,1,240010.0,11136.0,215.51724137931035,8.979885057471265
Açu,2020-06-29,423,396,-5.576209999999946,-36.91482999999994,15,240020.0,58017.0,729.096644087078,25.854490925073687
Afonso Bezerra,2020-06-29,44,25,-5.500949999999932,-36.50316999999996,4,240030.0,11035.0,398.73130946986856,36.248300860897146
Água Nova,2020-06-29,1,1,-6.207479999999976,-38.29326999999995,0,240040.0,3252.0,30.75030750307503,0.0
Alexandria,2020-06-29,15,18,-6.408309999999973,-38.01498999999996,2,240050.0,13577.0,110.48096044781616,14.730794726375487
Almino Afonso,2020-06-29,14,15,-6.1523899999999685,-37.767109999999946,0,240060.0,4735.0,295.6705385427666,0.0
Alto do Rodrigues,2020-06-29,177,95,-5.295079999999928,-36.76235999999994,6,240070.0,14529.0,1218.2531488746645,41.296716911005575
Angicos,2020-06-29,77,92,-5.679969999999969,-36.60628999999994,2,240080.0,11714.0,657.3331056855045,17.073587160662456
Antônio Martins,2020-06-29,3,7,-6.215829999999926,-37.888289999999984,1,240090.0,7145.0,41.98740377886634,13.995801259622114
Apodi,2020-06-29,740,113,-5.663089999999952,-37.79819999999995,9,240100.0,35845.0,2064.4441344678476,25.108104338122473
Areia Branca,2020-06-29,559,516,-4.955419999999948,-37.13026999999994,38,240110.0,27774.0,2012.6737236264132,136.81860733059696
Arês,2020-06-29,90,118,-6.195519999999932,-35.17175999999995,0,240120.0,14306.0,629.1066685306864,0.0
Baía Formosa,2020-06-29,27,32,-6.371239999999943,-35.00527999999996,1,240140.0,9271.0,291.2307194477403,10.7863229425089
Baraúna,2020-06-29,217,77,-5.079409999999939,-37.616939999999936,9,240145.0,28374.0,764.7846620145203,31.71917953055614
Barcelona,2020-06-29,13,8,-5.950419999999951,-35.92599999999993,0,240150.0,3998.0,325.16258129064533,0.0
Bento Fernandes,2020-06-29,10,7,-5.693659999999966,-35.82129999999995,0,240160.0,5497.0,181.91740949608877,0.0
Boa Saúde,2020-06-29,14,26,-6.1568099999999495,-35.60445999999996,0,240530.0,10181.0,137.5110499950889,0.0
Bodó,2020-06-29,2,11,-5.987109999999973,-36.413319999999935,0,240165.0,2223.0,89.9685110211426,0.0
Bom Jesus,2020-06-29,56,39,-5.985359999999957,-35.584439999999965,2,240170.0,10210.0,548.4818805093046,19.58863858961802
Brejinho,2020-06-29,59,56,-6.204119999999932,-35.365399999999966,1,240180.0,12699.0,464.603512087566,7.874635798094339
Caiçara do Norte,2020-06-29,42,30,-5.0642799999999415,-36.052749999999946,1,240185.0,6549.0,641.319285387082,15.269506794930523
Caiçara do Rio do Vento,2020-06-29,46,15,-5.757599999999968,-35.997799999999984,1,240190.0,3684.0,1248.6427795874051,27.14440825190011
Caicó,2020-06-29,310,676,-6.460369999999955,-37.09818999999993,5,240200.0,67952.0,456.20437956204375,7.358135154226513
Campo Grande,2020-06-29,13,3,-5.862209999999948,-37.31170999999996,0,240130.0,9655.0,134.6452615225272,0.0
Campo Redondo,2020-06-29,48,5,-6.243609999999932,-36.18324999999993,0,240210.0,11217.0,427.9219042524739,0.0
Canguaretama,2020-06-29,144,139,-6.377809999999952,-35.134329999999984,9,240220.0,34276.0,420.1190337262225,26.257439607888905
Caraúbas,2020-06-29,142,61,-5.787839999999959,-37.559109999999976,0,240230.0,20493.0,692.9195334992437,0.0
Carnaúba dos Dantas,2020-06-29,21,101,-6.557059999999979,-36.59242999999998,2,240240.0,8180.0,256.7237163814181,24.449877750611243
Carnaubais,2020-06-29,62,34,-5.339999999999974,-36.830499999999965,2,240250.0,10759.0,576.2617343619296,18.589088205223533
Ceará-Mirim,2020-06-29,450,364,-5.6351999999999425,-35.419599999999946,24,240260.0,73497.0,612.2698885668802,32.65439405690028
Cerro Corá,2020-06-29,12,47,-6.046449999999938,-36.34772999999996,1,240270.0,11179.0,107.34412738169783,8.94534394847482
Coronel Ezequiel,2020-06-29,20,4,-6.385489999999948,-36.217049999999965,0,240280.0,5506.0,363.2401017072285,0.0
Coronel João Pessoa,2020-06-29,6,8,-6.261759999999981,-38.44419999999997,1,240290.0,4912.0,122.14983713355048,20.35830618892508
Cruzeta,2020-06-29,16,30,-6.412139999999965,-36.78745999999995,0,240300.0,7998.0,200.0500125031258,0.0
Currais Novos,2020-06-29,172,202,-6.2570799999999736,-36.51195999999993,4,240310.0,44786.0,384.04858661188763,8.931362479346223
Doutor Severiano,2020-06-29,16,6,-6.094689999999957,-38.373689999999954,1,240320.0,7076.0,226.11644997173542,14.132278123233464
Encanto,2020-06-29,20,13,-6.113109999999947,-38.309959999999926,2,240330.0,5638.0,354.735721887194,35.4735721887194
Equador,2020-06-29,7,4,-6.944639999999938,-36.71771999999993,0,240340.0,6045.0,115.79818031430935,0.0
Espírito Santo,2020-06-29,62,28,-6.332849999999951,-35.310539999999946,1,240350.0,10505.0,590.1951451689672,9.51927653498334
Extremoz,2020-06-29,307,313,-5.705919999999932,-35.302739999999964,10,240360.0,28583.0,1074.0650036735124,34.98583073855089
Felipe Guerra,2020-06-29,81,7,-5.598289999999963,-37.696579999999976,1,240370.0,5985.0,1353.3834586466166,16.70843776106934
Fernando Pedroza,2020-06-29,17,26,-5.6970699999999415,-36.53090999999995,0,240375.0,3054.0,556.6470203012442,0.0
Florânia,2020-06-29,32,99,-6.122259999999926,-36.810299999999984,0,240380.0,9116.0,351.03115401491885,0.0
Francisco Dantas,2020-06-29,3,21,-6.0887899999999595,-38.12426999999997,0,240390.0,2824.0,106.23229461756375,0.0
Frutuoso Gomes,2020-06-29,4,2,-6.159069999999929,-37.840929999999965,0,240400.0,4068.0,98.32841691248771,0.0
Galinhos,2020-06-29,23,6,-5.092329999999947,-36.274389999999975,0,240410.0,2786.0,825.5563531945442,0.0
