municipio,data,confirmado,suspeito,lat,lon
Acari,2020-05-29,3,92,-6.43395,-36.63959
Açu,2020-05-29,113,198,-5.57621,-36.91483
Afonso Bezerra,2020-05-29,10,5,-5.50095,-36.50317
Água Nova,2020-05-29,,1,-6.20748,-38.29327
Alexandria,2020-05-29,5,2,-6.40831,-38.01499
Almino Afonso,2020-05-29,1,12,-6.15239,-37.76711
Alto do Rodrigues,2020-05-29,37,58,-5.29508,-36.76236
Angicos,2020-05-29,5,24,-5.67997,-36.60629
Antônio Martins,2020-05-29,2,5,-6.21583,-37.88829
Apodi,2020-05-29,208,111,-5.66309,-37.7982
Areia Branca,2020-05-29,198,568,-4.95542,-37.13027
Arês,2020-05-29,5,19,-6.19552,-35.17176
Baía Formosa,2020-05-29,4,7,-6.37124,-35.00528
Baraúna,2020-05-29,72,100,-5.07941,-37.61694
Barcelona,2020-05-29,2,5,-5.95042,-35.926
Bento Fernandes,2020-05-29,2,2,-5.69366,-35.8213
Bodó,2020-05-29,,11,-5.98711,-36.41332
Bom Jesus,2020-05-29,4,12,-5.98536,-35.58444
Brejinho,2020-05-29,7,16,-6.20412,-35.3654
Caiçara do Norte,2020-05-29,5,6,-5.06428,-36.05275
Caiçara do Rio do Vento,2020-05-29,7,15,-5.7576,-35.9978
Caicó,2020-05-29,34,297,-6.46037,-37.09819
Campo Grande,2020-05-29,2,4,-5.86221,-37.31171
Campo Redondo,2020-05-29,4,9,-6.24361,-36.18325
Canguaretama,2020-05-29,52,41,-6.37781,-35.13433
Caraúbas,2020-05-29,33,4,-5.78784,-37.55911
Carnaúba dos Dantas,2020-05-29,2,27,-6.55706,-36.59243
Carnaubais,2020-05-29,11,31,-5.34,-36.8305
Ceará-Mirim,2020-05-29,78,174,-5.6352,-35.4196
Cerro Corá,2020-05-29,1,20,-6.04645,-36.34773
Coronel Ezequiel,2020-05-29,,1,-6.38549,-36.21705
Coronel João Pessoa,2020-05-29,2,8,-6.26176,-38.4442
Cruzeta,2020-05-29,11,29,-6.41214,-36.78746
Currais Novos,2020-05-29,23,52,-6.25708,-36.51196
Doutor Severiano,2020-05-29,6,3,-6.09469,-38.37369
Encanto,2020-05-29,14,21,-6.11311,-38.30996
Equador,2020-05-29,,3,-6.94464,-36.71772
Espírito Santo,2020-05-29,2,6,-6.33285,-35.31054
Extremoz,2020-05-29,96,185,-5.70592,-35.30274
Felipe Guerra,2020-05-29,34,8,-5.59829,-37.69658
Fernando Pedroza,2020-05-29,3,16,-5.69707,-36.53091
Florânia,2020-05-29,2,43,-6.12226,-36.8103
Francisco Dantas,2020-05-29,,11,-6.08879,-38.12427
Frutuoso Gomes,2020-05-29,4,8,-6.15907,-37.84093
Galinhos,2020-05-29,1,1,-5.09233,-36.27439
Goianinha,2020-05-29,35,112,-6.26803,-35.20846
Governador Dix-Sept Rosado,2020-05-29,7,38,-5.45588,-37.51945
Grossos,2020-05-29,12,45,-4.98204,-37.15164
Guamaré,2020-05-29,42,98,-5.10822,-36.31985
Ielmo Marinho,2020-05-29,12,11,-5.82138,-35.55238
Ipanguaçu,2020-05-29,26,20,-5.50835,-36.85966
Ipueira,2020-05-29,2,10,-6.8169,-37.1982
Itajá,2020-05-29,12,13,-5.63128,-36.86387
