municipio,data,confirmado,suspeito,lat,lon
Itaú,2020-05-29,13,16,-5.84451,-37.99029
Jaçanã,2020-05-29,6,7,-6.42742,-36.20408
Jandaíra,2020-05-29,1,6,-5.357,-36.12584
Janduís,2020-05-29,1,3,-6.01718,-37.40641
Januário Cicco,2020-05-29,2,9,-6.15681,-35.60446
Japi,2020-05-29,2,5,-6.46597,-35.94585
Jardim de Angicos,2020-05-29,1,1,-5.65155,-35.97139
Jardim de Piranhas,2020-05-29,,21,-6.37882,-37.35209
Jardim do Seridó,2020-05-29,7,11,-6.58731,-36.77304
João Câmara,2020-05-29,12,22,-5.54933,-35.81469
João Dias,2020-05-29,,3,-6.27803,-37.79739
José da Penha,2020-05-29,,5,-6.31884,-38.28444
Jucurutu,2020-05-29,11,50,-6.03196,-37.01604
Jundiá,2020-05-29,,5,-6.26701,-35.32768
Lagoa d'Anta,2020-05-29,1,5,-6.39137,-35.59791
Lagoa de Pedras,2020-05-29,3,6,-6.14635,-35.43342
Lagoa de Velhos,2020-05-29,1,7,-6.00234,-35.86802
Lagoa Nova,2020-05-29,3,10,-6.09447,-36.47148
Lagoa Salgada,2020-05-29,3,6,-6.12244,-35.48143
Lajes,2020-05-29,3,23,-5.70114,-36.24449
Lajes Pintadas,2020-05-29,7,5,-6.14999,-36.1168
Lucrécia,2020-05-29,3,4,-6.11528,-37.81364
Luís Gomes,2020-05-29,2,7,-6.4133,-38.38689
Macaíba,2020-05-29,107,544,-5.85975,-35.3498
Macau,2020-05-29,46,99,-5.11261,-36.63449
Major Sales,2020-05-29,,3,-6.40682,-38.32301
Marcelino Vieira,2020-05-29,,2,-6.29336,-38.16689
Martins,2020-05-29,2,1,-6.09002,-37.91357
Maxaranguape,2020-05-29,5,7,-5.51832,-35.25922
Messias Targino,2020-05-29,2,,-6.07799,-37.51304
Montanhas,2020-05-29,8,13,-6.48446,-35.28537
Monte Alegre,2020-05-29,19,40,-6.07245,-35.33661
Monte das Gameleiras,2020-05-29,,2,-6.44027,-35.78497
Mossoró,2020-05-29,986,1011,-5.18784,-37.34422
Natal,2020-05-29,2576,7041,-5.79544,-35.21151
Nísia Floresta,2020-05-29,33,20,-6.05176,-35.22306
Nova Cruz,2020-05-29,29,44,-6.47523,-35.42884
Olho-d'Água do Borges,2020-05-29,2,,-5.95575,-37.70363
Ouro Branco,2020-05-29,1,7,-6.70336,-36.94578
Paraná,2020-05-29,2,3,-6.48408,-38.31216
Paraú,2020-05-29,3,3,-5.77734,-37.1016
Parazinho,2020-05-29,2,6,-5.22691,-35.83942
Parelhas,2020-05-29,7,89,-6.69242,-36.65892
Parnamirim,2020-05-29,552,1378,-5.90543,-35.2612
Passa e Fica,2020-05-29,2,5,-6.43547,-35.64359
Passagem,2020-05-29,1,5,-6.2787,-35.37552
Patu,2020-05-29,4,4,-6.10194,-37.6373
Pau dos Ferros,2020-05-29,21,66,-6.1119,-38.20615
Pedra Grande,2020-05-29,10,4,-5.15087,-35.87696
Pedra Preta,2020-05-29,,1,-5.58167,-36.10432
Pedro Avelino,2020-05-29,3,12,-5.5205,-36.38722
Pedro Velho,2020-05-29,3,9,-6.43889,-35.22165
Pendências,2020-05-29,32,24,-5.25664,-36.71899
Pilões,2020-05-29,5,6,-6.26734,-38.0424
Poço Branco,2020-05-29,12,18,-5.62055,-35.6598
Portalegre,2020-05-29,3,,-6.0247,-37.98744
Porto do Mangue,2020-05-29,12,21,-5.06713,-36.78074
Pureza,2020-05-29,2,12,-5.46347,-35.55422
Rafael Fernandes,2020-05-29,,8,-6.19353,-38.22624
Rafael Godeiro,2020-05-29,,3,-6.07699,-37.71655
Riacho da Cruz,2020-05-29,6,2,-5.93638,-37.94869
Riacho de Santana,2020-05-29,,1,-6.26328,-38.31373
Riachuelo,2020-05-29,7,19,-5.81017,-35.82336
Rio do Fogo,2020-05-29,9,20,-5.27472,-35.38253
Rodolfo Fernandes,2020-05-29,2,9,-5.78972,-38.06058
Ruy Barbosa,2020-05-29,5,4,-5.88106,-35.93479
Santa Cruz,2020-05-29,39,138,-6.22901,-36.02177
Santa Maria,2020-05-29,7,15,-5.83959,-35.69
Santana do Matos,2020-05-29,10,13,-5.95806,-36.66102
Santana do Seridó,2020-05-29,2,8,-6.77131,-36.73417
Santo Antônio,2020-05-29,22,63,-6.31424,-35.47338
São Bento do Norte,2020-05-29,1,8,-5.06444,-36.03976
São Bento do Trairí,2020-05-29,3,20,-6.34244,-36.08558
São Fernando,2020-05-29,2,4,-6.38232,-37.187
São Francisco do Oeste,2020-05-29,,2,-6.00017,-38.16779
São Gonçalo do Amarante,2020-05-29,209,592,-5.79319,-35.32883
São João do Sabugi,2020-05-29,1,6,-6.71691,-37.204
São José de Mipibu,2020-05-29,65,114,-6.07368,-35.23786
São José do Campestre,2020-05-29,,16,-6.31186,-35.71555
São José do Seridó,2020-05-29,,6,-6.44938,-36.87973
São Miguel,2020-05-29,18,51,-6.20453,-38.49297
São Miguel do Gostoso,2020-05-29,1,3,-5.12432,-35.6358
São Paulo do Potengi,2020-05-29,13,45,-5.8929,-35.75645
São Pedro,2020-05-29,14,13,-5.89628,-35.63512
São Rafael,2020-05-29,15,24,-5.80286,-36.88586
São Tomé,2020-05-29,18,15,-5.97253,-36.07673
São Vicente,2020-05-29,1,16,-6.2199,-36.68195
Senador Elói de Souza,2020-05-29,2,6,-6.03667,-35.69078
Senador Georgino Avelino,2020-05-29,2,4,-6.16267,-35.1247
Serra Caiada,2020-05-29,6,7,-6.10684,-35.71098
Serra de São Bento,2020-05-29,1,5,-6.41752,-35.70425
Serra do Mel,2020-05-29,16,22,-5.17469,-37.03803
Serra Negra do Norte,2020-05-29,4,16,-6.6659,-37.3996
Serrinha,2020-05-29,1,6,-6.27779,-35.49992
Serrinha dos Pintos,2020-05-29,,2,-6.11266,-37.95583
Severiano Melo,2020-05-29,2,8,-5.78209,-37.95747
Sítio Novo,2020-05-29,,4,-6.1104,-35.91464
Taboleiro Grande,2020-05-29,5,4,-5.92827,-38.04435
Taipu,2020-05-29,4,6,-5.62183,-35.59692
Tangará,2020-05-29,,28,-6.19953,-35.8009
Tenente Ananias,2020-05-29,13,11,-6.46045,-38.18061
Tenente Laurentino Cruz,2020-05-29,6,14,-6.14641,-36.71766
Tibau,2020-05-29,21,21,-4.84094,-37.2557
Tibau do Sul,2020-05-29,4,12,-6.18847,-35.09057
Timbaúba dos Batistas,2020-05-29,,3,-6.46438,-37.26717
Touros,2020-05-29,49,56,-5.19887,-35.4605
Triunfo Potiguar,2020-05-29,,2,-5.86708,-37.18546
Umarizal,2020-05-29,4,9,-5.99099,-37.8127
Upanema,2020-05-29,3,24,-5.64331,-37.2587
Várzea,2020-05-29,3,6,-6.34518,-35.37231
Venha-Ver,2020-05-29,,1,-6.32,-38.49093
Vera Cruz,2020-05-29,3,11,-6.04383,-35.43211
Viçosa,2020-05-29,1,11,-5.99221,-37.94572
Vila Flor,2020-05-29,,1,-6.31526,-35.07625
Importados,2020-05-29,,13,,
