municipio,data,confirmado,suspeito,lat,lon,morte,codigo_ibge,populacao_estimada_2019,incidencia,mortalidade
Acari,2020-07-16,41,167,-6.43395,-36.63959,3,240010,11136,368.1752874,26.93965517
Açu,2020-07-16,636,654,-5.57621,-36.91483,34,240020,58017,1096.230415,58.60351276
Afonso Bezerra,2020-07-16,56,45,-5.50095,-36.50317,5,240030,11035,507.4762121,45.31037608
Água Nova,2020-07-16,3,3,-6.20748,-38.29327,,240040,3252,92.25092251,0
Alexandria,2020-07-16,25,33,-6.40831,-38.01499,2,240050,13577,184.1349341,14.73079473
Almino Afonso,2020-07-16,15,30,-6.15239,-37.76711,,240060,4735,316.7898627,0
Alto do Rodrigues,2020-07-16,220,144,-5.29508,-36.76236,9,240070,14529,1514.212953,61.94507537
Angicos,2020-07-16,82,136,-5.67997,-36.60629,3,240080,11714,700.0170736,25.61038074
Antônio Martins,2020-07-16,3,12,-6.21583,-37.88829,1,240090,7145,41.98740378,13.99580126
Apodi,2020-07-16,985,141,-5.66309,-37.7982,16,240100,35845,2747.94253,44.63662993
Areia Branca,2020-07-16,613,536,-4.95542,-37.13027,46,240110,27774,2207.100166,165.6225247
Arês,2020-07-16,145,206,-6.19552,-35.17176,1,240120,14306,1013.560744,6.990074095
Baía Formosa,2020-07-16,60,39,-6.37124,-35.00528,2,240140,9271,647.1793766,21.57264589
Baraúna,2020-07-16,248,79,-5.07941,-37.61694,10,240145,28374,874.0396137,35.24353281
Barcelona,2020-07-16,22,8,-5.95042,-35.926,,240150,3998,550.2751376,0
Bento Fernandes,2020-07-16,18,8,-5.69366,-35.8213,1,240160,5497,327.4513371,18.19174095
Boa Saúde,2020-07-16,24,40,-6.15681,-35.60446,,240530,10181,235.7332286,0
Bodó,2020-07-16,3,17,-5.98711,-36.41332,,240165,2223,134.9527665,0
Bom Jesus,2020-07-16,81,43,-5.98536,-35.58444,1,240170,10210,793.3398629,9.794319295
Brejinho,2020-07-16,103,61,-6.20412,-35.3654,3,240180,12699,811.0874872,23.62390739
Caiçara do Norte,2020-07-16,61,41,-5.06428,-36.05275,2,240185,6549,931.4399145,30.53901359
Caiçara do Rio do Vento,2020-07-16,57,21,-5.7576,-35.9978,1,240190,3684,1547.23127,27.14440825
Caicó,2020-07-16,556,928,-6.46037,-37.09819,12,240200,67952,818.2246291,17.65952437
Campo Grande,2020-07-16,21,15,-5.86221,-37.31171,,240130,9655,217.503884,0
Campo Redondo,2020-07-16,85,11,-6.24361,-36.18325,2,240210,11217,757.7783721,17.83007934
Canguaretama,2020-07-16,167,263,-6.37781,-35.13433,14,240220,34276,487.2213794,40.84490606
Caraúbas,2020-07-16,188,85,-5.78784,-37.55911,3,240230,20493,917.3864246,14.63914507
Carnaúba dos Dantas,2020-07-16,28,131,-6.55706,-36.59243,3,240240,8180,342.2982885,36.67481663
Carnaubais,2020-07-16,79,70,-5.34,-36.8305,4,240250,10759,734.2689841,37.17817641
Ceará-Mirim,2020-07-16,582,444,-5.6352,-35.4196,30,240260,73497,791.8690559,40.81799257
Cerro Corá,2020-07-16,19,59,-6.04645,-36.34773,1,240270,11179,169.961535,8.945343948
Coronel Ezequiel,2020-07-16,23,19,-6.38549,-36.21705,,240280,5506,417.726117,0
Coronel João Pessoa,2020-07-16,6,9,-6.26176,-38.4442,1,240290,4912,122.1498371,20.35830619
Cruzeta,2020-07-16,29,62,-6.41214,-36.78746,1,240300,7998,362.5906477,12.50312578
Currais Novos,2020-07-16,301,297,-6.25708,-36.51196,8,240310,44786,672.0850266,17.86272496
Doutor Severiano,2020-07-16,19,6,-6.09469,-38.37369,1,240320,7076,268.5132843,14.13227812
