municipio,data,confirmado,suspeito,lat,lon,morte,codigo_ibge,populacao_estimada_2019
Acari,2020-03-15,0,0,-6.433949999999925,-36.63958999999994,0,240010.0,11136.0
Açu,2020-03-15,0,0,-5.576209999999946,-36.91482999999994,0,240020.0,58017.0
Afonso Bezerra,2020-03-15,0,0,-5.500949999999932,-36.50316999999996,0,240030.0,11035.0
Água Nova,2020-03-15,0,0,-6.207479999999976,-38.29326999999995,0,240040.0,3252.0
Alexandria,2020-03-15,0,0,-6.408309999999973,-38.01498999999996,0,240050.0,13577.0
Almino Afonso,2020-03-15,0,0,-6.1523899999999685,-37.767109999999946,0,240060.0,4735.0
Alto do Rodrigues,2020-03-15,0,0,-5.295079999999928,-36.76235999999994,0,240070.0,14529.0
Angicos,2020-03-15,0,0,-5.679969999999969,-36.60628999999994,0,240080.0,11714.0
Antônio Martins,2020-03-15,0,0,-6.215829999999926,-37.888289999999984,0,240090.0,7145.0
Apodi,2020-03-15,0,0,-5.663089999999952,-37.79819999999995,0,240100.0,35845.0
Areia Branca,2020-03-15,0,0,-4.955419999999948,-37.13026999999994,0,240110.0,27774.0
Arês,2020-03-15,0,0,-6.195519999999932,-35.17175999999995,0,240120.0,14306.0
Baía Formosa,2020-03-15,0,0,-6.371239999999943,-35.00527999999996,0,240140.0,9271.0
Baraúna,2020-03-15,0,0,-5.079409999999939,-37.616939999999936,0,240145.0,28374.0
Barcelona,2020-03-15,0,0,-5.950419999999951,-35.92599999999993,0,240150.0,3998.0
Bento Fernandes,2020-03-15,0,0,-5.693659999999966,-35.82129999999995,0,240160.0,5497.0
Boa Saúde,2020-03-15,0,0,-6.1568099999999495,-35.60445999999996,0,240530.0,10181.0
Bodó,2020-03-15,0,0,-5.987109999999973,-36.413319999999935,0,240165.0,2223.0
Bom Jesus,2020-03-15,0,0,-5.985359999999957,-35.584439999999965,0,240170.0,10210.0
Brejinho,2020-03-15,0,0,-6.204119999999932,-35.365399999999966,0,240180.0,12699.0
Caiçara do Norte,2020-03-15,0,0,-5.0642799999999415,-36.052749999999946,0,240185.0,6549.0
Caiçara do Rio do Vento,2020-03-15,0,0,-5.757599999999968,-35.997799999999984,0,240190.0,3684.0
Caicó,2020-03-15,0,0,-6.460369999999955,-37.09818999999993,0,240200.0,67952.0
Campo Grande,2020-03-15,0,0,-5.862209999999948,-37.31170999999996,0,240130.0,9655.0
Campo Redondo,2020-03-15,0,0,-6.243609999999932,-36.18324999999993,0,240210.0,11217.0
Canguaretama,2020-03-15,0,0,-6.377809999999952,-35.134329999999984,0,240220.0,34276.0
Caraúbas,2020-03-15,0,0,-5.787839999999959,-37.559109999999976,0,240230.0,20493.0
Carnaúba dos Dantas,2020-03-15,0,0,-6.557059999999979,-36.59242999999998,0,240240.0,8180.0
Carnaubais,2020-03-15,0,0,-5.339999999999974,-36.830499999999965,0,240250.0,10759.0
Ceará-Mirim,2020-03-15,0,0,-5.6351999999999425,-35.419599999999946,0,240260.0,73497.0
Cerro Corá,2020-03-15,0,0,-6.046449999999938,-36.34772999999996,0,240270.0,11179.0
Coronel Ezequiel,2020-03-15,0,0,-6.385489999999948,-36.217049999999965,0,240280.0,5506.0
Coronel João Pessoa,2020-03-15,0,0,-6.261759999999981,-38.44419999999997,0,240290.0,4912.0
Cruzeta,2020-03-15,0,0,-6.412139999999965,-36.78745999999995,0,240300.0,7998.0
Currais Novos,2020-03-15,0,0,-6.2570799999999736,-36.51195999999993,0,240310.0,44786.0
Doutor Severiano,2020-03-15,0,0,-6.094689999999957,-38.373689999999954,0,240320.0,7076.0
Encanto,2020-03-15,0,0,-6.113109999999947,-38.309959999999926,0,240330.0,5638.0
Equador,2020-03-15,0,0,-6.944639999999938,-36.71771999999993,0,240340.0,6045.0
Espírito Santo,2020-03-15,0,0,-6.332849999999951,-35.310539999999946,0,240350.0,10505.0
Extremoz,2020-03-15,0,0,-5.705919999999932,-35.302739999999964,0,240360.0,28583.0
Felipe Guerra,2020-03-15,0,0,-5.598289999999963,-37.696579999999976,0,240370.0,5985.0
Fernando Pedroza,2020-03-15,0,0,-5.6970699999999415,-36.53090999999995,0,240375.0,3054.0
Florânia,2020-03-15,0,0,-6.122259999999926,-36.810299999999984,0,240380.0,9116.0
Francisco Dantas,2020-03-15,0,0,-6.0887899999999595,-38.12426999999997,0,240390.0,2824.0
Frutuoso Gomes,2020-03-15,0,0,-6.159069999999929,-37.840929999999965,0,240400.0,4068.0
Galinhos,2020-03-15,0,0,-5.092329999999947,-36.274389999999975,0,240410.0,2786.0
Goianinha,2020-03-15,0,0,-6.2680299999999525,-35.208459999999945,0,240420.0,26328.0
Governador Dix-Sept Rosado,2020-03-15,0,0,-5.455879999999978,-37.51944999999995,0,240430.0,13037.0
Grossos,2020-03-15,0,0,-4.982039999999927,-37.15163999999993,0,240440.0,10383.0
Guamaré,2020-03-15,0,0,-5.10821999999996,-36.31984999999997,0,240450.0,15659.0
Ielmo Marinho,2020-03-15,0,0,-5.8213799999999765,-35.552379999999964,0,240460.0,13766.0
Ipanguaçu,2020-03-15,0,0,-5.50834999999995,-36.85965999999996,0,240470.0,15491.0
Ipueira,2020-03-15,0,0,-6.816899999999976,-37.19819999999993,0,240480.0,2241.0
Itajá,2020-03-15,0,0,-5.631279999999948,-36.86386999999996,0,240485.0,7548.0
Itaú,2020-03-15,0,0,-5.844509999999957,-37.99028999999996,0,240490.0,5878.0
Jaçanã,2020-03-15,0,0,-6.427419999999927,-36.204079999999976,0,240500.0,9133.0
Jandaíra,2020-03-15,0,0,-5.356999999999972,-36.125839999999975,0,240510.0,6878.0
Janduís,2020-03-15,0,0,-6.017179999999938,-37.40640999999994,0,240520.0,5268.0
Japi,2020-03-15,0,0,-6.46596999999997,-35.94584999999995,0,240540.0,5055.0
Jardim de Angicos,2020-03-15,0,0,-5.651549999999928,-35.97138999999993,0,240550.0,2612.0
Jardim de Piranhas,2020-03-15,0,0,-6.378819999999963,-37.352089999999976,0,240560.0,14837.0
Jardim do Seridó,2020-03-15,0,0,-6.587309999999945,-36.773039999999966,0,240570.0,12396.0
João Câmara,2020-03-15,0,0,-5.549329999999942,-35.814689999999985,0,240580.0,34955.0
João Dias,2020-03-15,0,0,-6.2780299999999425,-37.79738999999995,0,240590.0,2654.0
José da Penha,2020-03-15,0,0,-6.318839999999965,-38.28443999999996,0,240600.0,5951.0
Jucurutu,2020-03-15,0,0,-6.0319599999999705,-37.016039999999975,0,240610.0,18295.0
Jundiá,2020-03-15,0,0,-6.267009999999972,-35.32767999999993,0,240615.0,3898.0
Lagoa d'Anta,2020-03-15,0,0,-6.391369999999938,-35.59790999999996,0,240620.0,6769.0
Lagoa de Pedras,2020-03-15,0,0,-6.146349999999927,-35.43341999999996,0,240630.0,7544.0
Lagoa de Velhos,2020-03-15,0,0,-6.002339999999948,-35.868019999999945,0,240640.0,2732.0
Lagoa Nova,2020-03-15,0,0,-6.0944699999999425,-36.47147999999993,0,240650.0,15614.0
Lagoa Salgada,2020-03-15,0,0,-6.122439999999926,-35.481429999999925,0,240660.0,8245.0
Lajes,2020-03-15,0,0,-5.701139999999953,-36.24448999999999,0,240670.0,11277.0
Lajes Pintadas,2020-03-15,0,0,-6.1499899999999466,-36.11679999999996,0,240680.0,4759.0
Lucrécia,2020-03-15,0,0,-6.115279999999927,-37.813639999999964,0,240690.0,3996.0
Luís Gomes,2020-03-15,0,0,-6.4132999999999365,-38.38688999999994,0,240700.0,10116.0
Macaíba,2020-03-15,0,0,-5.859749999999963,-35.34979999999996,0,240710.0,80792.0
Macau,2020-03-15,0,0,-5.112609999999961,-36.634489999999964,0,240720.0,31814.0
Major Sales,2020-03-15,0,0,-6.406819999999925,-38.323009999999954,0,240725.0,4020.0
Marcelino Vieira,2020-03-15,0,0,-6.29335999999995,-38.16688999999997,0,240730.0,8347.0
Martins,2020-03-15,0,0,-6.090019999999981,-37.913569999999936,0,240740.0,8725.0
Maxaranguape,2020-03-15,0,0,-5.518319999999959,-35.259219999999964,0,240750.0,12371.0
Messias Targino,2020-03-15,0,0,-6.077989999999943,-37.513039999999926,0,240760.0,4601.0
Montanhas,2020-03-15,0,0,-6.484459999999956,-35.285369999999936,0,240770.0,11251.0
Monte Alegre,2020-03-15,0,0,-6.072449999999948,-35.33660999999995,0,240780.0,22451.0
Monte das Gameleiras,2020-03-15,0,0,-6.440269999999941,-35.78496999999993,0,240790.0,2105.0
Mossoró,2020-03-15,0,0,-5.1878399999999365,-37.34421999999995,0,240800.0,297378.0
Natal,2020-03-15,0,0,-5.795439999999927,-35.211509999999976,0,240810.0,884122.0
Nísia Floresta,2020-03-15,0,0,-6.051759999999945,-35.22305999999997,0,240820.0,27602.0
Nova Cruz,2020-03-15,0,0,-6.475229999999954,-35.42883999999998,0,240830.0,37343.0
Olho-d'Água do Borges,2020-03-15,0,0,-5.9557499999999655,-37.703629999999976,0,240840.0,4258.0
Ouro Branco,2020-03-15,0,0,-6.703359999999975,-36.945779999999964,0,240850.0,4812.0
Paraná,2020-03-15,0,0,-6.484079999999949,-38.31215999999995,0,240860.0,4254.0
Paraú,2020-03-15,0,0,-5.777339999999981,-37.10159999999996,0,240870.0,3768.0
Parazinho,2020-03-15,0,0,-5.2269099999999735,-35.83941999999996,0,240880.0,5237.0
Parelhas,2020-03-15,0,0,-6.69241999999997,-36.658919999999966,0,240890.0,21477.0
Parnamirim,2020-03-15,0,0,-5.905429999999968,-35.26119999999997,0,240325.0,261469.0
Passa e Fica,2020-03-15,0,0,-6.4354699999999525,-35.64358999999996,0,240910.0,13277.0
Passagem,2020-03-15,0,0,-6.278699999999957,-35.37551999999994,0,240920.0,3089.0
Patu,2020-03-15,0,0,-6.101939999999956,-37.637299999999975,0,240930.0,12755.0
Pau dos Ferros,2020-03-15,0,0,-6.111899999999935,-38.20614999999998,0,240940.0,30394.0
Pedra Grande,2020-03-15,0,0,-5.150869999999942,-35.87695999999994,0,240950.0,3237.0
Pedra Preta,2020-03-15,0,0,-5.581669999999974,-36.104319999999966,0,240960.0,2458.0
Pedro Avelino,2020-03-15,0,0,-5.52049999999997,-36.387219999999964,0,240970.0,6716.0
Pedro Velho,2020-03-15,0,0,-6.438889999999957,-35.221649999999954,0,240980.0,14806.0
Pendências,2020-03-15,0,0,-5.2566399999999485,-36.71898999999996,0,240990.0,15129.0
Pilões,2020-03-15,0,0,-6.267339999999932,-38.04239999999993,0,241000.0,3838.0
Poço Branco,2020-03-15,0,0,-5.620549999999981,-35.65979999999996,0,241010.0,15413.0
Portalegre,2020-03-15,0,0,-6.024699999999938,-37.987439999999935,0,241020.0,7867.0
Porto do Mangue,2020-03-15,0,0,-5.067129999999963,-36.780739999999966,0,241025.0,6437.0
Pureza,2020-03-15,0,0,-5.4634699999999725,-35.55421999999993,0,241040.0,9621.0
Rafael Fernandes,2020-03-15,0,0,-6.193529999999952,-38.22623999999996,0,241050.0,5098.0
Rafael Godeiro,2020-03-15,0,0,-6.0769899999999675,-37.716549999999984,0,241060.0,3201.0
Riacho da Cruz,2020-03-15,0,0,-5.936379999999929,-37.948689999999935,0,241070.0,3579.0
Riacho de Santana,2020-03-15,0,0,-6.263279999999952,-38.313729999999964,0,241080.0,4204.0
Riachuelo,2020-03-15,0,0,-5.810169999999971,-35.82335999999998,0,241090.0,8128.0
Rio do Fogo,2020-03-15,0,0,-5.274719999999945,-35.38252999999997,0,240895.0,10848.0
Rodolfo Fernandes,2020-03-15,0,0,-5.7897199999999325,-38.06057999999996,0,241100.0,4467.0
Ruy Barbosa,2020-03-15,0,0,-5.881059999999932,-35.934789999999964,0,241110.0,3600.0
Santa Cruz,2020-03-15,0,0,-6.22900999999996,-36.021769999999954,0,241120.0,39674.0
Santa Maria,2020-03-15,0,0,-5.839589999999928,-35.68999999999994,0,240933.0,5551.0
Santana do Matos,2020-03-15,0,0,-5.958059999999932,-36.66101999999995,0,241140.0,12791.0
Santana do Seridó,2020-03-15,0,0,-6.771309999999971,-36.73416999999995,0,241142.0,2680.0
Santo Antônio,2020-03-15,0,0,-6.314239999999927,-35.47337999999996,0,241150.0,24136.0
São Bento do Norte,2020-03-15,0,0,-5.064439999999934,-36.03975999999994,0,241160.0,2747.0
São Bento do Trairí,2020-03-15,0,0,-6.342439999999954,-36.085579999999936,0,241170.0,4449.0
São Fernando,2020-03-15,0,0,-6.382319999999938,-37.18699999999996,0,241180.0,3584.0
São Francisco do Oeste,2020-03-15,0,0,-6.000169999999969,-38.16778999999997,0,241190.0,4228.0
São Gonçalo do Amarante,2020-03-15,0,0,-5.7931899999999805,-35.32882999999997,0,241200.0,102400.0
São João do Sabugi,2020-03-15,0,0,-6.7169099999999275,-37.20399999999995,0,241210.0,6193.0
São José de Mipibu,2020-03-15,0,0,-6.0736799999999675,-35.237859999999955,0,241220.0,43899.0
São José do Campestre,2020-03-15,0,0,-6.311859999999967,-35.71554999999995,0,241230.0,12856.0
São José do Seridó,2020-03-15,0,0,-6.449379999999963,-36.87972999999994,0,241240.0,4634.0
São Miguel,2020-03-15,0,0,-6.204529999999977,-38.492969999999964,0,241250.0,23519.0
São Miguel do Gostoso,2020-03-15,0,0,-5.124319999999956,-35.63579999999996,0,241255.0,10282.0
São Paulo do Potengi,2020-03-15,0,0,-5.8928999999999405,-35.756449999999965,0,241260.0,17579.0
São Pedro,2020-03-15,0,0,-5.8962799999999325,-35.635119999999965,0,241270.0,5971.0
São Rafael,2020-03-15,0,0,-5.802859999999952,-36.88585999999998,0,241280.0,8202.0
São Tomé,2020-03-15,0,0,-5.972529999999948,-36.07672999999994,0,241290.0,11055.0
São Vicente,2020-03-15,0,0,-6.219899999999938,-36.681949999999965,0,241300.0,6424.0
Senador Elói de Souza,2020-03-15,0,0,-6.036669999999957,-35.69077999999996,0,241310.0,6086.0
Senador Georgino Avelino,2020-03-15,0,0,-6.162669999999935,-35.12469999999996,0,241320.0,4440.0
Serra Caiada,2020-03-15,0,0,-6.106839999999977,-35.71097999999995,0,241030.0,10395.0
Serra de São Bento,2020-03-15,0,0,-6.417519999999968,-35.704249999999945,0,241330.0,5762.0
