municipio,data,confirmado,suspeito,lat,lon,morte,codigo_ibge,populacao_estimada_2019
Serra do Mel,2020-03-15,0,0,-5.174689999999941,-37.038029999999935,0,241335.0,11938.0
Serra Negra do Norte,2020-03-15,0,0,-6.665899999999965,-37.399599999999964,0,241340.0,8078.0
Serrinha,2020-03-15,0,0,-6.277789999999925,-35.49991999999997,0,241350.0,6229.0
Serrinha dos Pintos,2020-03-15,0,0,-6.1126599999999485,-37.955829999999935,0,241355.0,4800.0
Severiano Melo,2020-03-15,0,0,-5.782089999999927,-37.95746999999994,0,241360.0,2440.0
Sítio Novo,2020-03-15,0,0,-6.11039999999997,-35.91463999999996,0,241370.0,5522.0
Taboleiro Grande,2020-03-15,0,0,-5.928269999999943,-38.04434999999995,0,241380.0,2566.0
Taipu,2020-03-15,0,0,-5.621829999999932,-35.596919999999955,0,241390.0,12279.0
Tangará,2020-03-15,0,0,-6.199529999999925,-35.80089999999996,0,241400.0,15727.0
Tenente Ananias,2020-03-15,0,0,-6.460449999999981,-38.180609999999945,0,241410.0,10786.0
Tenente Laurentino Cruz,2020-03-15,0,0,-6.146409999999946,-36.71765999999997,0,241415.0,5952.0
Tibau,2020-03-15,0,0,-4.840939999999931,-37.255699999999926,0,241105.0,4106.0
Tibau do Sul,2020-03-15,0,0,-6.188469999999938,-35.090569999999964,0,241420.0,14180.0
Timbaúba dos Batistas,2020-03-15,0,0,-6.464379999999949,-37.267169999999965,0,241430.0,2414.0
Touros,2020-03-15,0,0,-5.198869999999944,-35.46049999999997,0,241440.0,33287.0
Triunfo Potiguar,2020-03-15,0,0,-5.8670799999999295,-37.18545999999998,0,241445.0,3237.0
Umarizal,2020-03-15,0,0,-5.990989999999954,-37.81269999999995,0,241450.0,10555.0
Upanema,2020-03-15,0,0,-5.6433099999999286,-37.258699999999976,0,241460.0,14659.0
Várzea,2020-03-15,0,0,-6.3451799999999725,-35.37230999999996,0,241470.0,5500.0
Venha-Ver,2020-03-15,0,0,-6.319999999999938,-38.490929999999935,0,241475.0,4177.0
Vera Cruz,2020-03-15,0,0,-6.043829999999957,-35.432109999999966,0,241480.0,12481.0
Viçosa,2020-03-15,0,0,-5.992209999999943,-37.94571999999994,0,241490.0,1718.0
Vila Flor,2020-03-15,0,0,-6.3152599999999675,-35.07624999999996,0,241500.0,3170.0
Importados,2020-03-15,0,0,,,0,,
