municipio,data,confirmado,suspeito,lat,lon
Acari,2020-06-09,6,119,-6.43395,-36.63959
Açu,2020-06-09,168,265,-5.57621,-36.91483
Afonso Bezerra,2020-06-09,16,13,-5.50095,-36.50317
Água Nova,2020-06-09,,1,-6.20748,-38.29327
Alexandria,2020-06-09,6,4,-6.40831,-38.01499
Almino Afonso,2020-06-09,5,17,-6.15239,-37.76711
Alto do Rodrigues,2020-06-09,73,70,-5.29508,-36.76236
Angicos,2020-06-09,10,44,-5.67997,-36.60629
Antônio Martins,2020-06-09,2,5,-6.21583,-37.88829
Apodi,2020-06-09,364,84,-5.66309,-37.7982
Areia Branca,2020-06-09,311,660,-4.95542,-37.13027
Arês,2020-06-09,18,46,-6.19552,-35.17176
Baía Formosa,2020-06-09,6,8,-6.37124,-35.00528
Baraúna,2020-06-09,111,114,-5.07941,-37.61694
Barcelona,2020-06-09,4,8,-5.95042,-35.926
Bento Fernandes,2020-06-09,4,7,-5.69366,-35.8213
Bodó,2020-06-09,1,10,-5.98711,-36.41332
Bom Jesus,2020-06-09,13,32,-5.98536,-35.58444
Brejinho,2020-06-09,19,36,-6.20412,-35.3654
Caiçara do Norte,2020-06-09,14,13,-5.06428,-36.05275
Caiçara do Rio do Vento,2020-06-09,8,29,-5.7576,-35.9978
Caicó,2020-06-09,73,404,-6.46037,-37.09819
Campo Grande,2020-06-09,3,5,-5.86221,-37.31171
Campo Redondo,2020-06-09,9,13,-6.24361,-36.18325
Canguaretama,2020-06-09,59,53,-6.37781,-35.13433
Caraúbas,2020-06-09,59,18,-5.78784,-37.55911
Carnaúba dos Dantas,2020-06-09,5,62,-6.55706,-36.59243
Carnaubais,2020-06-09,21,53,-5.34,-36.8305
Ceará-Mirim,2020-06-09,139,249,-5.6352,-35.4196
Cerro Corá,2020-06-09,1,23,-6.04645,-36.34773
Coronel Ezequiel,2020-06-09,1,3,-6.38549,-36.21705
Coronel João Pessoa,2020-06-09,3,8,-6.26176,-38.4442
Cruzeta,2020-06-09,12,17,-6.41214,-36.78746
Currais Novos,2020-06-09,37,108,-6.25708,-36.51196
Doutor Severiano,2020-06-09,6,5,-6.09469,-38.37369
Encanto,2020-06-09,15,27,-6.11311,-38.30996
Equador,2020-06-09,5,3,-6.94464,-36.71772
Espírito Santo,2020-06-09,9,8,-6.33285,-35.31054
Extremoz,2020-06-09,144,233,-5.70592,-35.30274
Felipe Guerra,2020-06-09,36,9,-5.59829,-37.69658
Fernando Pedroza,2020-06-09,5,20,-5.69707,-36.53091
Florânia,2020-06-09,6,52,-6.12226,-36.8103
Francisco Dantas,2020-06-09,1,15,-6.08879,-38.12427
Frutuoso Gomes,2020-06-09,5,7,-6.15907,-37.84093
Galinhos,2020-06-09,3,5,-5.09233,-36.27439
Goianinha,2020-06-09,72,152,-6.26803,-35.20846
Governador Dix-Sept Rosado,2020-06-09,13,56,-5.45588,-37.51945
Grossos,2020-06-09,27,99,-4.98204,-37.15164
Guamaré,2020-06-09,83,156,-5.10822,-36.31985
Ielmo Marinho,2020-06-09,19,34,-5.82138,-35.55238
Ipanguaçu,2020-06-09,35,35,-5.50835,-36.85966
Ipueira,2020-06-09,2,11,-6.8169,-37.1982
Itajá,2020-06-09,19,25,-5.63128,-36.86387
Itaú,2020-06-09,13,23,-5.84451,-37.99029
Jaçanã,2020-06-09,8,16,-6.42742,-36.20408
Jandaíra,2020-06-09,4,10,-5.357,-36.12584
Janduís,2020-06-09,1,3,-6.01718,-37.40641
Januário Cicco,2020-06-09,3,12,-6.15681,-35.60446
Japi,2020-06-09,4,9,-6.46597,-35.94585
Jardim de Angicos,2020-06-09,1,3,-5.65155,-35.97139
Jardim de Piranhas,2020-06-09,5,48,-6.37882,-37.35209
Jardim do Seridó,2020-06-09,13,20,-6.58731,-36.77304
João Câmara,2020-06-09,43,34,-5.54933,-35.81469
João Dias,2020-06-09,,3,-6.27803,-37.79739
José da Penha,2020-06-09,,5,-6.31884,-38.28444
Jucurutu,2020-06-09,19,93,-6.03196,-37.01604
Jundiá,2020-06-09,2,6,-6.26701,-35.32768
Lagoa d'Anta,2020-06-09,2,10,-6.39137,-35.59791
Lagoa de Pedras,2020-06-09,4,11,-6.14635,-35.43342
Lagoa de Velhos,2020-06-09,6,6,-6.00234,-35.86802
Lagoa Nova,2020-06-09,7,9,-6.09447,-36.47148
Lagoa Salgada,2020-06-09,6,17,-6.12244,-35.48143
Lajes,2020-06-09,9,53,-5.70114,-36.24449
Lajes Pintadas,2020-06-09,10,8,-6.14999,-36.1168
Lucrécia,2020-06-09,5,4,-6.11528,-37.81364
Luís Gomes,2020-06-09,5,13,-6.4133,-38.38689
Macaíba,2020-06-09,199,908,-5.85975,-35.3498
Macau,2020-06-09,60,119,-5.11261,-36.63449
Major Sales,2020-06-09,,5,-6.40682,-38.32301
Marcelino Vieira,2020-06-09,1,8,-6.29336,-38.16689
Martins,2020-06-09,4,4,-6.09002,-37.91357
Maxaranguape,2020-06-09,11,12,-5.51832,-35.25922
Messias Targino,2020-06-09,1,5,-6.07799,-37.51304
Montanhas,2020-06-09,16,19,-6.48446,-35.28537
Monte Alegre,2020-06-09,32,79,-6.07245,-35.33661
Monte das Gameleiras,2020-06-09,,2,-6.44027,-35.78497
Mossoró,2020-06-09,1417,1231,-5.18784,-37.34422
Natal,2020-06-09,4208,11526,-5.79544,-35.21151
Nísia Floresta,2020-06-09,46,64,-6.05176,-35.22306
Nova Cruz,2020-06-09,67,81,-6.47523,-35.42884
Olho-d'Água do Borges,2020-06-09,6,,-5.95575,-37.70363
Ouro Branco,2020-06-09,6,22,-6.70336,-36.94578
Paraná,2020-06-09,2,3,-6.48408,-38.31216
Paraú,2020-06-09,4,9,-5.77734,-37.1016
Parazinho,2020-06-09,4,8,-5.22691,-35.83942
Parelhas,2020-06-09,17,124,-6.69242,-36.65892
Parnamirim,2020-06-09,1067,2123,-5.90543,-35.2612
Passa e Fica,2020-06-09,3,6,-6.43547,-35.64359
Passagem,2020-06-09,2,7,-6.2787,-35.37552
Patu,2020-06-09,6,12,-6.10194,-37.6373
Pau dos Ferros,2020-06-09,23,75,-6.1119,-38.20615
Pedra Grande,2020-06-09,16,11,-5.15087,-35.87696
Pedra Preta,2020-06-09,,5,-5.58167,-36.10432
Pedro Avelino,2020-06-09,4,13,-5.5205,-36.38722
Pedro Velho,2020-06-09,7,19,-6.43889,-35.22165
Pendências,2020-06-09,71,39,-5.25664,-36.71899
Pilões,2020-06-09,7,8,-6.26734,-38.0424
Poço Branco,2020-06-09,20,22,-5.62055,-35.6598
Portalegre,2020-06-09,3,,-6.0247,-37.98744
Porto do Mangue,2020-06-09,19,62,-5.06713,-36.78074
Pureza,2020-06-09,34,16,-5.46347,-35.55422
Rafael Fernandes,2020-06-09,,8,-6.19353,-38.22624
Rafael Godeiro,2020-06-09,4,5,-6.07699,-37.71655
Riacho da Cruz,2020-06-09,7,3,-5.93638,-37.94869
Riacho de Santana,2020-06-09,,1,-6.26328,-38.31373
Riachuelo,2020-06-09,11,87,-5.81017,-35.82336
Rio do Fogo,2020-06-09,18,42,-5.27472,-35.38253
Rodolfo Fernandes,2020-06-09,6,15,-5.78972,-38.06058
Ruy Barbosa,2020-06-09,11,23,-5.88106,-35.93479
Santa Cruz,2020-06-09,75,205,-6.22901,-36.02177
Santa Maria,2020-06-09,12,46,-5.83959,-35.69
Santana do Matos,2020-06-09,16,29,-5.95806,-36.66102
Santana do Seridó,2020-06-09,4,12,-6.77131,-36.73417
Santo Antônio,2020-06-09,42,123,-6.31424,-35.47338
São Bento do Norte,2020-06-09,2,18,-5.06444,-36.03976
São Bento do Trairí,2020-06-09,4,24,-6.34244,-36.08558
São Fernando,2020-06-09,3,6,-6.38232,-37.187
São Francisco do Oeste,2020-06-09,,2,-6.00017,-38.16779
São Gonçalo do Amarante,2020-06-09,516,756,-5.79319,-35.32883
São João do Sabugi,2020-06-09,2,17,-6.71691,-37.204
São José de Mipibu,2020-06-09,140,218,-6.07368,-35.23786
São José do Campestre,2020-06-09,6,40,-6.31186,-35.71555
São José do Seridó,2020-06-09,3,11,-6.44938,-36.87973
São Miguel,2020-06-09,23,66,-6.20453,-38.49297
São Miguel do Gostoso,2020-06-09,6,22,-5.12432,-35.6358
São Paulo do Potengi,2020-06-09,44,118,-5.8929,-35.75645
São Pedro,2020-06-09,23,18,-5.89628,-35.63512
São Rafael,2020-06-09,21,31,-5.80286,-36.88586
São Tomé,2020-06-09,28,33,-5.97253,-36.07673
São Vicente,2020-06-09,2,21,-6.2199,-36.68195
Senador Elói de Souza,2020-06-09,6,12,-6.03667,-35.69078
Senador Georgino Avelino,2020-06-09,6,11,-6.16267,-35.1247
Serra Caiada,2020-06-09,18,20,-6.10684,-35.71098
Serra de São Bento,2020-06-09,4,6,-6.41752,-35.70425
Serra do Mel,2020-06-09,30,41,-5.17469,-37.03803
Serra Negra do Norte,2020-06-09,10,21,-6.6659,-37.3996
Serrinha,2020-06-09,2,23,-6.27779,-35.49992
Serrinha dos Pintos,2020-06-09,,3,-6.11266,-37.95583
Severiano Melo,2020-06-09,7,16,-5.78209,-37.95747
Sítio Novo,2020-06-09,,13,-6.1104,-35.91464
Taboleiro Grande,2020-06-09,6,6,-5.92827,-38.04435
Taipu,2020-06-09,7,13,-5.62183,-35.59692
Tangará,2020-06-09,12,39,-6.19953,-35.8009
Tenente Ananias,2020-06-09,13,13,-6.46045,-38.18061
Tenente Laurentino Cruz,2020-06-09,8,24,-6.14641,-36.71766
Tibau,2020-06-09,24,31,-4.84094,-37.2557
Tibau do Sul,2020-06-09,11,28,-6.18847,-35.09057
Timbaúba dos Batistas,2020-06-09,3,9,-6.46438,-37.26717
