municipio,data,confirmado,suspeito,lat,lon
Pedro Velho,2020-06-16,13,17,-6.43889,-35.22165
Pendências,2020-06-16,93,34,-5.25664,-36.71899
Pilões,2020-06-16,9,10,-6.26734,-38.0424
Poço Branco,2020-06-16,33,20,-5.62055,-35.6598
Portalegre,2020-06-16,4,3,-6.0247,-37.98744
Porto do Mangue,2020-06-16,25,66,-5.06713,-36.78074
Pureza,2020-06-16,47,19,-5.46347,-35.55422
Rafael Fernandes,2020-06-16,,9,-6.19353,-38.22624
Rafael Godeiro,2020-06-16,8,9,-6.07699,-37.71655
Riacho da Cruz,2020-06-16,9,2,-5.93638,-37.94869
Riacho de Santana,2020-06-16,,1,-6.26328,-38.31373
Riachuelo,2020-06-16,31,92,-5.81017,-35.82336
Rio do Fogo,2020-06-16,31,40,-5.27472,-35.38253
Rodolfo Fernandes,2020-06-16,7,15,-5.78972,-38.06058
Ruy Barbosa,2020-06-16,15,25,-5.88106,-35.93479
Santa Cruz,2020-06-16,97,207,-6.22901,-36.02177
Santa Maria,2020-06-16,18,49,-5.83959,-35.69
Santana do Matos,2020-06-16,17,29,-5.95806,-36.66102
Santana do Seridó,2020-06-16,5,19,-6.77131,-36.73417
Santo Antônio,2020-06-16,62,133,-6.31424,-35.47338
São Bento do Norte,2020-06-16,3,26,-5.06444,-36.03976
São Bento do Trairí,2020-06-16,8,24,-6.34244,-36.08558
São Fernando,2020-06-16,5,6,-6.38232,-37.187
São Francisco do Oeste,2020-06-16,2,2,-6.00017,-38.16779
São Gonçalo do Amarante,2020-06-16,760,803,-5.79319,-35.32883
São João do Sabugi,2020-06-16,5,14,-6.71691,-37.204
São José de Mipibu,2020-06-16,214,275,-6.07368,-35.23786
São José do Campestre,2020-06-16,15,49,-6.31186,-35.71555
São José do Seridó,2020-06-16,5,11,-6.44938,-36.87973
São Miguel,2020-06-16,25,64,-6.20453,-38.49297
São Miguel do Gostoso,2020-06-16,14,25,-5.12432,-35.6358
São Paulo do Potengi,2020-06-16,52,129,-5.8929,-35.75645
São Pedro,2020-06-16,28,22,-5.89628,-35.63512
São Rafael,2020-06-16,24,42,-5.80286,-36.88586
São Tomé,2020-06-16,35,34,-5.97253,-36.07673
São Vicente,2020-06-16,2,23,-6.2199,-36.68195
Senador Elói de Souza,2020-06-16,12,12,-6.03667,-35.69078
Senador Georgino Avelino,2020-06-16,10,8,-6.16267,-35.1247
Serra Caiada,2020-06-16,25,17,-6.10684,-35.71098
Serra de São Bento,2020-06-16,6,6,-6.41752,-35.70425
Serra do Mel,2020-06-16,45,49,-5.17469,-37.03803
Serra Negra do Norte,2020-06-16,18,21,-6.6659,-37.3996
Serrinha,2020-06-16,5,23,-6.27779,-35.49992
Serrinha dos Pintos,2020-06-16,,3,-6.11266,-37.95583
Severiano Melo,2020-06-16,7,19,-5.78209,-37.95747
Sítio Novo,2020-06-16,,13,-6.1104,-35.91464
Taboleiro Grande,2020-06-16,6,7,-5.92827,-38.04435
Taipu,2020-06-16,12,12,-5.62183,-35.59692
Tangará,2020-06-16,21,35,-6.19953,-35.8009
Tenente Ananias,2020-06-16,14,14,-6.46045,-38.18061
Tenente Laurentino Cruz,2020-06-16,12,20,-6.14641,-36.71766
Tibau,2020-06-16,25,34,-4.84094,-37.2557
Tibau do Sul,2020-06-16,27,31,-6.18847,-35.09057
Timbaúba dos Batistas,2020-06-16,6,8,-6.46438,-37.26717
Touros,2020-06-16,213,75,-5.19887,-35.4605
Triunfo Potiguar,2020-06-16,1,5,-5.86708,-37.18546
Umarizal,2020-06-16,11,13,-5.99099,-37.8127
Upanema,2020-06-16,7,23,-5.64331,-37.2587
Várzea,2020-06-16,11,24,-6.34518,-35.37231
Venha-Ver,2020-06-16,1,,-6.32,-38.49093
Vera Cruz,2020-06-16,30,18,-6.04383,-35.43211
Viçosa,2020-06-16,3,11,-5.99221,-37.94572
Vila Flor,2020-06-16,15,1,-6.31526,-35.07625
Importados,2020-06-16,43,14,,
