municipio,data,confirmado,suspeito,lat,lon,morte,codigo_ibge,populacao_estimada_2019,incidencia,mortalidade
Acari,2020-06-20,9,133,-6.433949999999925,-36.63958999999994,0,240010.0,11136.0,80.81896551724138,0.0
Açu,2020-06-20,262,315,-5.576209999999946,-36.91482999999994,9,240020.0,58017.0,451.5917748246204,15.512694555044213
Afonso Bezerra,2020-06-20,28,22,-5.500949999999932,-36.50316999999996,3,240030.0,11035.0,253.73810602628,27.186225645672856
Água Nova,2020-06-20,0,1,-6.207479999999976,-38.29326999999995,0,240040.0,3252.0,0.0,0.0
Alexandria,2020-06-20,10,11,-6.408309999999973,-38.01498999999996,1,240050.0,13577.0,73.65397363187745,7.365397363187744
Almino Afonso,2020-06-20,6,22,-6.1523899999999685,-37.767109999999946,0,240060.0,4735.0,126.71594508975714,0.0
Alto do Rodrigues,2020-06-20,108,100,-5.295079999999928,-36.76235999999994,6,240070.0,14529.0,743.3409043981004,41.296716911005575
Angicos,2020-06-20,19,82,-5.679969999999969,-36.60628999999994,2,240080.0,11714.0,162.19907802629334,17.073587160662456
Antônio Martins,2020-06-20,2,6,-6.215829999999926,-37.888289999999984,0,240090.0,7145.0,27.99160251924423,0.0
Apodi,2020-06-20,630,119,-5.663089999999952,-37.79819999999995,8,240100.0,35845.0,1757.567303668573,22.318314967219976
Areia Branca,2020-06-20,426,712,-4.955419999999948,-37.13026999999994,34,240110.0,27774.0,1533.8085979693237,122.41664866421834
Arês,2020-06-20,43,64,-6.195519999999932,-35.17175999999995,0,240120.0,14306.0,300.5731860757724,0.0
Baía Formosa,2020-06-20,9,13,-6.371239999999943,-35.00527999999996,1,240140.0,9271.0,97.07690648258009,10.7863229425089
Baraúna,2020-06-20,162,123,-5.079409999999939,-37.616939999999936,8,240145.0,28374.0,570.9452315500106,28.19482624938324
Barcelona,2020-06-20,8,8,-5.950419999999951,-35.92599999999993,0,240150.0,3998.0,200.10005002501248,0.0
Bento Fernandes,2020-06-20,11,7,-5.693659999999966,-35.82129999999995,2,240160.0,5497.0,200.10915044569765,36.383481899217756
Boa Saúde,2020-06-20,13,16,-6.1568099999999495,-35.60445999999996,0,240530.0,10181.0,127.68883213829683,0.0
Bodó,2020-06-20,1,10,-5.987109999999973,-36.413319999999935,0,240165.0,2223.0,44.9842555105713,0.0
Bom Jesus,2020-06-20,31,36,-5.985359999999957,-35.584439999999965,1,240170.0,10210.0,303.62389813907936,9.79431929480901
Brejinho,2020-06-20,34,36,-6.204119999999932,-35.365399999999966,0,240180.0,12699.0,267.7376171352075,0.0
Caiçara do Norte,2020-06-20,22,23,-5.0642799999999415,-36.052749999999946,1,240185.0,6549.0,335.9291494884715,15.269506794930523
Caiçara do Rio do Vento,2020-06-20,36,31,-5.757599999999968,-35.997799999999984,1,240190.0,3684.0,977.1986970684038,27.14440825190011
Caicó,2020-06-20,201,500,-6.460369999999955,-37.09818999999993,2,240200.0,67952.0,295.79703319990585,2.943254061690605
Campo Grande,2020-06-20,5,9,-5.862209999999948,-37.31170999999996,0,240130.0,9655.0,51.78663904712584,0.0
Campo Redondo,2020-06-20,22,13,-6.243609999999932,-36.18324999999993,0,240210.0,11217.0,196.13087278238388,0.0
Canguaretama,2020-06-20,73,105,-6.377809999999952,-35.134329999999984,7,240220.0,34276.0,212.97701015287663,20.422453028358035
Caraúbas,2020-06-20,108,38,-5.787839999999959,-37.559109999999976,0,240230.0,20493.0,527.0092226613966,0.0
Carnaúba dos Dantas,2020-06-20,7,75,-6.557059999999979,-36.59242999999998,2,240240.0,8180.0,85.57457212713936,24.449877750611243
Carnaubais,2020-06-20,31,61,-5.339999999999974,-36.830499999999965,1,240250.0,10759.0,288.1308671809648,9.294544102611766
Ceará-Mirim,2020-06-20,314,317,-5.6351999999999425,-35.419599999999946,16,240260.0,73497.0,427.22832224444534,21.76959603793352
Cerro Corá,2020-06-20,4,36,-6.046449999999938,-36.34772999999996,1,240270.0,11179.0,35.78137579389928,8.94534394847482
Coronel Ezequiel,2020-06-20,1,10,-6.385489999999948,-36.217049999999965,0,240280.0,5506.0,18.162005085361425,0.0
Coronel João Pessoa,2020-06-20,6,10,-6.261759999999981,-38.44419999999997,1,240290.0,4912.0,122.14983713355048,20.35830618892508
Cruzeta,2020-06-20,15,21,-6.412139999999965,-36.78745999999995,0,240300.0,7998.0,187.5468867216804,0.0
Currais Novos,2020-06-20,99,145,-6.2570799999999736,-36.51195999999993,2,240310.0,44786.0,221.05122136381905,4.465681239673112
Doutor Severiano,2020-06-20,14,7,-6.094689999999957,-38.373689999999954,1,240320.0,7076.0,197.8518937252685,14.132278123233464
Encanto,2020-06-20,17,33,-6.113109999999947,-38.309959999999926,2,240330.0,5638.0,301.52536360411494,35.4735721887194
Equador,2020-06-20,7,4,-6.944639999999938,-36.71771999999993,0,240340.0,6045.0,115.79818031430935,0.0
Espírito Santo,2020-06-20,20,14,-6.332849999999951,-35.310539999999946,0,240350.0,10505.0,190.38553069966682,0.0
Extremoz,2020-06-20,213,259,-5.705919999999932,-35.302739999999964,5,240360.0,28583.0,745.1981947311339,17.492915369275444
Felipe Guerra,2020-06-20,48,12,-5.598289999999963,-37.696579999999976,1,240370.0,5985.0,802.0050125313284,16.70843776106934
Fernando Pedroza,2020-06-20,7,29,-5.6970699999999415,-36.53090999999995,0,240375.0,3054.0,229.20759659463002,0.0
Florânia,2020-06-20,16,76,-6.122259999999926,-36.810299999999984,0,240380.0,9116.0,175.51557700745943,0.0
Francisco Dantas,2020-06-20,1,16,-6.0887899999999595,-38.12426999999997,0,240390.0,2824.0,35.41076487252125,0.0
Frutuoso Gomes,2020-06-20,5,8,-6.159069999999929,-37.840929999999965,0,240400.0,4068.0,122.91052114060963,0.0
Galinhos,2020-06-20,13,3,-5.092329999999947,-36.274389999999975,0,240410.0,2786.0,466.618808327351,0.0
Goianinha,2020-06-20,143,197,-6.2680299999999525,-35.208459999999945,2,240420.0,26328.0,543.1479793375875,7.596475235490732
Governador Dix-Sept Rosado,2020-06-20,23,69,-5.455879999999978,-37.51944999999995,0,240430.0,13037.0,176.42095574135155,0.0
Grossos,2020-06-20,64,146,-4.982039999999927,-37.15163999999993,1,240440.0,10383.0,616.3921795242223,9.631127805065974
Guamaré,2020-06-20,120,194,-5.10821999999996,-36.31984999999997,4,240450.0,15659.0,766.3324605658088,25.544415352193628
Ielmo Marinho,2020-06-20,31,40,-5.8213799999999765,-35.552379999999964,2,240460.0,13766.0,225.19250326892342,14.52854859799506
Ipanguaçu,2020-06-20,42,48,-5.50834999999995,-36.85965999999996,7,240470.0,15491.0,271.1251694532309,45.187528242205154
Ipueira,2020-06-20,3,12,-6.816899999999976,-37.19819999999993,0,240480.0,2241.0,133.86880856760374,0.0
Itajá,2020-06-20,54,31,-5.631279999999948,-36.86386999999996,1,240485.0,7548.0,715.4213036565978,13.248542660307367
Itaú,2020-06-20,14,25,-5.844509999999957,-37.99028999999996,0,240490.0,5878.0,238.17625042531475,0.0
Jaçanã,2020-06-20,20,31,-6.427419999999927,-36.204079999999976,0,240500.0,9133.0,218.98609438300667,0.0
Jandaíra,2020-06-20,23,13,-5.356999999999972,-36.125839999999975,0,240510.0,6878.0,334.3995347484734,0.0
Janduís,2020-06-20,1,10,-6.017179999999938,-37.40640999999994,1,240520.0,5268.0,18.98253606681853,18.98253606681853
Japi,2020-06-20,7,15,-6.46596999999997,-35.94584999999995,0,240540.0,5055.0,138.47675568743819,0.0
Jardim de Angicos,2020-06-20,2,3,-5.651549999999928,-35.97138999999993,0,240550.0,2612.0,76.5696784073507,0.0
Jardim de Piranhas,2020-06-20,23,101,-6.378819999999963,-37.352089999999976,2,240560.0,14837.0,155.0178607535216,13.479813978567096
Jardim do Seridó,2020-06-20,21,38,-6.587309999999945,-36.773039999999966,1,240570.0,12396.0,169.40948693126813,8.067118425298483
João Câmara,2020-06-20,86,42,-5.549329999999942,-35.814689999999985,2,240580.0,34955.0,246.03061078529538,5.721642111285939
João Dias,2020-06-20,1,4,-6.2780299999999425,-37.79738999999995,0,240590.0,2654.0,37.67897513187641,0.0
José da Penha,2020-06-20,0,5,-6.318839999999965,-38.28443999999996,0,240600.0,5951.0,0.0,0.0
Jucurutu,2020-06-20,32,166,-6.0319599999999705,-37.016039999999975,2,240610.0,18295.0,174.9111779174638,10.931948619841487
Jundiá,2020-06-20,9,11,-6.267009999999972,-35.32767999999993,0,240615.0,3898.0,230.8876346844536,0.0
Lagoa d'Anta,2020-06-20,18,31,-6.391369999999938,-35.59790999999996,1,240620.0,6769.0,265.918156300783,14.773230905599055
Lagoa de Pedras,2020-06-20,5,15,-6.146349999999927,-35.43341999999996,1,240630.0,7544.0,66.2778366914104,13.255567338282079
Lagoa de Velhos,2020-06-20,22,8,-6.002339999999948,-35.868019999999945,0,240640.0,2732.0,805.2708638360176,0.0
Lagoa Nova,2020-06-20,9,10,-6.0944699999999425,-36.47147999999993,1,240650.0,15614.0,57.640578967593186,6.40450877417702
Lagoa Salgada,2020-06-20,11,20,-6.122439999999926,-35.481429999999925,0,240660.0,8245.0,133.41419041843542,0.0
Lajes,2020-06-20,18,87,-5.701139999999953,-36.24448999999999,0,240670.0,11277.0,159.6169193934557,0.0
Lajes Pintadas,2020-06-20,29,12,-6.1499899999999466,-36.11679999999996,0,240680.0,4759.0,609.3717167472158,0.0
Lucrécia,2020-06-20,5,6,-6.115279999999927,-37.813639999999964,0,240690.0,3996.0,125.12512512512512,0.0
Luís Gomes,2020-06-20,12,14,-6.4132999999999365,-38.38688999999994,1,240700.0,10116.0,118.62396204033216,9.885330170027679
Macaíba,2020-06-20,330,1108,-5.859749999999963,-35.34979999999996,14,240710.0,80792.0,408.4562828002772,17.328448361223884
Macau,2020-06-20,102,121,-5.112609999999961,-36.634489999999964,12,240720.0,31814.0,320.61356635443514,37.71924310052178
Major Sales,2020-06-20,0,5,-6.406819999999925,-38.323009999999954,0,240725.0,4020.0,0.0,0.0
Marcelino Vieira,2020-06-20,3,19,-6.29335999999995,-38.16688999999997,0,240730.0,8347.0,35.94105666706601,0.0
Martins,2020-06-20,6,4,-6.090019999999981,-37.913569999999936,0,240740.0,8725.0,68.76790830945558,0.0
Maxaranguape,2020-06-20,20,24,-5.518319999999959,-35.259219999999964,1,240750.0,12371.0,161.66841807452914,8.083420903726457
Messias Targino,2020-06-20,9,7,-6.077989999999943,-37.513039999999926,1,240760.0,4601.0,195.6096500760704,21.734405564007826
Montanhas,2020-06-20,30,31,-6.484459999999956,-35.285369999999936,1,240770.0,11251.0,266.6429650697716,8.888098835659052
Monte Alegre,2020-06-20,63,86,-6.072449999999948,-35.33660999999995,1,240780.0,22451.0,280.6111086365863,4.454144581533116
Monte das Gameleiras,2020-06-20,2,10,-6.440269999999941,-35.78496999999993,0,240790.0,2105.0,95.01187648456057,0.0
Mossoró,2020-06-20,2016,1618,-5.1878399999999365,-37.34421999999995,98,240800.0,297378.0,677.9250650687005,32.95469066306183
Natal,2020-06-20,7488,15230,-5.795439999999927,-35.211509999999976,262,240810.0,884122.0,846.9419378773518,29.63391930072999
Nísia Floresta,2020-06-20,107,87,-6.051759999999945,-35.22305999999997,2,240820.0,27602.0,387.6530686182161,7.245851749873198
Nova Cruz,2020-06-20,133,84,-6.475229999999954,-35.42883999999998,6,240830.0,37343.0,356.1577805746726,16.06726829660177
Olho-d'Água do Borges,2020-06-20,12,1,-5.9557499999999655,-37.703629999999976,0,240840.0,4258.0,281.8224518553311,0.0
Ouro Branco,2020-06-20,11,25,-6.703359999999975,-36.945779999999964,0,240850.0,4812.0,228.595178719867,0.0
Paraná,2020-06-20,4,5,-6.484079999999949,-38.31215999999995,0,240860.0,4254.0,94.02914903620122,0.0
