municipio,data,confirmado,suspeito,lat,lon,morte,codigo_ibge,populacao_estimada_2019
José da Penha,2020-06-23,0,2,-6.318839999999965,-38.28443999999996,0,240600.0,5951.0
Jucurutu,2020-06-23,46,144,-6.0319599999999705,-37.016039999999975,2,240610.0,18295.0
Jundiá,2020-06-23,10,8,-6.267009999999972,-35.32767999999993,0,240615.0,3898.0
Lagoa d'Anta,2020-06-23,19,29,-6.391369999999938,-35.59790999999996,1,240620.0,6769.0
Lagoa de Pedras,2020-06-23,5,13,-6.146349999999927,-35.43341999999996,1,240630.0,7544.0
Lagoa de Velhos,2020-06-23,22,7,-6.002339999999948,-35.868019999999945,0,240640.0,2732.0
Lagoa Nova,2020-06-23,9,7,-6.0944699999999425,-36.47147999999993,1,240650.0,15614.0
Lagoa Salgada,2020-06-23,11,20,-6.122439999999926,-35.481429999999925,0,240660.0,8245.0
Lajes,2020-06-23,20,84,-5.701139999999953,-36.24448999999999,1,240670.0,11277.0
Lajes Pintadas,2020-06-23,29,10,-6.1499899999999466,-36.11679999999996,1,240680.0,4759.0
Lucrécia,2020-06-23,5,5,-6.115279999999927,-37.813639999999964,0,240690.0,3996.0
Luís Gomes,2020-06-23,12,13,-6.4132999999999365,-38.38688999999994,1,240700.0,10116.0
Macaíba,2020-06-23,367,971,-5.859749999999963,-35.34979999999996,14,240710.0,80792.0
Macau,2020-06-23,104,100,-5.112609999999961,-36.634489999999964,12,240720.0,31814.0
Major Sales,2020-06-23,0,4,-6.406819999999925,-38.323009999999954,0,240725.0,4020.0
Marcelino Vieira,2020-06-23,4,17,-6.29335999999995,-38.16688999999997,0,240730.0,8347.0
Martins,2020-06-23,6,3,-6.090019999999981,-37.913569999999936,0,240740.0,8725.0
Maxaranguape,2020-06-23,26,17,-5.518319999999959,-35.259219999999964,1,240750.0,12371.0
Messias Targino,2020-06-23,9,7,-6.077989999999943,-37.513039999999926,1,240760.0,4601.0
Montanhas,2020-06-23,36,17,-6.484459999999956,-35.285369999999936,2,240770.0,11251.0
