municipio,data,confirmado,suspeito,lat,lon,morte,codigo_ibge,populacao_estimada_2019,incidencia,mortalidade
Acari,2020-07-20,41,193,-6.43395,-36.63959,3,240010,11136,368.1752874,26.93965517
Açu,2020-07-20,697,786,-5.57621,-36.91483,36,240020,58017,1201.372012,62.05077822
Afonso Bezerra,2020-07-20,57,48,-5.50095,-36.50317,5,240030,11035,516.5382873,45.31037608
Água Nova,2020-07-20,3,3,-6.20748,-38.29327,,240040,3252,92.25092251,0
Alexandria,2020-07-20,26,36,-6.40831,-38.01499,3,240050,13577,191.5003314,22.09619209
Almino Afonso,2020-07-20,17,30,-6.15239,-37.76711,,240060,4735,359.0285111,0
Alto do Rodrigues,2020-07-20,231,159,-5.29508,-36.76236,10,240070,14529,1589.923601,68.82786152
Angicos,2020-07-20,84,140,-5.67997,-36.60629,3,240080,11714,717.0906607,25.61038074
Antônio Martins,2020-07-20,3,17,-6.21583,-37.88829,1,240090,7145,41.98740378,13.99580126
Apodi,2020-07-20,1025,178,-5.66309,-37.7982,17,240100,35845,2859.534105,47.42641931
Areia Branca,2020-07-20,627,554,-4.95542,-37.13027,47,240110,27774,2257.507021,169.2230143
Arês,2020-07-20,167,243,-6.19552,-35.17176,2,240120,14306,1167.342374,13.98014819
Baía Formosa,2020-07-20,67,48,-6.37124,-35.00528,2,240140,9271,722.6836371,21.57264589
Baraúna,2020-07-20,265,80,-5.07941,-37.61694,10,240145,28374,933.9536195,35.24353281
Barcelona,2020-07-20,24,8,-5.95042,-35.926,,240150,3998,600.3001501,0
Bento Fernandes,2020-07-20,20,8,-5.69366,-35.8213,1,240160,5497,363.834819,18.19174095
Boa Saúde,2020-07-20,35,41,-6.15681,-35.60446,,240530,10181,343.777625,0
Bodó,2020-07-20,3,24,-5.98711,-36.41332,,240165,2223,134.9527665,0
Bom Jesus,2020-07-20,88,48,-5.98536,-35.58444,1,240170,10210,861.9000979,9.794319295
Brejinho,2020-07-20,112,62,-6.20412,-35.3654,3,240180,12699,881.9592094,23.62390739
Caiçara do Norte,2020-07-20,73,47,-5.06428,-36.05275,2,240185,6549,1114.673996,30.53901359
Caiçara do Rio do Vento,2020-07-20,57,21,-5.7576,-35.9978,1,240190,3684,1547.23127,27.14440825
Caicó,2020-07-20,651,1013,-6.46037,-37.09819,13,240200,67952,958.0291971,19.1311514
Campo Grande,2020-07-20,27,22,-5.86221,-37.31171,1,240130,9655,279.6478509,10.35732781
Campo Redondo,2020-07-20,98,19,-6.24361,-36.18325,2,240210,11217,873.6738878,17.83007934
Canguaretama,2020-07-20,179,272,-6.37781,-35.13433,15,240220,34276,522.2312989,43.76239935
Caraúbas,2020-07-20,221,89,-5.78784,-37.55911,3,240230,20493,1078.41702,14.63914507
