municipio,data,confirmado,suspeito,lat,lon,morte,codigo_ibge,populacao_estimada_2019,incidencia,mortalidade
Acari,2020-06-25,10,96,-6.43395,-36.63959,,240010,11136,89.79885057,0
Açu,2020-06-25,303,323,-5.57621,-36.91483,14,240020,58017,522.2607167,24.1308582
Afonso Bezerra,2020-06-25,35,22,-5.50095,-36.50317,4,240030,11035,317.1726325,36.24830086
Água Nova,2020-06-25,,,-6.20748,-38.29327,,240040,3252,0,0
Alexandria,2020-06-25,10,15,-6.40831,-38.01499,1,240050,13577,73.65397363,7.365397363
Almino Afonso,2020-06-25,7,18,-6.15239,-37.76711,,240060,4735,147.8352693,0
Alto do Rodrigues,2020-06-25,121,142,-5.29508,-36.76236,6,240070,14529,832.8171244,41.29671691
Angicos,2020-06-25,23,110,-5.67997,-36.60629,2,240080,11714,196.3462523,17.07358716
Antônio Martins,2020-06-25,3,7,-6.21583,-37.88829,,240090,7145,41.98740378,0
Apodi,2020-06-25,688,119,-5.66309,-37.7982,9,240100,35845,1919.375087,25.10810434
Areia Branca,2020-06-25,442,604,-4.95542,-37.13027,37,240110,27774,1591.416433,133.2181177
Arês,2020-06-25,48,103,-6.19552,-35.17176,,240120,14306,335.5235565,0
Baía Formosa,2020-06-25,18,14,-6.37124,-35.00528,1,240140,9271,194.153813,10.78632294
Baraúna,2020-06-25,184,96,-5.07941,-37.61694,9,240145,28374,648.4810037,31.71917953
Barcelona,2020-06-25,11,7,-5.95042,-35.926,,240150,3998,275.1375688,0
Bento Fernandes,2020-06-25,11,6,-5.69366,-35.8213,2,240160,5497,200.1091504,36.3834819
Boa Saúde,2020-06-25,13,14,-6.15681,-35.60446,,240530,10181,127.6888321,0
Bodó,2020-06-25,1,4,-5.98711,-36.41332,,240165,2223,44.98425551,0
Bom Jesus,2020-06-25,45,30,-5.98536,-35.58444,2,240170,10210,440.7443683,19.58863859
Brejinho,2020-06-25,43,37,-6.20412,-35.3654,,240180,12699,338.6093393,0
Caiçara do Norte,2020-06-25,28,27,-5.06428,-36.05275,1,240185,6549,427.5461903,15.26950679
Caiçara do Rio do Vento,2020-06-25,38,34,-5.7576,-35.9978,1,240190,3684,1031.487514,27.14440825
Caicó,2020-06-25,272,395,-6.46037,-37.09819,4,240200,67952,400.2825524,5.886508123
Campo Grande,2020-06-25,6,9,-5.86221,-37.31171,,240130,9655,62.14396686,0
Campo Redondo,2020-06-25,25,16,-6.24361,-36.18325,,240210,11217,222.8759918,0
Canguaretama,2020-06-25,83,121,-6.37781,-35.13433,9,240220,34276,242.1519431,26.25743961
Caraúbas,2020-06-25,127,44,-5.78784,-37.55911,,240230,20493,619.7238081,0
Carnaúba dos Dantas,2020-06-25,7,77,-6.55706,-36.59243,2,240240,8180,85.57457213,24.44987775
Carnaubais,2020-06-25,36,56,-5.34,-36.8305,2,240250,10759,334.6035877,18.58908821
Ceará-Mirim,2020-06-25,364,306,-5.6352,-35.4196,18,240260,73497,495.2583099,24.49079554
Cerro Corá,2020-06-25,6,29,-6.04645,-36.34773,1,240270,11179,53.67206369,8.945343948
Coronel Ezequiel,2020-06-25,13,10,-6.38549,-36.21705,,240280,5506,236.1060661,0
Coronel João Pessoa,2020-06-25,6,10,-6.26176,-38.4442,1,240290,4912,122.1498371,20.35830619
Cruzeta,2020-06-25,15,18,-6.41214,-36.78746,,240300,7998,187.5468867,0
Currais Novos,2020-06-25,136,156,-6.25708,-36.51196,2,240310,44786,303.6663243,4.46568124
Doutor Severiano,2020-06-25,15,8,-6.09469,-38.37369,1,240320,7076,211.9841718,14.13227812
Encanto,2020-06-25,18,23,-6.11311,-38.30996,2,240330,5638,319.2621497,35.47357219
Equador,2020-06-25,7,3,-6.94464,-36.71772,,240340,6045,115.7981803,0
Espírito Santo,2020-06-25,28,13,-6.33285,-35.31054,,240350,10505,266.539743,0
Extremoz,2020-06-25,256,260,-5.70592,-35.30274,7,240360,28583,895.6372669,24.49008152
Felipe Guerra,2020-06-25,51,9,-5.59829,-37.69658,1,240370,5985,852.1303258,16.70843776
Fernando Pedroza,2020-06-25,9,31,-5.69707,-36.53091,,240375,3054,294.6954813,0
Florânia,2020-06-25,18,89,-6.12226,-36.8103,,240380,9116,197.4550241,0
Francisco Dantas,2020-06-25,2,19,-6.08879,-38.12427,,240390,2824,70.82152975,0
Frutuoso Gomes,2020-06-25,5,8,-6.15907,-37.84093,,240400,4068,122.9105211,0
Galinhos,2020-06-25,17,3,-5.09233,-36.27439,,240410,2786,610.1938263,0
Goianinha,2020-06-25,163,200,-6.26803,-35.20846,2,240420,26328,619.1127317,7.596475235
Governador Dix-Sept Rosado,2020-06-25,34,74,-5.45588,-37.51945,,240430,13037,260.7961954,0
Grossos,2020-06-25,82,164,-4.98204,-37.15164,2,240440,10383,789.75248,19.26225561
Guamaré,2020-06-25,157,221,-5.10822,-36.31985,5,240450,15659,1002.618303,31.93051919
Ielmo Marinho,2020-06-25,42,39,-5.82138,-35.55238,2,240460,13766,305.0995206,14.5285486
Ipanguaçu,2020-06-25,45,70,-5.50835,-36.85966,9,240470,15491,290.491253,58.0982506
Ipueira,2020-06-25,4,10,-6.8169,-37.1982,,240480,2241,178.4917448,0
Itajá,2020-06-25,72,40,-5.63128,-36.86387,1,240485,7548,953.8950715,13.24854266
Itaú,2020-06-25,15,25,-5.84451,-37.99029,,240490,5878,255.1888397,0
Jaçanã,2020-06-25,31,41,-6.42742,-36.20408,,240500,9133,339.4284463,0
Jandaíra,2020-06-25,27,16,-5.357,-36.12584,1,240510,6878,392.5559756,14.53911021
Janduís,2020-06-25,7,9,-6.01718,-37.40641,1,240520,5268,132.8777525,18.98253607
Japi,2020-06-25,8,16,-6.46597,-35.94585,,240540,5055,158.2591494,0
Jardim de Angicos,2020-06-25,3,5,-5.65155,-35.97139,,240550,2612,114.8545176,0
Jardim de Piranhas,2020-06-25,33,123,-6.37882,-37.35209,2,240560,14837,222.4169306,13.47981398
Jardim do Seridó,2020-06-25,30,41,-6.58731,-36.77304,1,240570,12396,242.0135528,8.067118425
João Câmara,2020-06-25,113,49,-5.54933,-35.81469,2,240580,34955,323.2727793,5.721642111
