municipio,data,confirmado,suspeito,lat,lon,morte,codigo_ibge,populacao_estimada_2019,incidencia,mortalidade
Acari,2020-07-09,29,142,-6.43395,-36.63959,1,240010,11136,260.4166667,8.979885057
Açu,2020-07-09,531,526,-5.57621,-36.91483,27,240020,58017,915.2489787,46.53808367
Afonso Bezerra,2020-07-09,53,46,-5.50095,-36.50317,4,240030,11035,480.2899864,36.24830086
Água Nova,2020-07-09,1,3,-6.20748,-38.29327,,240040,3252,30.7503075,0
Alexandria,2020-07-09,18,35,-6.40831,-38.01499,2,240050,13577,132.5771525,14.73079473
Almino Afonso,2020-07-09,15,21,-6.15239,-37.76711,,240060,4735,316.7898627,0
Alto do Rodrigues,2020-07-09,202,133,-5.29508,-36.76236,9,240070,14529,1390.322803,61.94507537
Angicos,2020-07-09,81,131,-5.67997,-36.60629,2,240080,11714,691.48028,17.07358716
Antônio Martins,2020-07-09,3,12,-6.21583,-37.88829,1,240090,7145,41.98740378,13.99580126
Apodi,2020-07-09,865,179,-5.66309,-37.7982,13,240100,35845,2413.167806,36.26726182
Areia Branca,2020-07-09,591,538,-4.95542,-37.13027,43,240110,27774,2127.889393,154.8210557
Arês,2020-07-09,132,185,-6.19552,-35.17176,,240120,14306,922.6897805,0
Baía Formosa,2020-07-09,43,37,-6.37124,-35.00528,2,240140,9271,463.8118865,21.57264589
Baraúna,2020-07-09,241,79,-5.07941,-37.61694,9,240145,28374,849.3691408,31.71917953
Barcelona,2020-07-09,21,8,-5.95042,-35.926,,240150,3998,525.2626313,0
Bento Fernandes,2020-07-09,14,8,-5.69366,-35.8213,1,240160,5497,254.6843733,18.19174095
Boa Saúde,2020-07-09,20,42,-6.15681,-35.60446,,240530,10181,196.4443571,0
Bodó,2020-07-09,3,17,-5.98711,-36.41332,,240165,2223,134.9527665,0
Bom Jesus,2020-07-09,72,55,-5.98536,-35.58444,1,240170,10210,705.1909892,9.794319295
Brejinho,2020-07-09,83,62,-6.20412,-35.3654,2,240180,12699,653.5947712,15.7492716
Caiçara do Norte,2020-07-09,56,41,-5.06428,-36.05275,2,240185,6549,855.0923805,30.53901359
Caiçara do Rio do Vento,2020-07-09,51,27,-5.7576,-35.9978,1,240190,3684,1384.364821,27.14440825
Caicó,2020-07-09,421,860,-6.46037,-37.09819,10,240200,67952,619.55498,14.71627031
Campo Grande,2020-07-09,17,8,-5.86221,-37.31171,,240130,9655,176.0745728,0
Campo Redondo,2020-07-09,64,16,-6.24361,-36.18325,1,240210,11217,570.562539,8.915039672
Canguaretama,2020-07-09,162,232,-6.37781,-35.13433,13,240220,34276,472.6339129,37.92741277
Caraúbas,2020-07-09,165,86,-5.78784,-37.55911,1,240230,20493,805.1529791,4.879715025
Carnaúba dos Dantas,2020-07-09,25,129,-6.55706,-36.59243,2,240240,8180,305.6234719,24.44987775
Carnaubais,2020-07-09,74,59,-5.34,-36.8305,3,240250,10759,687.7962636,27.88363231
Ceará-Mirim,2020-07-09,530,429,-5.6352,-35.4196,28,240260,73497,721.1178688,38.09679307
Cerro Corá,2020-07-09,16,56,-6.04645,-36.34773,1,240270,11179,143.1255032,8.945343948
Coronel Ezequiel,2020-07-09,22,18,-6.38549,-36.21705,,240280,5506,399.5641119,0
Coronel João Pessoa,2020-07-09,6,8,-6.26176,-38.4442,1,240290,4912,122.1498371,20.35830619
Cruzeta,2020-07-09,23,57,-6.41214,-36.78746,1,240300,7998,287.571893,12.50312578
Currais Novos,2020-07-09,246,277,-6.25708,-36.51196,8,240310,44786,549.2787925,17.86272496
Doutor Severiano,2020-07-09,19,8,-6.09469,-38.37369,1,240320,7076,268.5132843,14.13227812
Encanto,2020-07-09,22,14,-6.11311,-38.30996,3,240330,5638,390.2092941,53.21035828
Equador,2020-07-09,9,10,-6.94464,-36.71772,,240340,6045,148.8833747,0
Espírito Santo,2020-07-09,99,40,-6.33285,-35.31054,3,240350,10505,942.408377,28.5578296
Extremoz,2020-07-09,368,451,-5.70592,-35.30274,19,240360,28583,1287.478571,66.4730784
Felipe Guerra,2020-07-09,83,10,-5.59829,-37.69658,1,240370,5985,1386.800334,16.70843776
Fernando Pedroza,2020-07-09,18,33,-5.69707,-36.53091,,240375,3054,589.3909627,0
Florânia,2020-07-09,46,184,-6.12226,-36.8103,2,240380,9116,504.6072839,21.93944713
Francisco Dantas,2020-07-09,5,24,-6.08879,-38.12427,,240390,2824,177.0538244,0
Frutuoso Gomes,2020-07-09,7,3,-6.15907,-37.84093,,240400,4068,172.0747296,0
Galinhos,2020-07-09,34,6,-5.09233,-36.27439,,240410,2786,1220.387653,0
Goianinha,2020-07-09,265,204,-6.26803,-35.20846,7,240420,26328,1006.532969,26.58766332
Governador Dix-Sept Rosado,2020-07-09,67,79,-5.45588,-37.51945,,240430,13037,513.9219146,0
Grossos,2020-07-09,187,186,-4.98204,-37.15164,4,240440,10383,1801.0209,38.52451122
Guamaré,2020-07-09,274,334,-5.10822,-36.31985,10,240450,15659,1749.792452,63.86103838
