municipio,data,confirmado,suspeito,lat,lon,morte,codigo_ibge,populacao_estimada_2019,incidencia,mortalidade
Acari,2020-06-10,8,117,-6.433949999999925,-36.63958999999994,0,240010.0,11136.0,71.83908045977012,0.0
Açu,2020-06-10,172,262,-5.576209999999946,-36.91482999999994,9,240020.0,58017.0,296.46482927417827,15.512694555044213
Afonso Bezerra,2020-06-10,18,12,-5.500949999999932,-36.50316999999996,1,240030.0,11035.0,163.11735387403715,9.062075215224286
Água Nova,2020-06-10,0,1,-6.207479999999976,-38.29326999999995,0,240040.0,3252.0,0.0,0.0
Alexandria,2020-06-10,6,4,-6.408309999999973,-38.01498999999996,1,240050.0,13577.0,44.19238417912646,7.365397363187744
Almino Afonso,2020-06-10,5,17,-6.1523899999999685,-37.767109999999946,0,240060.0,4735.0,105.59662090813093,0.0
Alto do Rodrigues,2020-06-10,73,70,-5.295079999999928,-36.76235999999994,6,240070.0,14529.0,502.4433890839012,41.296716911005575
Angicos,2020-06-10,10,44,-5.679969999999969,-36.60628999999994,1,240080.0,11714.0,85.36793580331228,8.536793580331228
Antônio Martins,2020-06-10,2,5,-6.215829999999926,-37.888289999999984,0,240090.0,7145.0,27.99160251924423,0.0
Apodi,2020-06-10,384,75,-5.663089999999952,-37.79819999999995,7,240100.0,35845.0,1071.2791184265589,19.52852559631748
Areia Branca,2020-06-10,327,649,-4.955419999999948,-37.13026999999994,31,240110.0,27774.0,1177.360120976453,111.61517966443436
Arês,2020-06-10,18,45,-6.195519999999932,-35.17175999999995,0,240120.0,14306.0,125.8213337061373,0.0
Baía Formosa,2020-06-10,6,8,-6.371239999999943,-35.00527999999996,1,240140.0,9271.0,64.71793765505339,10.7863229425089
Baraúna,2020-06-10,111,114,-5.079409999999939,-37.616939999999936,6,240145.0,28374.0,391.2032142101924,21.146119687037427
Barcelona,2020-06-10,4,8,-5.950419999999951,-35.92599999999993,0,240150.0,3998.0,100.05002501250624,0.0
Bento Fernandes,2020-06-10,6,5,-5.693659999999966,-35.82129999999995,0,240160.0,5497.0,109.15044569765327,0.0
Boa Saúde,2020-06-10,3,12,-6.1568099999999495,-35.60445999999996,0,240530.0,10181.0,29.46665357037619,0.0
Bodó,2020-06-10,1,10,-5.987109999999973,-36.413319999999935,0,240165.0,2223.0,44.9842555105713,0.0
Bom Jesus,2020-06-10,20,24,-5.985359999999957,-35.584439999999965,1,240170.0,10210.0,195.88638589618023,9.79431929480901
Brejinho,2020-06-10,22,31,-6.204119999999932,-35.365399999999966,0,240180.0,12699.0,173.24198755807544,0.0
Caiçara do Norte,2020-06-10,15,12,-5.0642799999999415,-36.052749999999946,0,240185.0,6549.0,229.04260192395785,0.0
Caiçara do Rio do Vento,2020-06-10,14,24,-5.757599999999968,-35.997799999999984,1,240190.0,3684.0,380.0217155266015,27.14440825190011
Caicó,2020-06-10,88,401,-6.460369999999955,-37.09818999999993,2,240200.0,67952.0,129.50317871438662,2.943254061690605
Campo Grande,2020-06-10,3,5,-5.862209999999948,-37.31170999999996,0,240130.0,9655.0,31.071983428275505,0.0
Campo Redondo,2020-06-10,10,12,-6.243609999999932,-36.18324999999993,0,240210.0,11217.0,89.1503967192654,0.0
Canguaretama,2020-06-10,59,53,-6.377809999999952,-35.134329999999984,7,240220.0,34276.0,172.13210409616056,20.422453028358035
Caraúbas,2020-06-10,62,15,-5.787839999999959,-37.559109999999976,0,240230.0,20493.0,302.54233152783877,0.0
Carnaúba dos Dantas,2020-06-10,5,62,-6.557059999999979,-36.59242999999998,2,240240.0,8180.0,61.12469437652812,24.449877750611243
Carnaubais,2020-06-10,21,53,-5.339999999999974,-36.830499999999965,0,240250.0,10759.0,195.1854261548471,0.0
Ceará-Mirim,2020-06-10,140,248,-5.6351999999999425,-35.419599999999946,15,240260.0,73497.0,190.4839653319183,20.408996285562676
Cerro Corá,2020-06-10,1,23,-6.046449999999938,-36.34772999999996,1,240270.0,11179.0,8.94534394847482,8.94534394847482
Coronel Ezequiel,2020-06-10,1,3,-6.385489999999948,-36.217049999999965,0,240280.0,5506.0,18.162005085361425,0.0
Coronel João Pessoa,2020-06-10,3,8,-6.261759999999981,-38.44419999999997,1,240290.0,4912.0,61.07491856677524,20.35830618892508
Cruzeta,2020-06-10,13,16,-6.412139999999965,-36.78745999999995,0,240300.0,7998.0,162.5406351587897,0.0
Currais Novos,2020-06-10,37,107,-6.2570799999999736,-36.51195999999993,1,240310.0,44786.0,82.61510293395257,2.232840619836556
Doutor Severiano,2020-06-10,6,5,-6.094689999999957,-38.373689999999954,0,240320.0,7076.0,84.79366873940079,0.0
Encanto,2020-06-10,15,27,-6.113109999999947,-38.309959999999926,2,240330.0,5638.0,266.05179141539554,35.4735721887194
Equador,2020-06-10,5,3,-6.944639999999938,-36.71771999999993,0,240340.0,6045.0,82.71298593879239,0.0
Espírito Santo,2020-06-10,9,8,-6.332849999999951,-35.310539999999946,0,240350.0,10505.0,85.67348881485007,0.0
Extremoz,2020-06-10,156,219,-5.705919999999932,-35.302739999999964,4,240360.0,28583.0,545.7789595213939,13.994332295420353
Felipe Guerra,2020-06-10,38,9,-5.598289999999963,-37.696579999999976,0,240370.0,5985.0,634.9206349206349,0.0
Fernando Pedroza,2020-06-10,5,20,-5.6970699999999415,-36.53090999999995,0,240375.0,3054.0,163.71971185330713,0.0
Florânia,2020-06-10,9,49,-6.122259999999926,-36.810299999999984,0,240380.0,9116.0,98.72751206669592,0.0
Francisco Dantas,2020-06-10,1,15,-6.0887899999999595,-38.12426999999997,0,240390.0,2824.0,35.41076487252125,0.0
Frutuoso Gomes,2020-06-10,5,7,-6.159069999999929,-37.840929999999965,0,240400.0,4068.0,122.91052114060963,0.0
Galinhos,2020-06-10,4,4,-5.092329999999947,-36.274389999999975,0,240410.0,2786.0,143.57501794687724,0.0
Goianinha,2020-06-10,73,151,-6.2680299999999525,-35.208459999999945,0,240420.0,26328.0,277.27134609541173,0.0
Governador Dix-Sept Rosado,2020-06-10,13,56,-5.455879999999978,-37.51944999999995,0,240430.0,13037.0,99.71619237554653,0.0
Grossos,2020-06-10,28,98,-4.982039999999927,-37.15163999999993,1,240440.0,10383.0,269.6715785418473,9.631127805065974
Guamaré,2020-06-10,83,156,-5.10821999999996,-36.31984999999997,4,240450.0,15659.0,530.0466185580177,25.544415352193628
Ielmo Marinho,2020-06-10,20,33,-5.8213799999999765,-35.552379999999964,2,240460.0,13766.0,145.2854859799506,14.52854859799506
Ipanguaçu,2020-06-10,35,35,-5.50834999999995,-36.85965999999996,6,240470.0,15491.0,225.93764121102575,38.73216706474727
Ipueira,2020-06-10,2,11,-6.816899999999976,-37.19819999999993,0,240480.0,2241.0,89.2458723784025,0.0
Itajá,2020-06-10,24,20,-5.631279999999948,-36.86386999999996,1,240485.0,7548.0,317.9650238473768,13.248542660307367
