municipio,data,confirmado,suspeito,lat,lon,morte,codigo_ibge,populacao_estimada_2019,incidencia,mortalidade
Acari,2020-07-24,42,206,-6.43395,-36.63959,3,240010,11136,377.1551724,26.93965517
Açu,2020-07-24,779,941,-5.57621,-36.91483,39,240020,58017,1342.709895,67.22167641
Afonso Bezerra,2020-07-24,58,57,-5.50095,-36.50317,5,240030,11035,525.6003625,45.31037608
Água Nova,2020-07-24,4,3,-6.20748,-38.29327,,240040,3252,123.00123,0
Alexandria,2020-07-24,27,54,-6.40831,-38.01499,3,240050,13577,198.8657288,22.09619209
Almino Afonso,2020-07-24,17,30,-6.15239,-37.76711,,240060,4735,359.0285111,0
Alto do Rodrigues,2020-07-24,237,168,-5.29508,-36.76236,11,240070,14529,1631.220318,75.71064767
Angicos,2020-07-24,85,147,-5.67997,-36.60629,3,240080,11714,725.6274543,25.61038074
Antônio Martins,2020-07-24,3,23,-6.21583,-37.88829,1,240090,7145,41.98740378,13.99580126
Apodi,2020-07-24,1119,189,-5.66309,-37.7982,18,240100,35845,3121.774306,50.21620868
Areia Branca,2020-07-24,649,569,-4.95542,-37.13027,47,240110,27774,2336.717794,169.2230143
Arês,2020-07-24,179,257,-6.19552,-35.17176,4,240120,14306,1251.223263,27.96029638
Baía Formosa,2020-07-24,73,48,-6.37124,-35.00528,3,240140,9271,787.4015748,32.35896883
Baraúna,2020-07-24,298,82,-5.07941,-37.61694,10,240145,28374,1050.257278,35.24353281
Barcelona,2020-07-24,25,8,-5.95042,-35.926,,240150,3998,625.3126563,0
Bento Fernandes,2020-07-24,21,8,-5.69366,-35.8213,1,240160,5497,382.0265599,18.19174095
Boa Saúde,2020-07-24,36,41,-6.15681,-35.60446,,240530,10181,353.5998428,0
Bodó,2020-07-24,3,24,-5.98711,-36.41332,,240165,2223,134.9527665,0
Bom Jesus,2020-07-24,92,47,-5.98536,-35.58444,1,240170,10210,901.0773751,9.794319295
Brejinho,2020-07-24,116,66,-6.20412,-35.3654,3,240180,12699,913.4577526,23.62390739
Caiçara do Norte,2020-07-24,74,50,-5.06428,-36.05275,2,240185,6549,1129.943503,30.53901359
Caiçara do Rio do Vento,2020-07-24,60,25,-5.7576,-35.9978,1,240190,3684,1628.664495,27.14440825
Caicó,2020-07-24,771,1249,-6.46037,-37.09819,15,240200,67952,1134.624441,22.07440546
Campo Grande,2020-07-24,38,25,-5.86221,-37.31171,2,240130,9655,393.5784568,20.71465562
Campo Redondo,2020-07-24,113,13,-6.24361,-36.18325,2,240210,11217,1007.399483,17.83007934
Canguaretama,2020-07-24,188,294,-6.37781,-35.13433,15,240220,34276,548.4887385,43.76239935
Caraúbas,2020-07-24,243,90,-5.78784,-37.55911,3,240230,20493,1185.770751,14.63914507
Carnaúba dos Dantas,2020-07-24,28,140,-6.55706,-36.59243,3,240240,8180,342.2982885,36.67481663
Carnaubais,2020-07-24,89,82,-5.34,-36.8305,4,240250,10759,827.2144251,37.17817641
Ceará-Mirim,2020-07-24,634,465,-5.6352,-35.4196,32,240260,73497,862.620243,43.53919208
Cerro Corá,2020-07-24,23,69,-6.04645,-36.34773,1,240270,11179,205.7429108,8.945343948
Coronel Ezequiel,2020-07-24,27,26,-6.38549,-36.21705,,240280,5506,490.3741373,0
Coronel João Pessoa,2020-07-24,6,9,-6.26176,-38.4442,1,240290,4912,122.1498371,20.35830619
Cruzeta,2020-07-24,34,70,-6.41214,-36.78746,1,240300,7998,425.1062766,12.50312578
Currais Novos,2020-07-24,378,329,-6.25708,-36.51196,11,240310,44786,844.0137543,24.56124682
Doutor Severiano,2020-07-24,20,7,-6.09469,-38.37369,1,240320,7076,282.6455625,14.13227812
Encanto,2020-07-24,32,16,-6.11311,-38.30996,3,240330,5638,567.577155,53.21035828
Equador,2020-07-24,14,14,-6.94464,-36.71772,,240340,6045,231.5963606,0
Espírito Santo,2020-07-24,119,43,-6.33285,-35.31054,6,240350,10505,1132.793908,57.11565921
Extremoz,2020-07-24,418,486,-5.70592,-35.30274,24,240360,28583,1462.407725,83.96599377
Felipe Guerra,2020-07-24,89,10,-5.59829,-37.69658,1,240370,5985,1487.050961,16.70843776
Fernando Pedroza,2020-07-24,19,49,-5.69707,-36.53091,,240375,3054,622.134905,0
Florânia,2020-07-24,67,238,-6.12226,-36.8103,4,240380,9116,734.9714787,43.87889425
Francisco Dantas,2020-07-24,6,30,-6.08879,-38.12427,,240390,2824,212.4645892,0
Frutuoso Gomes,2020-07-24,12,3,-6.15907,-37.84093,,240400,4068,294.9852507,0
Galinhos,2020-07-24,46,8,-5.09233,-36.27439,,240410,2786,1651.112706,0
Goianinha,2020-07-24,320,284,-6.26803,-35.20846,7,240420,26328,1215.436038,26.58766332
Governador Dix-Sept Rosado,2020-07-24,97,91,-5.45588,-37.51945,1,240430,13037,744.0362046,7.670476337
Grossos,2020-07-24,209,233,-4.98204,-37.15164,4,240440,10383,2012.905711,38.52451122
Guamaré,2020-07-24,349,442,-5.10822,-36.31985,12,240450,15659,2228.750239,76.63324606
Ielmo Marinho,2020-07-24,99,91,-5.82138,-35.55238,1,240460,13766,719.1631556,7.264274299
Ipanguaçu,2020-07-24,136,121,-5.50835,-36.85966,9,240470,15491,877.9291201,58.0982506
Ipueira,2020-07-24,6,12,-6.8169,-37.1982,,240480,2241,267.7376171,0
Itajá,2020-07-24,164,103,-5.63128,-36.86387,2,240485,7548,2172.760996,26.49708532
Itaú,2020-07-24,20,22,-5.84451,-37.99029,,240490,5878,340.2517863,0
Jaçanã,2020-07-24,168,45,-6.42742,-36.20408,,240500,9133,1839.483193,0
Jandaíra,2020-07-24,82,42,-5.357,-36.12584,1,240510,6878,1192.207037,14.53911021
Janduís,2020-07-24,38,52,-6.01718,-37.40641,1,240520,5268,721.3363705,18.98253607
Japi,2020-07-24,16,41,-6.46597,-35.94585,1,240540,5055,316.5182987,19.78239367
Jardim de Angicos,2020-07-24,3,6,-5.65155,-35.97139,,240550,2612,114.8545176,0
Jardim de Piranhas,2020-07-24,209,445,-6.37882,-37.35209,8,240560,14837,1408.640561,53.91925591
Jardim do Seridó,2020-07-24,73,84,-6.58731,-36.77304,2,240570,12396,588.899645,16.13423685
João Câmara,2020-07-24,265,105,-5.54933,-35.81469,4,240580,34955,758.1175797,11.44328422
João Dias,2020-07-24,1,5,-6.27803,-37.79739,,240590,2654,37.67897513,0
José da Penha,2020-07-24,5,6,-6.31884,-38.28444,,240600,5951,84.01949252,0
Jucurutu,2020-07-24,124,399,-6.03196,-37.01604,4,240610,18295,677.7808144,21.86389724
Jundiá,2020-07-24,36,15,-6.26701,-35.32768,1,240615,3898,923.5505387,25.65418163
Lagoa d'Anta,2020-07-24,66,97,-6.39137,-35.59791,3,240620,6769,975.0332398,44.31969272
Lagoa de Pedras,2020-07-24,27,32,-6.14635,-35.43342,4,240630,7544,357.9003181,53.02226935
Lagoa de Velhos,2020-07-24,52,3,-6.00234,-35.86802,1,240640,2732,1903.367496,36.60322108
Lagoa Nova,2020-07-24,35,17,-6.09447,-36.47148,1,240650,15614,224.1578071,6.404508774
Lagoa Salgada,2020-07-24,52,73,-6.12244,-35.48143,2,240660,8245,630.6852638,24.25712553
Lajes,2020-07-24,54,200,-5.70114,-36.24449,1,240670,11277,478.8507582,8.867606633
Lajes Pintadas,2020-07-24,75,23,-6.14999,-36.1168,1,240680,4759,1575.961336,21.01281782
Lucrécia,2020-07-24,5,8,-6.11528,-37.81364,,240690,3996,125.1251251,0
Luís Gomes,2020-07-24,19,39,-6.4133,-38.38689,1,240700,10116,187.8212732,9.88533017
Macaíba,2020-07-24,654,1991,-5.85975,-35.3498,34,240710,80792,809.4860877,42.08337459
Macau,2020-07-24,237,200,-5.11261,-36.63449,15,240720,31814,744.9550512,47.14905388
Major Sales,2020-07-24,5,80,-6.40682,-38.32301,1,240725,4020,124.3781095,24.87562189
Marcelino Vieira,2020-07-24,26,60,-6.29336,-38.16689,,240730,8347,311.4891578,0
Martins,2020-07-24,15,7,-6.09002,-37.91357,,240740,8725,171.9197708,0
Maxaranguape,2020-07-24,118,54,-5.51832,-35.25922,2,240750,12371,953.8436666,16.16684181
Messias Targino,2020-07-24,40,17,-6.07799,-37.51304,1,240760,4601,869.3762226,21.73440556
