municipio,data,confirmado,suspeito,lat,lon,morte,codigo_ibge,populacao_estimada_2019,incidencia,mortalidade
Acari,2020-07-23,42,201,-6.43395,-36.63959,3,240010,11136,377.1551724,26.93965517
Açu,2020-07-23,771,866,-5.57621,-36.91483,39,240020,58017,1328.920834,67.22167641
Afonso Bezerra,2020-07-23,58,55,-5.50095,-36.50317,5,240030,11035,525.6003625,45.31037608
Água Nova,2020-07-23,3,4,-6.20748,-38.29327,,240040,3252,92.25092251,0
Alexandria,2020-07-23,26,44,-6.40831,-38.01499,3,240050,13577,191.5003314,22.09619209
Almino Afonso,2020-07-23,17,30,-6.15239,-37.76711,,240060,4735,359.0285111,0
Alto do Rodrigues,2020-07-23,237,166,-5.29508,-36.76236,11,240070,14529,1631.220318,75.71064767
Angicos,2020-07-23,84,145,-5.67997,-36.60629,3,240080,11714,717.0906607,25.61038074
Antônio Martins,2020-07-23,3,22,-6.21583,-37.88829,1,240090,7145,41.98740378,13.99580126
Apodi,2020-07-23,1097,195,-5.66309,-37.7982,18,240100,35845,3060.39894,50.21620868
Areia Branca,2020-07-23,646,563,-4.95542,-37.13027,47,240110,27774,2325.916325,169.2230143
Arês,2020-07-23,176,253,-6.19552,-35.17176,3,240120,14306,1230.253041,20.97022228
Baía Formosa,2020-07-23,73,48,-6.37124,-35.00528,3,240140,9271,787.4015748,32.35896883
Baraúna,2020-07-23,282,82,-5.07941,-37.61694,10,240145,28374,993.8676253,35.24353281
Barcelona,2020-07-23,25,8,-5.95042,-35.926,,240150,3998,625.3126563,0
Bento Fernandes,2020-07-23,20,8,-5.69366,-35.8213,1,240160,5497,363.834819,18.19174095
Boa Saúde,2020-07-23,36,41,-6.15681,-35.60446,,240530,10181,353.5998428,0
Bodó,2020-07-23,3,24,-5.98711,-36.41332,,240165,2223,134.9527665,0
Bom Jesus,2020-07-23,89,52,-5.98536,-35.58444,1,240170,10210,871.6944172,9.794319295
Brejinho,2020-07-23,116,64,-6.20412,-35.3654,3,240180,12699,913.4577526,23.62390739
