municipio,data,confirmado,suspeito,lat,lon
Acari,2020-03-10,0,0,-6.433949999999925,-36.63958999999994
Afonso Bezerra,2020-03-10,0,0,-5.500949999999932,-36.50316999999996
Alto do Rodrigues,2020-03-10,0,0,-5.295079999999928,-36.76235999999994
Angicos,2020-03-10,0,0,-5.679969999999969,-36.60628999999994
Apodi,2020-03-10,0,0,-5.663089999999953,-37.79819999999995
Areia Branca,2020-03-10,0,0,-4.955419999999948,-37.13026999999994
Açu,2020-03-10,0,0,-5.576209999999946,-36.91482999999994
Baraúna,2020-03-10,0,0,-5.079409999999939,-37.616939999999936
Barcelona,2020-03-10,0,0,-5.950419999999951,-35.92599999999993
Baía Formosa,2020-03-10,0,0,-6.3712399999999425,-35.00527999999996
Bodó,2020-03-10,0,0,-5.987109999999973,-36.413319999999935
Bom Jesus,2020-03-10,0,0,-5.985359999999957,-35.584439999999965
Brejinho,2020-03-10,0,0,-6.204119999999932,-35.365399999999966
Caicó,2020-03-10,0,0,-6.460369999999955,-37.09818999999993
Caiçara do Norte,2020-03-10,0,0,-5.064279999999941,-36.052749999999946
Campo Grande,2020-03-10,0,0,-5.862209999999948,-37.311709999999955
Canguaretama,2020-03-10,0,0,-6.377809999999953,-35.134329999999984
Caraúbas,2020-03-10,0,0,-5.787839999999959,-37.559109999999976
Carnaubais,2020-03-10,0,0,-5.339999999999974,-36.830499999999965
Ceará-Mirim,2020-03-10,0,0,-5.635199999999942,-35.419599999999946
Cerro Corá,2020-03-10,0,0,-6.046449999999937,-36.34772999999996
Coronel João Pessoa,2020-03-10,0,0,-6.261759999999981,-38.44419999999997
Cruzeta,2020-03-10,0,0,-6.412139999999965,-36.78745999999995
Currais Novos,2020-03-10,0,0,-6.2570799999999736,-36.51195999999993
Doutor Severiano,2020-03-10,0,0,-6.094689999999957,-38.373689999999954
Espírito Santo,2020-03-10,0,0,-6.332849999999951,-35.310539999999946
Extremoz,2020-03-10,0,0,-5.705919999999934,-35.302739999999964
Felipe Guerra,2020-03-10,0,0,-5.598289999999963,-37.696579999999976
Fernando Pedroza,2020-03-10,0,0,-5.697069999999941,-36.53090999999995
Florânia,2020-03-10,0,0,-6.122259999999926,-36.810299999999984
Frutuoso Gomes,2020-03-10,0,1,-6.159069999999929,-37.840929999999965
Goianinha,2020-03-10,0,0,-6.2680299999999525,-35.208459999999945
Governador Dix-Sept Rosado,2020-03-10,0,0,-5.455879999999978,-37.51944999999995
Guamaré,2020-03-10,0,0,-5.10821999999996,-36.31984999999997
Ipanguaçu,2020-03-10,0,0,-5.50834999999995,-36.85965999999996
Ipueira,2020-03-10,0,0,-6.816899999999976,-37.19819999999993
Itajá,2020-03-10,0,0,-5.631279999999948,-36.86386999999996
Januário Cicco,2020-03-10,0,0,-6.1568099999999495,-35.60445999999996
Jardim do Seridó,2020-03-10,0,0,-6.587309999999945,-36.77303999999997
João Câmara,2020-03-10,0,0,-5.549329999999942,-35.814689999999985
Jucurutu,2020-03-10,0,0,-6.0319599999999705,-37.016039999999975
Jundiá,2020-03-10,0,0,-6.2670099999999715,-35.32767999999993
Lagoa Salgada,2020-03-10,0,0,-6.122439999999926,-35.481429999999925
Lagoa d'Anta,2020-03-10,0,0,-6.391369999999938,-35.59790999999996
Lagoa de Velhos,2020-03-10,0,0,-6.002339999999948,-35.868019999999945
Lajes,2020-03-10,0,0,-5.701139999999953,-36.24448999999999
Luís Gomes,2020-03-10,0,0,-6.4132999999999365,-38.38688999999994
Macau,2020-03-10,0,0,-5.112609999999961,-36.634489999999964
Macaíba,2020-03-10,0,0,-5.859749999999963,-35.34979999999996
Major Sales,2020-03-10,0,0,-6.406819999999925,-38.323009999999954
Marcelino Vieira,2020-03-10,0,0,-6.29335999999995,-38.16688999999997
