municipio,data,confirmado,suspeito,lat,lon,morte,codigo_ibge,populacao_estimada_2019,incidencia,mortalidade
Acari,2020-07-10,35,153,-6.43395,-36.63959,2,240010,11136,314.295977,17.95977011
Açu,2020-07-10,576,604,-5.57621,-36.91483,27,240020,58017,992.8124515,46.53808367
Afonso Bezerra,2020-07-10,54,48,-5.50095,-36.50317,4,240030,11035,489.3520616,36.24830086
Água Nova,2020-07-10,3,5,-6.20748,-38.29327,,240040,3252,92.25092251,0
Alexandria,2020-07-10,18,35,-6.40831,-38.01499,2,240050,13577,132.5771525,14.73079473
Almino Afonso,2020-07-10,15,28,-6.15239,-37.76711,,240060,4735,316.7898627,0
Alto do Rodrigues,2020-07-10,204,136,-5.29508,-36.76236,9,240070,14529,1404.088375,61.94507537
Angicos,2020-07-10,81,132,-5.67997,-36.60629,2,240080,11714,691.48028,17.07358716
Antônio Martins,2020-07-10,3,13,-6.21583,-37.88829,1,240090,7145,41.98740378,13.99580126
Apodi,2020-07-10,893,166,-5.66309,-37.7982,14,240100,35845,2491.281908,39.05705119
Areia Branca,2020-07-10,591,551,-4.95542,-37.13027,43,240110,27774,2127.889393,154.8210557
Arês,2020-07-10,134,198,-6.19552,-35.17176,,240120,14306,936.6699287,0
Baía Formosa,2020-07-10,48,39,-6.37124,-35.00528,2,240140,9271,517.7435012,21.57264589
Baraúna,2020-07-10,245,79,-5.07941,-37.61694,9,240145,28374,863.4665539,31.71917953
Barcelona,2020-07-10,21,8,-5.95042,-35.926,,240150,3998,525.2626313,0
Bento Fernandes,2020-07-10,16,8,-5.69366,-35.8213,1,240160,5497,291.0678552,18.19174095
Boa Saúde,2020-07-10,22,43,-6.15681,-35.60446,,240530,10181,216.0887928,0
Bodó,2020-07-10,3,17,-5.98711,-36.41332,,240165,2223,134.9527665,0
Bom Jesus,2020-07-10,76,56,-5.98536,-35.58444,1,240170,10210,744.3682664,9.794319295
Brejinho,2020-07-10,85,63,-6.20412,-35.3654,2,240180,12699,669.3440428,15.7492716
Caiçara do Norte,2020-07-10,56,41,-5.06428,-36.05275,2,240185,6549,855.0923805,30.53901359
Caiçara do Rio do Vento,2020-07-10,51,28,-5.7576,-35.9978,1,240190,3684,1384.364821,27.14440825
Caicó,2020-07-10,441,886,-6.46037,-37.09819,10,240200,67952,648.9875206,14.71627031
Campo Grande,2020-07-10,18,10,-5.86221,-37.31171,,240130,9655,186.4319006,0
Campo Redondo,2020-07-10,64,16,-6.24361,-36.18325,1,240210,11217,570.562539,8.915039672
Canguaretama,2020-07-10,164,231,-6.37781,-35.13433,13,240220,34276,478.4688995,37.92741277
Caraúbas,2020-07-10,176,86,-5.78784,-37.55911,1,240230,20493,858.8298443,4.879715025
Carnaúba dos Dantas,2020-07-10,27,129,-6.55706,-36.59243,2,240240,8180,330.0733496,24.44987775
Carnaubais,2020-07-10,77,62,-5.34,-36.8305,3,240250,10759,715.6798959,27.88363231
Ceará-Mirim,2020-07-10,555,442,-5.6352,-35.4196,28,240260,73497,755.1328626,38.09679307
Cerro Corá,2020-07-10,17,57,-6.04645,-36.34773,1,240270,11179,152.0708471,8.945343948
Coronel Ezequiel,2020-07-10,23,18,-6.38549,-36.21705,,240280,5506,417.726117,0
Coronel João Pessoa,2020-07-10,6,9,-6.26176,-38.4442,1,240290,4912,122.1498371,20.35830619
Cruzeta,2020-07-10,24,60,-6.41214,-36.78746,1,240300,7998,300.0750188,12.50312578
Currais Novos,2020-07-10,272,289,-6.25708,-36.51196,8,240310,44786,607.3326486,17.86272496
Doutor Severiano,2020-07-10,19,9,-6.09469,-38.37369,1,240320,7076,268.5132843,14.13227812
Encanto,2020-07-10,22,15,-6.11311,-38.30996,3,240330,5638,390.2092941,53.21035828
Equador,2020-07-10,9,13,-6.94464,-36.71772,,240340,6045,148.8833747,0
Espírito Santo,2020-07-10,100,41,-6.33285,-35.31054,3,240350,10505,951.9276535,28.5578296
Extremoz,2020-07-10,375,451,-5.70592,-35.30274,19,240360,28583,1311.968653,66.4730784
Felipe Guerra,2020-07-10,84,11,-5.59829,-37.69658,1,240370,5985,1403.508772,16.70843776
Fernando Pedroza,2020-07-10,18,37,-5.69707,-36.53091,,240375,3054,589.3909627,0
Florânia,2020-07-10,51,198,-6.12226,-36.8103,2,240380,9116,559.4559017,21.93944713
Francisco Dantas,2020-07-10,5,24,-6.08879,-38.12427,,240390,2824,177.0538244,0
Frutuoso Gomes,2020-07-10,9,3,-6.15907,-37.84093,,240400,4068,221.2389381,0
Galinhos,2020-07-10,39,6,-5.09233,-36.27439,,240410,2786,1399.856425,0
