municipio,data,confirmado,suspeito,lat,lon,morte,codigo_ibge,populacao_estimada_2019,incidencia,mortalidade
Acari,2020-07-21,41,200,-6.43395,-36.63959,3,240010,11136,368.1752874,26.93965517
Açu,2020-07-21,704,807,-5.57621,-36.91483,37,240020,58017,1213.437441,63.77441095
Afonso Bezerra,2020-07-21,58,52,-5.50095,-36.50317,5,240030,11035,525.6003625,45.31037608
Água Nova,2020-07-21,3,4,-6.20748,-38.29327,,240040,3252,92.25092251,0
Alexandria,2020-07-21,26,41,-6.40831,-38.01499,3,240050,13577,191.5003314,22.09619209
Almino Afonso,2020-07-21,17,30,-6.15239,-37.76711,,240060,4735,359.0285111,0
Alto do Rodrigues,2020-07-21,231,160,-5.29508,-36.76236,10,240070,14529,1589.923601,68.82786152
Angicos,2020-07-21,84,141,-5.67997,-36.60629,3,240080,11714,717.0906607,25.61038074
Antônio Martins,2020-07-21,3,17,-6.21583,-37.88829,1,240090,7145,41.98740378,13.99580126
Apodi,2020-07-21,1026,178,-5.66309,-37.7982,17,240100,35845,2862.323895,47.42641931
Areia Branca,2020-07-21,630,554,-4.95542,-37.13027,47,240110,27774,2268.30849,169.2230143
Arês,2020-07-21,168,244,-6.19552,-35.17176,3,240120,14306,1174.332448,20.97022228
Baía Formosa,2020-07-21,67,48,-6.37124,-35.00528,2,240140,9271,722.6836371,21.57264589
Baraúna,2020-07-21,265,81,-5.07941,-37.61694,10,240145,28374,933.9536195,35.24353281
Barcelona,2020-07-21,24,8,-5.95042,-35.926,,240150,3998,600.3001501,0
Bento Fernandes,2020-07-21,20,8,-5.69366,-35.8213,1,240160,5497,363.834819,18.19174095
Boa Saúde,2020-07-21,36,41,-6.15681,-35.60446,,240530,10181,353.5998428,0
Bodó,2020-07-21,3,24,-5.98711,-36.41332,,240165,2223,134.9527665,0
Bom Jesus,2020-07-21,88,49,-5.98536,-35.58444,1,240170,10210,861.9000979,9.794319295
Brejinho,2020-07-21,112,62,-6.20412,-35.3654,3,240180,12699,881.9592094,23.62390739
Caiçara do Norte,2020-07-21,73,47,-5.06428,-36.05275,2,240185,6549,1114.673996,30.53901359
Caiçara do Rio do Vento,2020-07-21,57,22,-5.7576,-35.9978,1,240190,3684,1547.23127,27.14440825
Caicó,2020-07-21,666,1017,-6.46037,-37.09819,14,240200,67952,980.1036025,20.60277843
Campo Grande,2020-07-21,27,22,-5.86221,-37.31171,1,240130,9655,279.6478509,10.35732781
Campo Redondo,2020-07-21,103,12,-6.24361,-36.18325,2,240210,11217,918.2490862,17.83007934
Canguaretama,2020-07-21,179,281,-6.37781,-35.13433,15,240220,34276,522.2312989,43.76239935
Caraúbas,2020-07-21,225,96,-5.78784,-37.55911,3,240230,20493,1097.935881,14.63914507
Carnaúba dos Dantas,2020-07-21,28,136,-6.55706,-36.59243,3,240240,8180,342.2982885,36.67481663
Carnaubais,2020-07-21,88,82,-5.34,-36.8305,4,240250,10759,817.919881,37.17817641
Ceará-Mirim,2020-07-21,612,450,-5.6352,-35.4196,31,240260,73497,832.6870485,42.17859232
Cerro Corá,2020-07-21,22,68,-6.04645,-36.34773,1,240270,11179,196.7975669,8.945343948
Coronel Ezequiel,2020-07-21,26,25,-6.38549,-36.21705,,240280,5506,472.2121322,0
Coronel João Pessoa,2020-07-21,6,9,-6.26176,-38.4442,1,240290,4912,122.1498371,20.35830619
Cruzeta,2020-07-21,33,69,-6.41214,-36.78746,1,240300,7998,412.6031508,12.50312578
Currais Novos,2020-07-21,345,322,-6.25708,-36.51196,10,240310,44786,770.3300138,22.3284062
Doutor Severiano,2020-07-21,19,7,-6.09469,-38.37369,1,240320,7076,268.5132843,14.13227812
Encanto,2020-07-21,29,15,-6.11311,-38.30996,3,240330,5638,514.3667967,53.21035828
Equador,2020-07-21,14,13,-6.94464,-36.71772,,240340,6045,231.5963606,0
Espírito Santo,2020-07-21,119,45,-6.33285,-35.31054,6,240350,10505,1132.793908,57.11565921
Extremoz,2020-07-21,413,471,-5.70592,-35.30274,24,240360,28583,1444.91481,83.96599377
Felipe Guerra,2020-07-21,89,10,-5.59829,-37.69658,1,240370,5985,1487.050961,16.70843776
Fernando Pedroza,2020-07-21,19,48,-5.69707,-36.53091,,240375,3054,622.134905,0
Florânia,2020-07-21,63,221,-6.12226,-36.8103,4,240380,9116,691.0925845,43.87889425
Francisco Dantas,2020-07-21,5,28,-6.08879,-38.12427,,240390,2824,177.0538244,0
Frutuoso Gomes,2020-07-21,9,3,-6.15907,-37.84093,,240400,4068,221.2389381,0
Galinhos,2020-07-21,45,7,-5.09233,-36.27439,,240410,2786,1615.218952,0
Goianinha,2020-07-21,308,256,-6.26803,-35.20846,7,240420,26328,1169.857186,26.58766332
Governador Dix-Sept Rosado,2020-07-21,92,83,-5.45588,-37.51945,1,240430,13037,705.683823,7.670476337
Grossos,2020-07-21,197,213,-4.98204,-37.15164,4,240440,10383,1897.332178,38.52451122
Guamaré,2020-07-21,296,361,-5.10822,-36.31985,12,240450,15659,1890.286736,76.63324606
Ielmo Marinho,2020-07-21,97,85,-5.82138,-35.55238,1,240460,13766,704.634607,7.264274299
Ipanguaçu,2020-07-21,123,119,-5.50835,-36.85966,9,240470,15491,794.0094248,58.0982506
Ipueira,2020-07-21,6,12,-6.8169,-37.1982,,240480,2241,267.7376171,0
Itajá,2020-07-21,159,98,-5.63128,-36.86387,2,240485,7548,2106.518283,26.49708532
Itaú,2020-07-21,19,15,-5.84451,-37.99029,,240490,5878,323.239197,0
Jaçanã,2020-07-21,154,36,-6.42742,-36.20408,,240500,9133,1686.192927,0
