municipio,data,confirmado,suspeito,lat,lon,morte,codigo_ibge,populacao_estimada_2019,incidencia,mortalidade
Acari,2020-07-17,41,167,-6.43395,-36.63959,3,240010,11136,368.1752874,26.93965517
Açu,2020-07-17,642,654,-5.57621,-36.91483,36,240020,58017,1106.572212,62.05077822
Afonso Bezerra,2020-07-17,56,45,-5.50095,-36.50317,5,240030,11035,507.4762121,45.31037608
Água Nova,2020-07-17,3,3,-6.20748,-38.29327,,240040,3252,92.25092251,0
Alexandria,2020-07-17,25,33,-6.40831,-38.01499,3,240050,13577,184.1349341,22.09619209
Almino Afonso,2020-07-17,15,30,-6.15239,-37.76711,,240060,4735,316.7898627,0
Alto do Rodrigues,2020-07-17,220,144,-5.29508,-36.76236,9,240070,14529,1514.212953,61.94507537
Angicos,2020-07-17,82,136,-5.67997,-36.60629,3,240080,11714,700.0170736,25.61038074
Antônio Martins,2020-07-17,3,12,-6.21583,-37.88829,1,240090,7145,41.98740378,13.99580126
Apodi,2020-07-17,994,141,-5.66309,-37.7982,17,240100,35845,2773.050635,47.42641931
Areia Branca,2020-07-17,619,530,-4.95542,-37.13027,47,240110,27774,2228.703104,169.2230143
Arês,2020-07-17,146,205,-6.19552,-35.17176,2,240120,14306,1020.550818,13.98014819
Baía Formosa,2020-07-17,63,39,-6.37124,-35.00528,2,240140,9271,679.5383454,21.57264589
Baraúna,2020-07-17,248,79,-5.07941,-37.61694,10,240145,28374,874.0396137,35.24353281
Barcelona,2020-07-17,22,8,-5.95042,-35.926,,240150,3998,550.2751376,0
Bento Fernandes,2020-07-17,18,8,-5.69366,-35.8213,1,240160,5497,327.4513371,18.19174095
Boa Saúde,2020-07-17,24,40,-6.15681,-35.60446,,240530,10181,235.7332286,0
Bodó,2020-07-17,3,17,-5.98711,-36.41332,,240165,2223,134.9527665,0
Bom Jesus,2020-07-17,83,43,-5.98536,-35.58444,1,240170,10210,812.9285015,9.794319295
Brejinho,2020-07-17,106,61,-6.20412,-35.3654,3,240180,12699,834.7113946,23.62390739
Caiçara do Norte,2020-07-17,61,41,-5.06428,-36.05275,2,240185,6549,931.4399145,30.53901359
Caiçara do Rio do Vento,2020-07-17,57,21,-5.7576,-35.9978,1,240190,3684,1547.23127,27.14440825
Caicó,2020-07-17,580,922,-6.46037,-37.09819,12,240200,67952,853.5436779,17.65952437
Campo Grande,2020-07-17,21,15,-5.86221,-37.31171,,240130,9655,217.503884,0
Campo Redondo,2020-07-17,85,11,-6.24361,-36.18325,2,240210,11217,757.7783721,17.83007934
Canguaretama,2020-07-17,167,263,-6.37781,-35.13433,14,240220,34276,487.2213794,40.84490606
Caraúbas,2020-07-17,193,85,-5.78784,-37.55911,3,240230,20493,941.7849998,14.63914507
