municipio,data,confirmado,suspeito,lat,lon,morte
Messias Targino,2020-05-16,0,0,-6.077989999999943,-37.513039999999926,0
Montanhas,2020-05-16,2,14,-6.484459999999956,-35.285369999999936,1
Monte Alegre,2020-05-16,8,27,-6.072449999999948,-35.33660999999995,0
Monte das Gameleiras,2020-05-16,0,3,-6.440269999999941,-35.78496999999993,0
Mossoró,2020-05-16,527,615,-5.1878399999999365,-37.34421999999995,27
Natal,2020-05-16,1288,4893,-5.795439999999927,-35.211509999999976,36
Nísia Floresta,2020-05-16,10,24,-6.051759999999945,-35.22305999999997,1
Nova Cruz,2020-05-16,4,47,-6.475229999999954,-35.42883999999998,0
Olho-d'Água do Borges,2020-05-16,0,0,-5.9557499999999655,-37.703629999999976,0
Ouro Branco,2020-05-16,1,2,-6.703359999999975,-36.945779999999964,0
Paraná,2020-05-16,1,12,-6.484079999999949,-38.31215999999995,0
Paraú,2020-05-16,2,9,-5.777339999999981,-37.10159999999996,0
Parazinho,2020-05-16,1,3,-5.2269099999999735,-35.83941999999996,0
Parelhas,2020-05-16,2,40,-6.69241999999997,-36.658919999999966,0
Parnamirim,2020-05-16,239,908,-5.905429999999968,-35.26119999999997,6
Passa e Fica,2020-05-16,1,0,-6.4354699999999525,-35.64358999999996,0
Passagem,2020-05-16,0,1,-6.278699999999957,-35.37551999999994,0
Patu,2020-05-16,0,2,-6.101939999999956,-37.637299999999975,0
Pau dos Ferros,2020-05-16,15,49,-6.111899999999935,-38.20614999999998,1
Pedra Grande,2020-05-16,2,7,-5.150869999999942,-35.87695999999994,0
Pedra Preta,2020-05-16,0,0,-5.581669999999974,-36.104319999999966,0
Pedro Avelino,2020-05-16,0,6,-5.52049999999997,-36.387219999999964,0
Pedro Velho,2020-05-16,2,4,-6.438889999999957,-35.221649999999954,0
Pendências,2020-05-16,11,21,-5.2566399999999485,-36.71898999999996,1
Pilões,2020-05-16,2,3,-6.267339999999932,-38.04239999999993,0
Poço Branco,2020-05-16,2,4,-5.620549999999981,-35.65979999999996,0
Portalegre,2020-05-16,2,3,-6.024699999999938,-37.987439999999935,0
Porto do Mangue,2020-05-16,2,16,-5.067129999999963,-36.780739999999966,0
Pureza,2020-05-16,0,4,-5.4634699999999725,-35.55421999999993,0
Rafael Fernandes,2020-05-16,0,6,-6.193529999999952,-38.22623999999996,0
Rafael Godeiro,2020-05-16,0,1,-6.0769899999999675,-37.716549999999984,0
Riacho da Cruz,2020-05-16,1,1,-5.936379999999929,-37.948689999999935,0
Riacho de Santana,2020-05-16,0,1,-6.263279999999952,-38.313729999999964,0
Riachuelo,2020-05-16,2,18,-5.810169999999971,-35.82335999999998,0
Rio do Fogo,2020-05-16,0,13,-5.274719999999945,-35.38252999999997,0
Rodolfo Fernandes,2020-05-16,1,5,-5.7897199999999325,-38.06057999999996,0
Ruy Barbosa,2020-05-16,0,1,-5.881059999999932,-35.934789999999964,0
Santa Cruz,2020-05-16,19,83,-6.22900999999996,-36.021769999999954,0
Santa Maria,2020-05-16,3,10,-5.839589999999928,-35.68999999999994,0
Santana do Matos,2020-05-16,2,14,-5.958059999999932,-36.66101999999995,0
Santana do Seridó,2020-05-16,0,1,-6.771309999999971,-36.73416999999995,0
Santo Antônio,2020-05-16,13,38,-6.314239999999927,-35.47337999999996,0
São Bento do Norte,2020-05-16,0,3,-5.064439999999934,-36.03975999999994,0
São Bento do Trairí,2020-05-16,0,19,-6.342439999999954,-36.085579999999936,0
