municipio,data,confirmado,suspeito,lat,lon,morte,codigo_ibge,populacao_estimada_2019,incidencia,mortalidade
Acari,2020-07-08,25,132,-6.43395,-36.63959,1,240010,11136,224.4971264,8.979885057
Açu,2020-07-08,514,456,-5.57621,-36.91483,27,240020,58017,885.9472224,46.53808367
Afonso Bezerra,2020-07-08,52,46,-5.50095,-36.50317,4,240030,11035,471.2279112,36.24830086
Água Nova,2020-07-08,1,3,-6.20748,-38.29327,,240040,3252,30.7503075,0
Alexandria,2020-07-08,17,36,-6.40831,-38.01499,2,240050,13577,125.2117552,14.73079473
Almino Afonso,2020-07-08,15,19,-6.15239,-37.76711,,240060,4735,316.7898627,0
Alto do Rodrigues,2020-07-08,202,132,-5.29508,-36.76236,9,240070,14529,1390.322803,61.94507537
Angicos,2020-07-08,81,125,-5.67997,-36.60629,2,240080,11714,691.48028,17.07358716
Antônio Martins,2020-07-08,3,12,-6.21583,-37.88829,1,240090,7145,41.98740378,13.99580126
Apodi,2020-07-08,865,160,-5.66309,-37.7982,13,240100,35845,2413.167806,36.26726182
Areia Branca,2020-07-08,591,527,-4.95542,-37.13027,42,240110,27774,2127.889393,151.220566
Arês,2020-07-08,128,172,-6.19552,-35.17176,,240120,14306,894.7294841,0
Baía Formosa,2020-07-08,38,36,-6.37124,-35.00528,1,240140,9271,409.8802718,10.78632294
Baraúna,2020-07-08,236,79,-5.07941,-37.61694,9,240145,28374,831.7473744,31.71917953
Barcelona,2020-07-08,19,8,-5.95042,-35.926,,240150,3998,475.2376188,0
Bento Fernandes,2020-07-08,14,8,-5.69366,-35.8213,1,240160,5497,254.6843733,18.19174095
Boa Saúde,2020-07-08,20,40,-6.15681,-35.60446,,240530,10181,196.4443571,0
Bodó,2020-07-08,2,14,-5.98711,-36.41332,,240165,2223,89.96851102,0
Bom Jesus,2020-07-08,73,51,-5.98536,-35.58444,2,240170,10210,714.9853085,19.58863859
Brejinho,2020-07-08,80,60,-6.20412,-35.3654,2,240180,12699,629.9708638,15.7492716
Caiçara do Norte,2020-07-08,56,40,-5.06428,-36.05275,2,240185,6549,855.0923805,30.53901359
Caiçara do Rio do Vento,2020-07-08,50,24,-5.7576,-35.9978,1,240190,3684,1357.220413,27.14440825
Caicó,2020-07-08,413,824,-6.46037,-37.09819,10,240200,67952,607.7819637,14.71627031
Campo Grande,2020-07-08,13,8,-5.86221,-37.31171,,240130,9655,134.6452615,0
Campo Redondo,2020-07-08,61,10,-6.24361,-36.18325,1,240210,11217,543.81742,8.915039672
Canguaretama,2020-07-08,162,225,-6.37781,-35.13433,13,240220,34276,472.6339129,37.92741277
Caraúbas,2020-07-08,164,84,-5.78784,-37.55911,1,240230,20493,800.273264,4.879715025
Carnaúba dos Dantas,2020-07-08,25,120,-6.55706,-36.59243,2,240240,8180,305.6234719,24.44987775
Carnaubais,2020-07-08,73,57,-5.34,-36.8305,3,240250,10759,678.5017195,27.88363231
Ceará-Mirim,2020-07-08,523,425,-5.6352,-35.4196,26,240260,73497,711.5936705,35.37559356
Cerro Corá,2020-07-08,14,56,-6.04645,-36.34773,1,240270,11179,125.2348153,8.945343948
Coronel Ezequiel,2020-07-08,21,17,-6.38549,-36.21705,,240280,5506,381.4021068,0
Coronel João Pessoa,2020-07-08,6,8,-6.26176,-38.4442,1,240290,4912,122.1498371,20.35830619
Cruzeta,2020-07-08,23,54,-6.41214,-36.78746,1,240300,7998,287.571893,12.50312578
Currais Novos,2020-07-08,239,269,-6.25708,-36.51196,7,240310,44786,533.6489081,15.62988434
Doutor Severiano,2020-07-08,19,6,-6.09469,-38.37369,1,240320,7076,268.5132843,14.13227812
Encanto,2020-07-08,22,13,-6.11311,-38.30996,3,240330,5638,390.2092941,53.21035828
Equador,2020-07-08,7,8,-6.94464,-36.71772,,240340,6045,115.7981803,0
Espírito Santo,2020-07-08,95,38,-6.33285,-35.31054,3,240350,10505,904.3312708,28.5578296
Extremoz,2020-07-08,366,441,-5.70592,-35.30274,18,240360,28583,1280.481405,62.97449533
Felipe Guerra,2020-07-08,83,10,-5.59829,-37.69658,1,240370,5985,1386.800334,16.70843776
Fernando Pedroza,2020-07-08,18,32,-5.69707,-36.53091,,240375,3054,589.3909627,0
Florânia,2020-07-08,44,174,-6.12226,-36.8103,2,240380,9116,482.6678368,21.93944713
Francisco Dantas,2020-07-08,5,24,-6.08879,-38.12427,,240390,2824,177.0538244,0
Frutuoso Gomes,2020-07-08,5,3,-6.15907,-37.84093,,240400,4068,122.9105211,0
Galinhos,2020-07-08,30,6,-5.09233,-36.27439,,240410,2786,1076.812635,0
Goianinha,2020-07-08,262,190,-6.26803,-35.20846,7,240420,26328,995.1382558,26.58766332
Governador Dix-Sept Rosado,2020-07-08,66,79,-5.45588,-37.51945,,240430,13037,506.2514382,0
Grossos,2020-07-08,183,179,-4.98204,-37.15164,4,240440,10383,1762.496388,38.52451122
Guamaré,2020-07-08,263,332,-5.10822,-36.31985,10,240450,15659,1679.545309,63.86103838
Ielmo Marinho,2020-07-08,87,79,-5.82138,-35.55238,1,240460,13766,631.991864,7.264274299
Ipanguaçu,2020-07-08,84,99,-5.50835,-36.85966,8,240470,15491,542.2503389,51.64288942
Ipueira,2020-07-08,5,11,-6.8169,-37.1982,,240480,2241,223.1146809,0
Itajá,2020-07-08,107,75,-5.63128,-36.86387,1,240485,7548,1417.594065,13.24854266
Itaú,2020-07-08,17,14,-5.84451,-37.99029,,240490,5878,289.2140184,0
Jaçanã,2020-07-08,104,28,-6.42742,-36.20408,,240500,9133,1138.727691,0
Jandaíra,2020-07-08,51,18,-5.357,-36.12584,1,240510,6878,741.4946205,14.53911021
Janduís,2020-07-08,12,31,-6.01718,-37.40641,1,240520,5268,227.7904328,18.98253607
Japi,2020-07-08,14,26,-6.46597,-35.94585,,240540,5055,276.9535114,0
Jardim de Angicos,2020-07-08,3,6,-5.65155,-35.97139,,240550,2612,114.8545176,0
Jardim de Piranhas,2020-07-08,89,250,-6.37882,-37.35209,4,240560,14837,599.851722,26.95962796
Jardim do Seridó,2020-07-08,54,63,-6.58731,-36.77304,2,240570,12396,435.624395,16.13423685
João Câmara,2020-07-08,211,89,-5.54933,-35.81469,2,240580,34955,603.6332427,5.721642111
João Dias,2020-07-08,1,3,-6.27803,-37.79739,,240590,2654,37.67897513,0
José da Penha,2020-07-08,4,4,-6.31884,-38.28444,,240600,5951,67.21559402,0
Jucurutu,2020-07-08,97,313,-6.03196,-37.01604,4,240610,18295,530.1995081,21.86389724
Jundiá,2020-07-08,23,10,-6.26701,-35.32768,1,240615,3898,590.0461775,25.65418163
Lagoa d'Anta,2020-07-08,59,69,-6.39137,-35.59791,3,240620,6769,871.6206234,44.31969272
Lagoa de Pedras,2020-07-08,17,28,-6.14635,-35.43342,1,240630,7544,225.3446448,13.25556734
Lagoa de Velhos,2020-07-08,46,4,-6.00234,-35.86802,1,240640,2732,1683.74817,36.60322108
Lagoa Nova,2020-07-08,20,13,-6.09447,-36.47148,1,240650,15614,128.0901755,6.404508774
Lagoa Salgada,2020-07-08,36,55,-6.12244,-35.48143,,240660,8245,436.6282596,0
Lajes,2020-07-08,47,167,-5.70114,-36.24449,1,240670,11277,416.7775117,8.867606633
Lajes Pintadas,2020-07-08,58,22,-6.14999,-36.1168,1,240680,4759,1218.743433,21.01281782
Lucrécia,2020-07-08,5,8,-6.11528,-37.81364,,240690,3996,125.1251251,0
Luís Gomes,2020-07-08,16,23,-6.4133,-38.38689,1,240700,10116,158.1652827,9.88533017
Macaíba,2020-07-08,586,1986,-5.85975,-35.3498,29,240710,80792,725.3193385,35.89464303
Macau,2020-07-08,209,198,-5.11261,-36.63449,15,240720,31814,656.943484,47.14905388
Major Sales,2020-07-08,2,21,-6.40682,-38.32301,1,240725,4020,49.75124378,24.87562189
Marcelino Vieira,2020-07-08,24,53,-6.29336,-38.16689,,240730,8347,287.5284533,0
Martins,2020-07-08,12,6,-6.09002,-37.91357,,240740,8725,137.5358166,0
Maxaranguape,2020-07-08,88,36,-5.51832,-35.25922,1,240750,12371,711.3410395,8.083420904
Messias Targino,2020-07-08,14,9,-6.07799,-37.51304,1,240760,4601,304.2816779,21.73440556
Montanhas,2020-07-08,75,24,-6.48446,-35.28537,4,240770,11251,666.6074127,35.55239534
Monte Alegre,2020-07-08,132,104,-6.07245,-35.33661,2,240780,22451,587.9470848,8.908289163
Monte das Gameleiras,2020-07-08,8,22,-6.44027,-35.78497,,240790,2105,380.0475059,0
