municipio,data,confirmado,suspeito,lat,lon,morte,codigo_ibge,populacao_estimada_2019,incidencia,mortalidade
Acari,2020-07-02,25,103,-6.43395,-36.63959,1,240010,11136,224.4971264,8.979885057
Açu,2020-07-02,460,414,-5.57621,-36.91483,18,240020,58017,792.871055,31.02538911
Afonso Bezerra,2020-07-02,50,28,-5.50095,-36.50317,5,240030,11035,453.1037608,45.31037608
Água Nova,2020-07-02,1,3,-6.20748,-38.29327,,240040,3252,30.7503075,0
Alexandria,2020-07-02,17,22,-6.40831,-38.01499,2,240050,13577,125.2117552,14.73079473
Almino Afonso,2020-07-02,14,16,-6.15239,-37.76711,,240060,4735,295.6705385,0
Alto do Rodrigues,2020-07-02,198,119,-5.29508,-36.76236,7,240070,14529,1362.791658,48.17950306
Angicos,2020-07-02,78,114,-5.67997,-36.60629,2,240080,11714,665.8698993,17.07358716
Antônio Martins,2020-07-02,3,10,-6.21583,-37.88829,1,240090,7145,41.98740378,13.99580126
Apodi,2020-07-02,788,167,-5.66309,-37.7982,9,240100,35845,2198.354024,25.10810434
Areia Branca,2020-07-02,572,525,-4.95542,-37.13027,40,240110,27774,2059.480089,144.0195867
Arês,2020-07-02,105,146,-6.19552,-35.17176,,240120,14306,733.95778,0
Baía Formosa,2020-07-02,31,31,-6.37124,-35.00528,1,240140,9271,334.3760112,10.78632294
Baraúna,2020-07-02,225,74,-5.07941,-37.61694,9,240145,28374,792.9794883,31.71917953
Barcelona,2020-07-02,18,8,-5.95042,-35.926,,240150,3998,450.2251126,0
Bento Fernandes,2020-07-02,12,7,-5.69366,-35.8213,,240160,5497,218.3008914,0
Boa Saúde,2020-07-02,15,30,-6.15681,-35.60446,,240530,10181,147.3332679,0
Bodó,2020-07-02,2,11,-5.98711,-36.41332,,240165,2223,89.96851102,0
Bom Jesus,2020-07-02,63,52,-5.98536,-35.58444,2,240170,10210,617.0421156,19.58863859
Brejinho,2020-07-02,69,58,-6.20412,-35.3654,1,240180,12699,543.3498701,7.874635798
Caiçara do Norte,2020-07-02,49,32,-5.06428,-36.05275,1,240185,6549,748.205833,15.26950679
Caiçara do Rio do Vento,2020-07-02,48,24,-5.7576,-35.9978,1,240190,3684,1302.931596,27.14440825
Caicó,2020-07-02,363,718,-6.46037,-37.09819,6,240200,67952,534.2006122,8.829762185
Campo Grande,2020-07-02,13,7,-5.86221,-37.31171,,240130,9655,134.6452615,0
Campo Redondo,2020-07-02,51,8,-6.24361,-36.18325,,240210,11217,454.6670233,0
Canguaretama,2020-07-02,149,168,-6.37781,-35.13433,12,240220,34276,434.7065002,35.00991948
Caraúbas,2020-07-02,150,80,-5.78784,-37.55911,,240230,20493,731.9572537,0
Carnaúba dos Dantas,2020-07-02,22,100,-6.55706,-36.59243,2,240240,8180,268.9486553,24.44987775
Carnaubais,2020-07-02,66,44,-5.34,-36.8305,2,240250,10759,613.4399108,18.58908821
Ceará-Mirim,2020-07-02,486,395,-5.6352,-35.4196,25,240260,73497,661.2514797,34.01499381
Cerro Corá,2020-07-02,14,54,-6.04645,-36.34773,1,240270,11179,125.2348153,8.945343948
Coronel Ezequiel,2020-07-02,20,8,-6.38549,-36.21705,,240280,5506,363.2401017,0
Coronel João Pessoa,2020-07-02,6,8,-6.26176,-38.4442,1,240290,4912,122.1498371,20.35830619
Cruzeta,2020-07-02,19,38,-6.41214,-36.78746,1,240300,7998,237.5593898,12.50312578
Currais Novos,2020-07-02,193,218,-6.25708,-36.51196,4,240310,44786,430.9382396,8.931362479
Doutor Severiano,2020-07-02,16,6,-6.09469,-38.37369,1,240320,7076,226.11645,14.13227812
Encanto,2020-07-02,20,14,-6.11311,-38.30996,2,240330,5638,354.7357219,35.47357219
Equador,2020-07-02,7,8,-6.94464,-36.71772,,240340,6045,115.7981803,0
Espírito Santo,2020-07-02,76,35,-6.33285,-35.31054,1,240350,10505,723.4650167,9.519276535
Extremoz,2020-07-02,343,330,-5.70592,-35.30274,13,240360,28583,1200.013994,45.48157996
