municipio,data,confirmado,suspeito,lat,lon,morte
Acari,2020-06-24,9,92,-6.433949999999925,-36.63958999999994,0
Açu,2020-06-24,298,298,-5.576209999999946,-36.91482999999994,11
Afonso Bezerra,2020-06-24,32,21,-5.500949999999932,-36.50316999999996,4
Água Nova,2020-06-24,0,0,-6.207479999999976,-38.29326999999995,0
Alexandria,2020-06-24,10,14,-6.408309999999973,-38.01498999999996,1
Almino Afonso,2020-06-24,7,18,-6.1523899999999685,-37.767109999999946,0
Alto do Rodrigues,2020-06-24,115,129,-5.295079999999928,-36.76235999999994,6
Angicos,2020-06-24,23,103,-5.679969999999969,-36.60628999999994,2
Antônio Martins,2020-06-24,2,7,-6.215829999999926,-37.888289999999984,0
Apodi,2020-06-24,659,131,-5.663089999999952,-37.79819999999995,8
Areia Branca,2020-06-24,435,575,-4.955419999999948,-37.13026999999994,35
Arês,2020-06-24,46,98,-6.195519999999932,-35.17175999999995,0
Baía Formosa,2020-06-24,18,14,-6.371239999999943,-35.00527999999996,1
Baraúna,2020-06-24,178,91,-5.079409999999939,-37.616939999999936,8
Barcelona,2020-06-24,11,7,-5.950419999999951,-35.92599999999993,0
Bento Fernandes,2020-06-24,11,7,-5.693659999999966,-35.82129999999995,2
Boa Saúde,2020-06-24,13,12,-6.1568099999999495,-35.60445999999996,0
Bodó,2020-06-24,1,4,-5.987109999999973,-36.413319999999935,0
Bom Jesus,2020-06-24,44,29,-5.985359999999957,-35.584439999999965,2
Brejinho,2020-06-24,43,37,-6.204119999999932,-35.365399999999966,0
Caiçara do Norte,2020-06-24,25,23,-5.0642799999999415,-36.052749999999946,1
Caiçara do Rio do Vento,2020-06-24,38,32,-5.757599999999968,-35.997799999999984,1
Caicó,2020-06-24,255,393,-6.460369999999955,-37.09818999999993,3
Campo Grande,2020-06-24,6,9,-5.862209999999948,-37.31170999999996,0
Campo Redondo,2020-06-24,25,16,-6.243609999999932,-36.18324999999993,0
Canguaretama,2020-06-24,82,118,-6.377809999999952,-35.134329999999984,7
