municipio,data,confirmado,suspeito,lat,lon,morte,codigo_ibge,populacao_estimada_2019,incidencia,mortalidade
Acari,2020-07-13,39,160,-6.43395,-36.63959,2,240010,11136,350.2155172,17.95977011
Açu,2020-07-13,607,623,-5.57621,-36.91483,30,240020,58017,1046.245066,51.70898185
Afonso Bezerra,2020-07-13,56,45,-5.50095,-36.50317,5,240030,11035,507.4762121,45.31037608
Água Nova,2020-07-13,3,5,-6.20748,-38.29327,,240040,3252,92.25092251,0
Alexandria,2020-07-13,23,35,-6.40831,-38.01499,2,240050,13577,169.4041394,14.73079473
Almino Afonso,2020-07-13,15,28,-6.15239,-37.76711,,240060,4735,316.7898627,0
Alto do Rodrigues,2020-07-13,212,131,-5.29508,-36.76236,9,240070,14529,1459.150664,61.94507537
Angicos,2020-07-13,81,135,-5.67997,-36.60629,2,240080,11714,691.48028,17.07358716
Antônio Martins,2020-07-13,3,12,-6.21583,-37.88829,1,240090,7145,41.98740378,13.99580126
Apodi,2020-07-13,954,141,-5.66309,-37.7982,14,240100,35845,2661.45906,39.05705119
Areia Branca,2020-07-13,600,539,-4.95542,-37.13027,43,240110,27774,2160.2938,154.8210557
Arês,2020-07-13,142,201,-6.19552,-35.17176,,240120,14306,992.5905215,0
Baía Formosa,2020-07-13,54,37,-6.37124,-35.00528,2,240140,9271,582.4614389,21.57264589
Baraúna,2020-07-13,245,79,-5.07941,-37.61694,9,240145,28374,863.4665539,31.71917953
Barcelona,2020-07-13,22,8,-5.95042,-35.926,,240150,3998,550.2751376,0
Bento Fernandes,2020-07-13,17,8,-5.69366,-35.8213,1,240160,5497,309.2595961,18.19174095
Boa Saúde,2020-07-13,23,41,-6.15681,-35.60446,,240530,10181,225.9110107,0
Bodó,2020-07-13,3,17,-5.98711,-36.41332,,240165,2223,134.9527665,0
Bom Jesus,2020-07-13,80,44,-5.98536,-35.58444,1,240170,10210,783.5455436,9.794319295
Brejinho,2020-07-13,94,59,-6.20412,-35.3654,3,240180,12699,740.215765,23.62390739
Caiçara do Norte,2020-07-13,60,41,-5.06428,-36.05275,2,240185,6549,916.1704077,30.53901359
Caiçara do Rio do Vento,2020-07-13,54,21,-5.7576,-35.9978,1,240190,3684,1465.798046,27.14440825
Caicó,2020-07-13,529,883,-6.46037,-37.09819,11,240200,67952,778.4906993,16.18789734
Campo Grande,2020-07-13,19,10,-5.86221,-37.31171,,240130,9655,196.7892284,0
Campo Redondo,2020-07-13,70,19,-6.24361,-36.18325,2,240210,11217,624.052777,17.83007934
Canguaretama,2020-07-13,166,237,-6.37781,-35.13433,13,240220,34276,484.3038861,37.92741277
Caraúbas,2020-07-13,182,85,-5.78784,-37.55911,1,240230,20493,888.1081345,4.879715025
Carnaúba dos Dantas,2020-07-13,27,133,-6.55706,-36.59243,3,240240,8180,330.0733496,36.67481663
Carnaubais,2020-07-13,78,63,-5.34,-36.8305,3,240250,10759,724.97444,27.88363231
Ceará-Mirim,2020-07-13,576,438,-5.6352,-35.4196,29,240260,73497,783.7054574,39.45739282
Cerro Corá,2020-07-13,18,59,-6.04645,-36.34773,1,240270,11179,161.0161911,8.945343948
Coronel Ezequiel,2020-07-13,23,19,-6.38549,-36.21705,,240280,5506,417.726117,0
