municipio,data,confirmado,suspeito,lat,lon
Acari,2020-03-27,0,10,-6.433949999999925,-36.63958999999994
Açu,2020-03-27,0,29,-5.576209999999946,-36.91482999999994
Afonso Bezerra,2020-03-27,0,1,-5.500949999999932,-36.50316999999996
Água Nova,2020-03-27,0,0,-6.207479999999976,-38.29326999999995
Alexandria,2020-03-27,0,0,-6.408309999999973,-38.01498999999996
Almino Afonso,2020-03-27,0,0,-6.1523899999999685,-37.767109999999946
Alto do Rodrigues,2020-03-27,0,7,-5.295079999999928,-36.76235999999994
Angicos,2020-03-27,0,8,-5.679969999999969,-36.60628999999994
Antônio Martins,2020-03-27,0,0,-6.215829999999926,-37.888289999999984
Apodi,2020-03-27,0,4,-5.663089999999952,-37.79819999999995
Areia Branca,2020-03-27,0,2,-4.955419999999948,-37.13026999999994
Arês,2020-03-27,0,0,-6.195519999999932,-35.17175999999995
Baía Formosa,2020-03-27,0,2,-6.371239999999943,-35.00527999999996
Baraúna,2020-03-27,0,21,-5.079409999999939,-37.616939999999936
Barcelona,2020-03-27,0,2,-5.950419999999951,-35.92599999999993
Bento Fernandes,2020-03-27,0,0,-5.693659999999966,-35.82129999999995
Bodó,2020-03-27,0,7,-5.987109999999973,-36.413319999999935
Bom Jesus,2020-03-27,0,1,-5.985359999999957,-35.584439999999965
Brejinho,2020-03-27,0,1,-6.204119999999932,-35.365399999999966
Caiçara do Norte,2020-03-27,0,1,-5.0642799999999415,-36.052749999999946
Caiçara do Rio do Vento,2020-03-27,0,0,-5.757599999999968,-35.997799999999984
Caicó,2020-03-27,0,17,-6.460369999999955,-37.09818999999993
Campo Grande,2020-03-27,0,1,-5.862209999999948,-37.31170999999996
Campo Redondo,2020-03-27,0,0,-6.243609999999932,-36.18324999999993
Canguaretama,2020-03-27,0,6,-6.377809999999952,-35.134329999999984
Caraúbas,2020-03-27,0,5,-5.787839999999959,-37.559109999999976
Carnaúba dos Dantas,2020-03-27,0,0,-6.557059999999979,-36.59242999999998
