municipio,data,confirmado,suspeito,lat,lon,morte,codigo_ibge,populacao_estimada_2019,incidencia,mortalidade
Acari,2020-06-05,3,111,-6.433949999999925,-36.63958999999994,0,240010.0,11136.0,26.939655172413794,0.0
Açu,2020-06-05,146,237,-5.576209999999946,-36.91482999999994,7,240020.0,58017.0,251.65037833738387,12.065429098367721
Afonso Bezerra,2020-06-05,14,8,-5.500949999999932,-36.50316999999996,1,240030.0,11035.0,126.86905301314,9.062075215224286
Água Nova,2020-06-05,0,1,-6.207479999999976,-38.29326999999995,0,240040.0,3252.0,0.0,0.0
Alexandria,2020-06-05,6,3,-6.408309999999973,-38.01498999999996,1,240050.0,13577.0,44.19238417912646,7.365397363187744
Almino Afonso,2020-06-05,2,15,-6.1523899999999685,-37.767109999999946,0,240060.0,4735.0,42.23864836325237,0.0
Alto do Rodrigues,2020-06-05,61,67,-5.295079999999928,-36.76235999999994,6,240070.0,14529.0,419.84995526189,41.296716911005575
Angicos,2020-06-05,7,38,-5.679969999999969,-36.60628999999994,1,240080.0,11714.0,59.757555062318595,8.536793580331228
Antônio Martins,2020-06-05,2,5,-6.215829999999926,-37.888289999999984,0,240090.0,7145.0,27.99160251924423,0.0
Apodi,2020-06-05,312,113,-5.663089999999952,-37.79819999999995,7,240100.0,35845.0,870.414283721579,19.52852559631748
Areia Branca,2020-06-05,293,623,-4.955419999999948,-37.13026999999994,22,240110.0,27774.0,1054.9434723122345,79.21077266508244
Arês,2020-06-05,12,36,-6.195519999999932,-35.17175999999995,0,240120.0,14306.0,83.88088913742486,0.0
Baía Formosa,2020-06-05,6,9,-6.371239999999943,-35.00527999999996,0,240140.0,9271.0,64.71793765505339,0.0
Baraúna,2020-06-05,94,104,-5.079409999999939,-37.616939999999936,4,240145.0,28374.0,331.28920843025304,14.09741312469162
Barcelona,2020-06-05,2,7,-5.950419999999951,-35.92599999999993,0,240150.0,3998.0,50.02501250625312,0.0
Bento Fernandes,2020-06-05,3,4,-5.693659999999966,-35.82129999999995,0,240160.0,5497.0,54.575222848826634,0.0
Boa Saúde,2020-06-05,2,10,-6.1568099999999495,-35.60445999999996,0,240530.0,10181.0,19.644435713584127,0.0
Bodó,2020-06-05,0,11,-5.987109999999973,-36.413319999999935,0,240165.0,2223.0,0.0,0.0
Bom Jesus,2020-06-05,11,21,-5.985359999999957,-35.584439999999965,1,240170.0,10210.0,107.73751224289911,9.79431929480901
Brejinho,2020-06-05,10,22,-6.204119999999932,-35.365399999999966,0,240180.0,12699.0,78.74635798094339,0.0
Caiçara do Norte,2020-06-05,12,11,-5.0642799999999415,-36.052749999999946,0,240185.0,6549.0,183.23408153916628,0.0
Caiçara do Rio do Vento,2020-06-05,8,22,-5.757599999999968,-35.997799999999984,1,240190.0,3684.0,217.15526601520088,27.14440825190011
