municipio,data,confirmado,suspeito,lat,lon,morte,codigo_ibge,populacao_estimada_2019,incidencia,mortalidade
Acari,2020-07-11,36,153,-6.43395,-36.63959,2,240010,11136,323.2758621,17.95977011
Açu,2020-07-11,585,592,-5.57621,-36.91483,27,240020,58017,1008.325146,46.53808367
Afonso Bezerra,2020-07-11,54,48,-5.50095,-36.50317,4,240030,11035,489.3520616,36.24830086
Água Nova,2020-07-11,3,5,-6.20748,-38.29327,,240040,3252,92.25092251,0
Alexandria,2020-07-11,19,35,-6.40831,-38.01499,2,240050,13577,139.9425499,14.73079473
Almino Afonso,2020-07-11,15,28,-6.15239,-37.76711,,240060,4735,316.7898627,0
Alto do Rodrigues,2020-07-11,206,135,-5.29508,-36.76236,9,240070,14529,1417.853947,61.94507537
Angicos,2020-07-11,81,132,-5.67997,-36.60629,2,240080,11714,691.48028,17.07358716
Antônio Martins,2020-07-11,3,13,-6.21583,-37.88829,1,240090,7145,41.98740378,13.99580126
Apodi,2020-07-11,894,162,-5.66309,-37.7982,14,240100,35845,2494.071698,39.05705119
Areia Branca,2020-07-11,598,531,-4.95542,-37.13027,43,240110,27774,2153.092821,154.8210557
Arês,2020-07-11,135,197,-6.19552,-35.17176,,240120,14306,943.6600028,0
Baía Formosa,2020-07-11,51,39,-6.37124,-35.00528,2,240140,9271,550.1024701,21.57264589
Baraúna,2020-07-11,245,78,-5.07941,-37.61694,9,240145,28374,863.4665539,31.71917953
Barcelona,2020-07-11,21,8,-5.95042,-35.926,,240150,3998,525.2626313,0
Bento Fernandes,2020-07-11,16,8,-5.69366,-35.8213,1,240160,5497,291.0678552,18.19174095
Boa Saúde,2020-07-11,22,43,-6.15681,-35.60446,,240530,10181,216.0887928,0
Bodó,2020-07-11,3,17,-5.98711,-36.41332,,240165,2223,134.9527665,0
Bom Jesus,2020-07-11,80,49,-5.98536,-35.58444,1,240170,10210,783.5455436,9.794319295
Brejinho,2020-07-11,91,59,-6.20412,-35.3654,2,240180,12699,716.5918576,15.7492716
Caiçara do Norte,2020-07-11,56,41,-5.06428,-36.05275,2,240185,6549,855.0923805,30.53901359
Caiçara do Rio do Vento,2020-07-11,51,26,-5.7576,-35.9978,1,240190,3684,1384.364821,27.14440825
Caicó,2020-07-11,453,886,-6.46037,-37.09819,11,240200,67952,666.647045,16.18789734
Campo Grande,2020-07-11,19,10,-5.86221,-37.31171,,240130,9655,196.7892284,0
Campo Redondo,2020-07-11,65,14,-6.24361,-36.18325,1,240210,11217,579.4775787,8.915039672
Canguaretama,2020-07-11,164,231,-6.37781,-35.13433,13,240220,34276,478.4688995,37.92741277
Caraúbas,2020-07-11,177,84,-5.78784,-37.55911,1,240230,20493,863.7095594,4.879715025
Carnaúba dos Dantas,2020-07-11,27,129,-6.55706,-36.59243,2,240240,8180,330.0733496,24.44987775
Carnaubais,2020-07-11,77,62,-5.34,-36.8305,3,240250,10759,715.6798959,27.88363231
Ceará-Mirim,2020-07-11,557,441,-5.6352,-35.4196,28,240260,73497,757.8540621,38.09679307
Cerro Corá,2020-07-11,17,57,-6.04645,-36.34773,1,240270,11179,152.0708471,8.945343948
Coronel Ezequiel,2020-07-11,23,18,-6.38549,-36.21705,,240280,5506,417.726117,0
Coronel João Pessoa,2020-07-11,6,9,-6.26176,-38.4442,1,240290,4912,122.1498371,20.35830619
Cruzeta,2020-07-11,24,60,-6.41214,-36.78746,1,240300,7998,300.0750188,12.50312578
Currais Novos,2020-07-11,272,288,-6.25708,-36.51196,8,240310,44786,607.3326486,17.86272496
Doutor Severiano,2020-07-11,19,9,-6.09469,-38.37369,1,240320,7076,268.5132843,14.13227812
Encanto,2020-07-11,22,15,-6.11311,-38.30996,3,240330,5638,390.2092941,53.21035828
Equador,2020-07-11,9,13,-6.94464,-36.71772,,240340,6045,148.8833747,0
Espírito Santo,2020-07-11,100,41,-6.33285,-35.31054,3,240350,10505,951.9276535,28.5578296
Extremoz,2020-07-11,377,446,-5.70592,-35.30274,20,240360,28583,1318.965819,69.97166148
Felipe Guerra,2020-07-11,84,11,-5.59829,-37.69658,1,240370,5985,1403.508772,16.70843776
Fernando Pedroza,2020-07-11,18,37,-5.69707,-36.53091,,240375,3054,589.3909627,0
Florânia,2020-07-11,51,198,-6.12226,-36.8103,2,240380,9116,559.4559017,21.93944713
Francisco Dantas,2020-07-11,5,24,-6.08879,-38.12427,,240390,2824,177.0538244,0
Frutuoso Gomes,2020-07-11,9,3,-6.15907,-37.84093,,240400,4068,221.2389381,0
Galinhos,2020-07-11,39,6,-5.09233,-36.27439,,240410,2786,1399.856425,0
Goianinha,2020-07-11,268,209,-6.26803,-35.20846,7,240420,26328,1017.927682,26.58766332
Governador Dix-Sept Rosado,2020-07-11,71,83,-5.45588,-37.51945,,240430,13037,544.6038199,0
Grossos,2020-07-11,191,188,-4.98204,-37.15164,4,240440,10383,1839.545411,38.52451122
Guamaré,2020-07-11,280,345,-5.10822,-36.31985,10,240450,15659,1788.109075,63.86103838
Ielmo Marinho,2020-07-11,87,78,-5.82138,-35.55238,1,240460,13766,631.991864,7.264274299
Ipanguaçu,2020-07-11,88,115,-5.50835,-36.85966,8,240470,15491,568.0717836,51.64288942
Ipueira,2020-07-11,5,11,-6.8169,-37.1982,,240480,2241,223.1146809,0
Itajá,2020-07-11,125,73,-5.63128,-36.86387,1,240485,7548,1656.067833,13.24854266
Itaú,2020-07-11,17,15,-5.84451,-37.99029,,240490,5878,289.2140184,0
Jaçanã,2020-07-11,127,22,-6.42742,-36.20408,,240500,9133,1390.561699,0
Jandaíra,2020-07-11,61,19,-5.357,-36.12584,1,240510,6878,886.8857226,14.53911021
Janduís,2020-07-11,15,41,-6.01718,-37.40641,1,240520,5268,284.738041,18.98253607
Japi,2020-07-11,14,27,-6.46597,-35.94585,,240540,5055,276.9535114,0
Jardim de Angicos,2020-07-11,3,6,-5.65155,-35.97139,,240550,2612,114.8545176,0
Jardim de Piranhas,2020-07-11,108,252,-6.37882,-37.35209,4,240560,14837,727.9099548,26.95962796
Jardim do Seridó,2020-07-11,57,72,-6.58731,-36.77304,2,240570,12396,459.8257502,16.13423685
João Câmara,2020-07-11,216,93,-5.54933,-35.81469,2,240580,34955,617.937348,5.721642111
João Dias,2020-07-11,1,4,-6.27803,-37.79739,,240590,2654,37.67897513,0
José da Penha,2020-07-11,4,4,-6.31884,-38.28444,,240600,5951,67.21559402,0
Jucurutu,2020-07-11,99,319,-6.03196,-37.01604,4,240610,18295,541.1314567,21.86389724
Jundiá,2020-07-11,24,8,-6.26701,-35.32768,1,240615,3898,615.7003592,25.65418163
Lagoa d'Anta,2020-07-11,65,74,-6.39137,-35.59791,3,240620,6769,960.2600089,44.31969272
Lagoa de Pedras,2020-07-11,19,27,-6.14635,-35.43342,3,240630,7544,251.8557794,39.76670201
Lagoa de Velhos,2020-07-11,47,4,-6.00234,-35.86802,1,240640,2732,1720.351391,36.60322108
Lagoa Nova,2020-07-11,25,14,-6.09447,-36.47148,1,240650,15614,160.1127194,6.404508774
Lagoa Salgada,2020-07-11,38,53,-6.12244,-35.48143,,240660,8245,460.8853851,0
Lajes,2020-07-11,47,181,-5.70114,-36.24449,1,240670,11277,416.7775117,8.867606633
Lajes Pintadas,2020-07-11,59,23,-6.14999,-36.1168,1,240680,4759,1239.756251,21.01281782
Lucrécia,2020-07-11,6,8,-6.11528,-37.81364,,240690,3996,150.1501502,0
Luís Gomes,2020-07-11,16,23,-6.4133,-38.38689,1,240700,10116,158.1652827,9.88533017
Macaíba,2020-07-11,605,2001,-5.85975,-35.3498,30,240710,80792,748.8365185,37.13238935
Macau,2020-07-11,212,201,-5.11261,-36.63449,15,240720,31814,666.3732948,47.14905388
Major Sales,2020-07-11,3,33,-6.40682,-38.32301,1,240725,4020,74.62686567,24.87562189
Marcelino Vieira,2020-07-11,24,55,-6.29336,-38.16689,,240730,8347,287.5284533,0
Martins,2020-07-11,12,6,-6.09002,-37.91357,,240740,8725,137.5358166,0
Maxaranguape,2020-07-11,103,39,-5.51832,-35.25922,1,240750,12371,832.5923531,8.083420904
Messias Targino,2020-07-11,14,8,-6.07799,-37.51304,1,240760,4601,304.2816779,21.73440556
Montanhas,2020-07-11,79,25,-6.48446,-35.28537,4,240770,11251,702.159808,35.55239534
Monte Alegre,2020-07-11,137,98,-6.07245,-35.33661,2,240780,22451,610.2178077,8.908289163
Monte das Gameleiras,2020-07-11,8,22,-6.44027,-35.78497,,240790,2105,380.0475059,0
Mossoró,2020-07-11,3856,2467,-5.18784,-37.34422,146,240800,297378,1296.666196,49.09576364
Natal,2020-07-11,14800,26678,-5.79544,-35.21151,589,240810,884122,1673.977121,66.61976515
Nísia Floresta,2020-07-11,219,157,-6.05176,-35.22306,4,240820,27602,793.4207666,14.4917035
Nova Cruz,2020-07-11,296,297,-6.47523,-35.42884,16,240830,37343,792.6519026,42.84604879
Olho-d'Água do Borges,2020-07-11,19,2,-5.95575,-37.70363,,240840,4258,446.2188821,0
Ouro Branco,2020-07-11,21,5,-6.70336,-36.94578,,240850,4812,436.4089776,0
Paraná,2020-07-11,7,5,-6.48408,-38.31216,,240860,4254,164.5510108,0
Paraú,2020-07-11,21,20,-5.77734,-37.1016,1,240870,3768,557.3248408,26.53927813
Parazinho,2020-07-11,49,54,-5.22691,-35.83942,,240880,5237,935.6501814,0
Parelhas,2020-07-11,51,249,-6.69242,-36.65892,,240890,21477,237.4633329,0
Parnamirim,2020-07-11,3903,5353,-5.90543,-35.2612,100,240325,261469,1492.719978,38.24545166
Passa e Fica,2020-07-11,68,29,-6.43547,-35.64359,1,240910,13277,512.1638924,7.531821948
Passagem,2020-07-11,21,17,-6.2787,-35.37552,,240920,3089,679.8316607,0
Patu,2020-07-11,17,22,-6.10194,-37.6373,1,240930,12755,133.2810662,7.840062721
Pau dos Ferros,2020-07-11,63,96,-6.1119,-38.20615,2,240940,30394,207.2777522,6.580246101
Pedra Grande,2020-07-11,34,13,-5.15087,-35.87696,,240950,3237,1050.355267,0
Pedra Preta,2020-07-11,6,10,-5.58167,-36.10432,,240960,2458,244.100895,0
Pedro Avelino,2020-07-11,13,16,-5.5205,-36.38722,,240970,6716,193.5675998,0
Pedro Velho,2020-07-11,46,89,-6.43889,-35.22165,,240980,14806,310.6848575,0
Pendências,2020-07-11,207,170,-5.25664,-36.71899,11,240990,15129,1368.233195,72.70804415
Pilões,2020-07-11,18,8,-6.26734,-38.0424,,241000,3838,468.9942678,0
Poço Branco,2020-07-11,154,38,-5.62055,-35.6598,3,241010,15413,999.1565562,19.46408876
Portalegre,2020-07-11,17,25,-6.0247,-37.98744,,241020,7867,216.0925385,0
Porto do Mangue,2020-07-11,47,91,-5.06713,-36.78074,3,241025,6437,730.1537984,46.6055616
Pureza,2020-07-11,77,17,-5.46347,-35.55422,1,241040,9621,800.3326058,10.39392994
Rafael Fernandes,2020-07-11,2,13,-6.19353,-38.22624,,241050,5098,39.23107101,0
Rafael Godeiro,2020-07-11,11,29,-6.07699,-37.71655,,241060,3201,343.6426117,0
Riacho da Cruz,2020-07-11,11,7,-5.93638,-37.94869,1,241070,3579,307.3484213,27.94076558
Riacho de Santana,2020-07-11,8,3,-6.26328,-38.31373,,241080,4204,190.2949572,0
Riachuelo,2020-07-11,118,101,-5.81017,-35.82336,2,241090,8128,1451.771654,24.60629921
Rio do Fogo,2020-07-11,64,84,-5.27472,-35.38253,3,240895,10848,589.9705015,27.65486726
Rodolfo Fernandes,2020-07-11,20,11,-5.78972,-38.06058,,241100,4467,447.7277815,0
Ruy Barbosa,2020-07-11,35,44,-5.88106,-35.93479,,241110,3600,972.2222222,0
Santa Cruz,2020-07-11,218,438,-6.22901,-36.02177,5,241120,39674,549.4782477,12.6027121
Santa Maria,2020-07-11,64,124,-5.83959,-35.69,4,240933,5551,1152.945415,72.05908845
Santana do Matos,2020-07-11,38,98,-5.95806,-36.66102,2,241140,12791,297.0838871,15.63599406
Santana do Seridó,2020-07-11,12,10,-6.77131,-36.73417,,241142,2680,447.761194,0
Santo Antônio,2020-07-11,233,234,-6.31424,-35.47338,11,241150,24136,965.3629433,45.57507458
São Bento do Norte,2020-07-11,36,46,-5.06444,-36.03976,,241160,2747,1310.520568,0
São Bento do Trairí,2020-07-11,43,30,-6.34244,-36.08558,1,241170,4449,966.5093279,22.47696111
São Fernando,2020-07-11,6,16,-6.38232,-37.187,1,241180,3584,167.4107143,27.90178571
São Francisco do Oeste,2020-07-11,2,4,-6.00017,-38.16779,,241190,4228,47.30368969,0
São Gonçalo do Amarante,2020-07-11,1666,1221,-5.79319,-35.32883,51,241200,102400,1626.953125,49.8046875
São João do Sabugi,2020-07-11,14,39,-6.71691,-37.204,1,241210,6193,226.0616825,16.14726304
São José de Mipibu,2020-07-11,628,1060,-6.07368,-35.23786,10,241220,43899,1430.556505,22.77956218
São José do Campestre,2020-07-11,124,144,-6.31186,-35.71555,6,241230,12856,964.5301805,46.67081518
São José do Seridó,2020-07-11,14,22,-6.44938,-36.87973,,241240,4634,302.1148036,0
São Miguel,2020-07-11,62,82,-6.20453,-38.49297,,241250,23519,263.6166504,0
