municipio,data,confirmado,suspeito,lat,lon,morte
Acari,2020-05-08,2,60,-6.433949999999925,-36.63958999999994,0
Açu,2020-05-08,53,55,-5.576209999999946,-36.91482999999994,3
Afonso Bezerra,2020-05-08,1,6,-5.500949999999932,-36.50316999999996,0
Água Nova,2020-05-08,0,0,-6.207479999999976,-38.29326999999995,0
Alexandria,2020-05-08,5,0,-6.408309999999973,-38.01498999999996,1
Almino Afonso,2020-05-08,0,6,-6.1523899999999685,-37.767109999999946,0
Alto do Rodrigues,2020-05-08,4,33,-5.295079999999928,-36.76235999999994,1
Angicos,2020-05-08,0,7,-5.679969999999969,-36.60628999999994,0
Antônio Martins,2020-05-08,0,9,-6.215829999999926,-37.888289999999984,0
Apodi,2020-05-08,37,34,-5.663089999999952,-37.79819999999995,2
Areia Branca,2020-05-08,36,187,-4.955419999999948,-37.13026999999994,1
Arês,2020-05-08,1,5,-6.195519999999932,-35.17175999999995,0
Baía Formosa,2020-05-08,1,2,-6.371239999999943,-35.00527999999996,0
Baraúna,2020-05-08,7,51,-5.079409999999939,-37.616939999999936,0
Barcelona,2020-05-08,1,1,-5.950419999999951,-35.92599999999993,0
Bento Fernandes,2020-05-08,2,0,-5.693659999999966,-35.82129999999995,0
Boa Saúde,2020-05-08,1,8,-6.1568099999999495,-35.60445999999996,0
Bodó,2020-05-08,0,11,-5.987109999999973,-36.413319999999935,0
Bom Jesus,2020-05-08,1,4,-5.985359999999957,-35.584439999999965,0
Brejinho,2020-05-08,1,1,-6.204119999999932,-35.365399999999966,0
Caiçara do Norte,2020-05-08,0,5,-5.0642799999999415,-36.052749999999946,0
Caiçara do Rio do Vento,2020-05-08,0,2,-5.757599999999968,-35.997799999999984,0
Caicó,2020-05-08,2,163,-6.460369999999955,-37.09818999999993,0
Campo Grande,2020-05-08,0,3,-5.862209999999948,-37.31170999999996,0
Campo Redondo,2020-05-08,2,1,-6.243609999999932,-36.18324999999993,0
Canguaretama,2020-05-08,26,33,-6.377809999999952,-35.134329999999984,4
Caraúbas,2020-05-08,6,1,-5.787839999999959,-37.559109999999976,0
Carnaúba dos Dantas,2020-05-08,1,6,-6.557059999999979,-36.59242999999998,1
Carnaubais,2020-05-08,1,11,-5.339999999999974,-36.830499999999965,0
Ceará-Mirim,2020-05-08,14,57,-5.6351999999999425,-35.419599999999946,2
Cerro Corá,2020-05-08,1,13,-6.046449999999938,-36.34772999999996,1
Coronel Ezequiel,2020-05-08,0,0,-6.385489999999948,-36.217049999999965,0
Coronel João Pessoa,2020-05-08,1,2,-6.261759999999981,-38.44419999999997,0
Cruzeta,2020-05-08,0,5,-6.412139999999965,-36.78745999999995,0
Currais Novos,2020-05-08,6,32,-6.2570799999999736,-36.51195999999993,0
Doutor Severiano,2020-05-08,0,0,-6.094689999999957,-38.373689999999954,0
Encanto,2020-05-08,11,22,-6.113109999999947,-38.309959999999926,2
Equador,2020-05-08,0,1,-6.944639999999938,-36.71771999999993,0
Espírito Santo,2020-05-08,0,5,-6.332849999999951,-35.310539999999946,0
