municipio,data,confirmado,suspeito,lat,lon,morte,codigo_ibge,populacao_estimada_2019,incidencia,mortalidade
Acari,2020-07-27,42,206,-6.43395,-36.63959,3,240010,11136,377.1551724,26.93965517
Açu,2020-07-27,793,931,-5.57621,-36.91483,40,240020,58017,1366.840754,68.94530913
Afonso Bezerra,2020-07-27,59,57,-5.50095,-36.50317,6,240030,11035,534.6624377,54.37245129
Água Nova,2020-07-27,6,3,-6.20748,-38.29327,,240040,3252,184.501845,0
Alexandria,2020-07-27,29,40,-6.40831,-38.01499,3,240050,13577,213.5965235,22.09619209
Almino Afonso,2020-07-27,17,30,-6.15239,-37.76711,,240060,4735,359.0285111,0
Alto do Rodrigues,2020-07-27,237,166,-5.29508,-36.76236,11,240070,14529,1631.220318,75.71064767
Angicos,2020-07-27,85,146,-5.67997,-36.60629,3,240080,11714,725.6274543,25.61038074
Antônio Martins,2020-07-27,3,22,-6.21583,-37.88829,1,240090,7145,41.98740378,13.99580126
Apodi,2020-07-27,1136,180,-5.66309,-37.7982,19,240100,35845,3169.200725,53.00599805
Areia Branca,2020-07-27,652,563,-4.95542,-37.13027,47,240110,27774,2347.519263,169.2230143
Arês,2020-07-27,179,257,-6.19552,-35.17176,4,240120,14306,1251.223263,27.96029638
Baía Formosa,2020-07-27,73,48,-6.37124,-35.00528,3,240140,9271,787.4015748,32.35896883
Baraúna,2020-07-27,298,82,-5.07941,-37.61694,10,240145,28374,1050.257278,35.24353281
Barcelona,2020-07-27,25,8,-5.95042,-35.926,,240150,3998,625.3126563,0
Bento Fernandes,2020-07-27,21,8,-5.69366,-35.8213,1,240160,5497,382.0265599,18.19174095
Boa Saúde,2020-07-27,36,41,-6.15681,-35.60446,,240530,10181,353.5998428,0
Bodó,2020-07-27,3,24,-5.98711,-36.41332,,240165,2223,134.9527665,0
Bom Jesus,2020-07-27,91,47,-5.98536,-35.58444,1,240170,10210,891.2830558,9.794319295
Brejinho,2020-07-27,122,66,-6.20412,-35.3654,3,240180,12699,960.7055674,23.62390739
Caiçara do Norte,2020-07-27,74,50,-5.06428,-36.05275,2,240185,6549,1129.943503,30.53901359
Caiçara do Rio do Vento,2020-07-27,60,21,-5.7576,-35.9978,1,240190,3684,1628.664495,27.14440825
Caicó,2020-07-27,834,1222,-6.46037,-37.09819,14,240200,67952,1227.336944,20.60277843
Campo Grande,2020-07-27,38,25,-5.86221,-37.31171,2,240130,9655,393.5784568,20.71465562
Campo Redondo,2020-07-27,113,13,-6.24361,-36.18325,2,240210,11217,1007.399483,17.83007934
Canguaretama,2020-07-27,188,294,-6.37781,-35.13433,15,240220,34276,548.4887385,43.76239935
Caraúbas,2020-07-27,245,90,-5.78784,-37.55911,3,240230,20493,1195.530181,14.63914507
Carnaúba dos Dantas,2020-07-27,28,140,-6.55706,-36.59243,3,240240,8180,342.2982885,36.67481663
Carnaubais,2020-07-27,90,82,-5.34,-36.8305,4,240250,10759,836.5089692,37.17817641
Ceará-Mirim,2020-07-27,636,462,-5.6352,-35.4196,32,240260,73497,865.3414425,43.53919208
Cerro Corá,2020-07-27,23,69,-6.04645,-36.34773,1,240270,11179,205.7429108,8.945343948
Coronel Ezequiel,2020-07-27,31,23,-6.38549,-36.21705,,240280,5506,563.0221576,0
Coronel João Pessoa,2020-07-27,6,9,-6.26176,-38.4442,1,240290,4912,122.1498371,20.35830619
Cruzeta,2020-07-27,36,70,-6.41214,-36.78746,1,240300,7998,450.1125281,12.50312578
Currais Novos,2020-07-27,381,322,-6.25708,-36.51196,11,240310,44786,850.7122762,24.56124682
Doutor Severiano,2020-07-27,20,7,-6.09469,-38.37369,1,240320,7076,282.6455625,14.13227812
Encanto,2020-07-27,32,16,-6.11311,-38.30996,4,240330,5638,567.577155,70.94714438
Equador,2020-07-27,14,14,-6.94464,-36.71772,,240340,6045,231.5963606,0
Espírito Santo,2020-07-27,120,43,-6.33285,-35.31054,6,240350,10505,1142.313184,57.11565921
Extremoz,2020-07-27,423,483,-5.70592,-35.30274,24,240360,28583,1479.90064,83.96599377
Felipe Guerra,2020-07-27,89,10,-5.59829,-37.69658,1,240370,5985,1487.050961,16.70843776
Fernando Pedroza,2020-07-27,19,49,-5.69707,-36.53091,,240375,3054,622.134905,0
Florânia,2020-07-27,69,230,-6.12226,-36.8103,4,240380,9116,756.9109258,43.87889425
Francisco Dantas,2020-07-27,6,30,-6.08879,-38.12427,,240390,2824,212.4645892,0
Frutuoso Gomes,2020-07-27,12,3,-6.15907,-37.84093,,240400,4068,294.9852507,0
