municipio,suspeitos_25_03,confirmados_25_03,suspeitos_24_03,confirmados_24_03,mortes_24_03,confirmados_22_03,mortes_22_03,confirmados_20_03,mortes_20_03,confirmados_18_03,mortes_18_03,confirmados_16_03,mortes_16_03,confirmados_13_03,mortes_13_03,suspeitos_28_02,suspeitos_02_03,suspeitos_03_03,suspeitos_05_03,suspeitos_06_03,suspeitos_10_03,suspeitos_11_03,suspeitos_13_03,suspeitos_16_03,suspeitos_18_03,suspeitos_20_03,suspeitos_22_03
Serra Caiada,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serra de São Bento,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serra do Mel,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Serra Negra do Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serrinha,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serrinha dos Pintos,,,,,,,,,,,,,,,,,,,,,,,,,,,
Severiano Melo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sítio Novo,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Taboleiro Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taipu,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tangará,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tenente Ananias,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tenente Laurentino Cruz,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tibau,1,,4,,,,,,,,,,,,,,,,,,,,,,,2,3
Tibau do Sul,4,,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1
Timbaúba dos Batistas,,,,,,,,,,,,,,,,,,,,,,,,,,,
Touros,3,,1,,,,,,,,,,,,,,,,,,,,,,,,
Triunfo Potiguar,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umarizal,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Upanema,,,,,,,,,,,,,,,,,,,,,,,,,,,
Várzea,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venha-Ver,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Vera Cruz,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Viçosa,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vila Flor,,,,,,,,,,,,,,,,,,,,,,,,,,,
