municipio,confirmado_07_04,suspeito_07_04,confirmado_05_04,suspeito_05_04,confirmado_03_04,suspeito_03_04,confirmado_02_04,suspeitos_02_04,confirmado_01_04,suspeito_01_04,confirmado_30_03,suspeitos_30_03,confirmados_28_03,suspeitos_28_03,confirmados_27_03,suspeitos_27_03,confirmados_25_03,suspeitos_25_03,confirmados_24_03,suspeitos_24_03,confirmados_22_03,suspeitos_22_03,confirmados_20_03,suspeitos_20_03,confirmados_18_03,suspeitos_18_03,confirmados_16_03,suspeitos_16_03,confirmados_13_03,suspeitos_13_03,suspeitos_11_03,suspeitos_10_03,suspeitos_06_03,suspeitos_05_03,suspeitos_03_03,suspeitos_02_03,suspeitos_28_02
Acari,,31,,,,28,,29,,25,,10,,10,,10,,6,,,,,,,,,,,,,,,,,,,
Açu,8,32,8,33,6,37,1,33,1,29,1,23,1,24,,29,,29,,10,,6,,,,,,,,,,,,,,,
Afonso Bezerra,,,,2,,2,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,
Água Nova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandria,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Almino Afonso,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alto do Rodrigues,,10,,10,,10,,10,,8,,7,,7,,7,,7,,,,,,,,,,,,,,,,,,,
Angicos,,12,,12,,12,,11,,8,,8,,8,,8,,9,,1,,1,,1,,1,,,,,,,,,,,
Antônio Martins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apodi,1,8,1,8,1,7,1,7,1,3,1,3,,4,,4,,3,,,,,,,,,,,,,,,,,,,
Areia Branca,1,22,1,21,,18,,15,,8,,2,,2,,2,,4,,1,,1,,1,,,,,,,,,,,,,
Arês,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augusto Severo,1,1,1,1,1,2,,3,,3,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,
Baía Formosa,,30,,30,,30,,29,,26,,2,,2,,2,,,,1,,1,,1,,,,,,,,,,,,,
Baraúna,,1,,1,,2,,2,,2,,21,,21,,21,,21,,9,,2,,,,,,,,,,,,,,,
Barcelona,,,,,,,,,,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,
Bento Fernandes,,8,,8,,8,,8,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodó,,,,,,,,,,,,6,,6,,7,,7,,3,,,,,,,,,,,,,,,,,
Bom Jesus,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,
Brejinho,,2,,2,,2,,2,,2,,1,,1,,1,,2,,2,,2,,,,,,,,,,,,,,,
Caiçara do Norte,,,,,,,,,,,,2,,2,,1,,1,,,,,,,,,,,,,,,,,,,
Caiçara do Rio do Vento,,39,,39,,40,1,34,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caicó,,1,,1,,1,,1,,1,2,15,1,15,,17,,3,,1,,1,,1,,,,,,,,,,,,,
Campo Redondo,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canguaretama,,12,,12,,11,,10,,8,,6,,6,,6,,6,,2,,1,,,,,,,,,,,,,,,
Caraúbas,1,10,1,10,1,6,,6,,6,,4,,5,,5,,5,,2,,1,,,,,,,,,,,,,,,
Carnaúba dos Dantas,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carnaubais,1,11,1,12,1,12,1,11,1,10,1,9,,10,,10,,10,,2,,,,,,,,,,,,,,,,,
Ceará-Mirim,3,42,3,41,3,37,2,37,1,21,,8,,8,,7,,7,,2,,2,,1,,1,,1,,,,,,,,,
Cerro Corá,,4,,4,,2,,2,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,
Coronel Ezequiel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronel João Pessoa,,,,,,,,,,1,,2,,2,,2,,3,,,,,,,,,,,,,,,,,,,
Cruzeta,,2,,2,,3,,3,,2,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,
Currais Novos,,12,,11,,8,,5,,2,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
Doutor Severiano,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,1,,1,,,,,,,,,,,,,
Encanto,,5,,5,,5,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equador,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Espírito Santo,,2,,2,,2,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,
Extremoz,5,24,5,22,5,22,,24,,17,,7,,7,,8,,8,,2,,2,,1,,,,,,,,,,,,,
Felipe Guerra,,3,,3,,4,,4,,4,,3,,3,,3,,1,,4,,,,,,,,,,,,,,,,,
Fernando Pedroza,,2,,2,,2,,2,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,
Florânia,,1,,1,,1,,1,,,,,,,,2,,2,,1,,1,,,,,,,,,,,,,,,
Francisco Dantas,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frutuoso Gomes,,,,,,1,,1,,1,,,,,,,,1,,1,,1,,1,,1,,1,,1,1,1,,,,,
Galinhos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goianinha,,18,,18,,16,,16,,15,,3,,3,,3,,2,,1,,1,,1,,,,,,1,,,,,,,
Governador Dix-Sept Rosado,,10,,10,,10,,10,,7,,4,,4,,4,,4,,3,,,,,,,,,,,,,,,,,
Grossos,,3,,3,,3,,2,,2,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,
Guamaré,,26,,26,,26,,27,,24,,21,,23,,24,,24,,6,,3,,3,,,,,,,,,,,,,
Ielmo Marinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ipanguaçu,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,
Ipueira,,2,,2,,2,,2,,2,,2,,2,,3,,2,,2,,,,,,,,,,,,,,,,,
