municipio,confirmado_30_03,suspeitos_30_03,suspeitos_28_03,confirmados_28_03,suspeitos_27_03,confirmados_27_03,suspeitos_25_03,confirmados_25_03,suspeitos_24_03,confirmados_24_03,mortes_24_03,confirmados_22_03,mortes_22_03,confirmados_20_03,mortes_20_03,confirmados_18_03,mortes_18_03,confirmados_16_03,mortes_16_03,confirmados_13_03,mortes_13_03,suspeitos_28_02,suspeitos_02_03,suspeitos_03_03,suspeitos_05_03,suspeitos_06_03,suspeitos_10_03,suspeitos_11_03,suspeitos_13_03,suspeitos_16_03,suspeitos_18_03,suspeitos_20_03,suspeitos_22_03
Doutor Severiano,,1,1,,1,,1,,2,,,,,,,,,,,,,,,,,,,,,,,1,1
Encanto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Espírito Santo,,1,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Extremoz,,7,7,,8,,8,,2,,,,,,,,,,,,,,,,,,,,,,,1,2
Felipe Guerra,,3,3,,3,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Pedroza,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Florânia,,,,,2,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Francisco Dantas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frutuoso Gomes,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1
Galinhos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goianinha,,3,3,,3,,2,,1,,,,,,,,,,,,,,,,,,,,1,,,1,1
Governador Dix-Sept Rosado,,4,4,,4,,4,,3,,,,,,,,,,,,,,,,,,,,,,,,
Grossos,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guamaré,,21,23,,24,,24,,6,,,,,,,,,,,,,,,,,,,,,,,3,3
Ielmo Marinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ipanguaçu,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Ipueira,,2,2,,3,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
Itajá,,2,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Itaú,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaçanã,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jandaíra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janduís,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Januário Cicco,,1,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Japi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jardim de Angicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jardim de Piranhas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jardim do Seridó,,4,4,,4,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,1
João Câmara,,3,3,,3,,3,,2,,,,,,,,,,,,,,,,,,,,,,,1,1
João Dias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
José da Penha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jucurutu,,3,3,,3,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,
Jundiá,,1,1,,1,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,2
Lagoa d'Anta,,2,2,,2,,2,,1,,,,,,,,,,,,,,,,,,,,,,,1,
Lagoa de Pedras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lagoa de Velhos,,1,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Lagoa Nova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lagoa Salgada,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Lajes,,2,2,,2,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,
Lajes Pintadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucrécia,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luís Gomes,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Macaíba,1,20,20,1,23,,21,,3,,,,,,,,,,,,,,,,,,,,,,,2,2
Macau,,3,3,,3,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,1
Major Sales,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcelino Vieira,,3,3,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Martins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maxaranguape,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Messias Targino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montanhas,,4,4,,4,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,
