municipio,confirmado_11_05,suspeito_11_05,morte_11_05,confirmado_10_05,suspeito_10_05,morte_10_05,confirmado_09_05,suspeito_09_05,morte_09_05,confirmado_08_05,suspeito_08_05,morte_08_05,confirmado_07_05,suspeito_07_05,morte_07_05,confirmado_06_05,suspeito_06_05,morte_06_05,confirmado_05_05,suspeito_05_05,morte_05_05,confirmado_04_05,suspeito_04_05,morte_04_05,confirmado_03_05,suspeito_03_05,morte_03_05,confirmado_02_05,suspeito_02_05,morte_02_05,confirmado_01_05,suspeito_01_05,morte_01_05,confirmado_30_04,suspeito_30_04,morte_30_04,confirmado_29_04,suspeito_29_04,morte_29_04,confirmado_28_04,suspeito_28_04,morte_28_04,confirmado_27_04,suspeito_27_04,morte_27_04,confirmado_26_04,suspeito_26_04,morte_26_04,confirmado_25_04,suspeito_25_04,morte_25_04,confirmado_24_04,suspeito_24_04,morte_24_04,confirmado_23_04,suspeito_23_04,morte_23_04,confirmado_22_04,suspeito_22_04,morte_22_04,confirmado_21_04,suspeito_21_04,morte_21_04,confirmado_20_04,suspeito_20_04,morte_20_04,confirmado_18_04,suspeito_18_04,morte_18_04,confirmado_17_04,suspeito_17_04,morte_17_04,confirmado_16_04,suspeito_16_04,morte_16_04,confirmado_15_04,suspeito_15_04,morte_15_04,confirmado_14_04,suspeito_14_04,morte_14_04,confirmado_13_04,suspeito_13_04,morte_13_04,confirmado_12_04_,suspeito_12_04,morte_12_04,confirmado_11_04,suspeito_11_04,morte_11_04,confirmado_10_04,suspeito_10_04,morte_10_04,confirmado_09_04,suspeito_09_04,morte_09_04,confirmado_08_04,suspeito_08_04,morte_08_04,confirmado_07_04,suspeito_07_04,morte_07_04,morte_06_04,confirmado_05_04,suspeito_05_04,morte_05_04,morte_04_04,confirmado_03_04,suspeito_03_04,morte_03_04,confirmado_02_04,suspeitos_02_04,morte_02_04,confirmado_01_04,suspeito_01_04,morte_01_04,morte_31_03,confirmado_30_03,suspeitos_30_03,morte_30_03,morte_29_03,confirmados_28_03,suspeitos_28_03,morte_28_03,confirmados_27_03,suspeitos_27_03,morte_27_03,morte_26_03,confirmados_25_03,suspeitos_25_03,morte_25_03,confirmados_24_03,suspeitos_24_03,morte_24_03,morte_23_03,confirmados_22_03,suspeitos_22_03,morte_22_03,morte_21_03,confirmados_20_03,suspeitos_20_03,morte_20_03,morte_19_03,confirmados_18_03,suspeitos_18_03,morte_18_03,morte_17_03,confirmados_16_03,suspeitos_16_03,morte_16_03,morte_15_03,morte_14_03,confirmados_13_03,suspeitos_13_03,morte_13_03,morte_12_03,suspeitos_11_03,suspeitos_10_03,suspeitos_06_03,suspeitos_05_03,suspeitos_03_03,suspeitos_02_03,suspeitos_28_02
Fernando Pedroza,1,5,,1,5,,1,5,,1,5,,1,5,,1,5,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,,2,,,,2,,,2,,,1,,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florânia,,14,,,12,,,11,,,11,,,8,,,4,,,3,,,3,,,3,,,3,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,3,,,5,,,3,,,3,,,4,,,2,,,2,,,1,,,,1,,,,1,,,1,,,,,,,,,,,,,,2,,,,2,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Dantas,,6,,,7,,,7,,,5,,,5,,,3,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frutuoso Gomes,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,1,,,1,,,,1,,,,1,,,,1,,,,1,,,,,1,,,1,1,,,,,
Galinhos,,,,,,,,,,,,,,,,,,,,3,,,3,,,3,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goianinha,2,53,,2,52,,2,52,,2,20,,1,48,,1,46,,,44,,,39,,,39,,,39,,,39,,,38,,,36,,,37,,,36,,,36,,,36,,,26,,,21,,,21,,,21,,,21,,,18,,,18,,,18,,,18,,,18,,,18,,,18,,,18,,,18,,,18,,,18,,,18,,,,18,,,,16,,,16,,,15,,,,3,,,,3,,,3,,,,2,,,1,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,
Governador Dix-Sept Rosado,,20,,,22,,,22,,,20,,,18,,,17,,,18,,,17,,,17,,,16,,,16,,,16,,,16,,,17,,,17,,,14,,,12,,,11,,,11,,,11,,,11,,,11,,,9,,,9,,,9,,,9,,,10,,,10,,,11,,,11,,,10,,,10,,,10,,,10,,,,10,,,,10,,,10,,,7,,,,4,,,,4,,,4,,,,4,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grossos,5,14,,4,10,1,3,10,1,3,10,1,2,9,,1,10,,1,7,,,5,,,5,,,5,,,5,,,5,,,6,,,6,,,6,,,5,,,6,,,5,,,3,,,3,,,3,,,3,,,2,,,2,,,2,,,2,,,2,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,,3,,,,3,,,2,,,2,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guamaré,10,36,,10,37,,10,37,,10,67,,9,35,,6,30,,6,30,,5,30,,5,29,,4,25,,4,25,,4,24,,2,21,,1,26,,1,26,,1,26,,,23,,,20,,,20,,,20,,,21,,,21,,,21,,,21,,,21,,,21,,,22,,,22,,,24,,,24,,,24,,,24,,,23,,,26,,,,26,,,,26,,,27,,,24,,,,21,,,,23,,,24,,,,24,,,6,,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,
Ielmo Marinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,1,1,,1,1,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ipanguaçu,12,9,3,11,11,2,11,10,2,11,9,2,10,8,2,10,9,2,9,8,1,9,9,1,9,8,1,9,8,1,9,8,1,8,8,1,8,5,1,4,19,1,4,17,1,4,17,1,4,2,1,2,3,1,2,5,1,2,6,,2,1,,2,1,,1,,,1,,,,,,,,,,,,,1,,,1,,,2,,,2,,,2,,,2,,,1,,,,1,,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ipueira,,7,,,7,,,7,,,6,,,6,,,6,,,6,,,6,,,6,,,5,,,5,,,5,,,5,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,3,,,3,,,2,,,2,,,,2,,,,2,,,2,,,2,,,,2,,,,2,,,3,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Itajá,3,6,,4,6,,4,6,,4,6,,3,6,,3,5,,3,5,,3,2,,3,1,,3,1,,2,2,,1,3,,1,3,,1,2,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,1,,,,1,,,,2,,,2,,,2,,,,2,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Itaú,,2,,,2,,,2,,,2,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaçanã,3,2,,3,2,,3,2,,3,1,,3,1,,3,1,,3,1,,3,1,,3,1,,3,1,,3,2,,3,2,,3,1,,3,1,,2,2,,2,2,,2,2,,2,1,,2,1,,1,2,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,2,,,,2,,,,3,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jandaíra,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,2,,,2,,,2,,,2,,,2,,,,2,,,,2,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janduís,,2,,,1,,,1,,,2,,,2,,,2,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Januário Cicco,1,7,,1,8,,1,8,,1,8,,1,8,,,8,,,8,,,8,,,7,,,7,,,7,,,7,,,7,,,7,,,7,,,7,,,8,,,8,,1,7,,1,5,,1,5,,1,5,,1,4,,1,4,,1,4,,1,4,,1,4,,1,4,,1,4,,,4,,,4,,,5,,,5,,,5,,,,2,,,,2,,,2,,,2,,,,1,,,,1,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japi,,3,,,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jardim de Angicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jardim de Piranhas,,10,,,10,,,10,,,9,,,7,,,7,,,7,,,7,,,7,,,7,,,7,,,7,,,9,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,4,,,,4,,,,3,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jardim do Seridó,,10,,,11,,,10,,,10,,,5,,,5,,,4,,,4,,,4,,,4,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,3,,,,3,,,,4,,,4,,,4,,,,4,,,,4,,,4,,,,3,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
João Câmara,3,7,,3,5,,3,5,,3,5,,3,3,,3,5,,3,5,,3,5,,3,5,,3,5,,3,4,,2,3,,2,5,,2,9,,1,5,,1,5,,1,5,,1,3,,,2,,,2,,,2,,,2,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,,3,,,,3,,,3,,,2,,,,3,,,,3,,,3,,,,3,,,2,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
João Dias,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,1,,,1,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
José da Penha,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,1,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jucurutu,,15,,,15,,,14,,,13,,,10,,,7,,,8,,,7,,,7,,,6,,,6,,,7,,,7,,,9,,,9,,,9,,,9,,,7,,,5,,,5,,,5,,,5,,,6,,,6,,,6,,,6,,,6,,,7,,,7,,,7,,,9,,,9,,,9,,,7,,,,7,,,,7,,,6,,,4,,,,3,,,,3,,,3,,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jundiá,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,2,,,2,,,2,,,,2,,,,2,,,2,,,1,,,,1,,,,1,,,1,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Lagoa d'Anta,,2,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,1,,,1,,,1,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,2,,,2,,,2,,,1,,,1,,,1,,,,1,,,,1,,,1,,,1,,,,2,,,,2,,,2,,,,2,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Lagoa de Pedras,1,5,1,1,5,1,1,5,1,1,4,1,1,3,1,1,3,1,1,4,1,1,4,1,1,4,1,1,4,1,1,4,1,1,4,1,1,4,1,1,4,1,1,4,1,1,3,1,1,3,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,,3,1,,3,,,3,,,3,,,3,,,3,,,,3,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lagoa de Velhos,,1,,,2,,,2,,,1,,,1,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lagoa Nova,,7,,,7,,,7,,,6,,,6,,,6,,,6,,,6,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,,6,,,,6,,,6,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lagoa Salgada,2,3,,1,4,,1,4,,1,4,,1,2,,1,1,,1,2,,1,2,,1,2,,1,2,,2,2,,1,6,,1,5,,,5,,,3,,,3,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,,1,,,,2,,,2,,,2,,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lajes,1,5,,1,4,,1,4,,1,5,,1,5,,1,4,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,4,,,5,,,4,,,5,,,2,,,4,,,3,,,2,,,2,,,1,,,1,,,1,,,1,,,2,,,2,,,2,,,2,,,2,,,1,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,2,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lajes Pintadas,5,2,,4,3,,4,3,,4,,,4,,,3,1,,2,1,,2,1,,2,2,,2,2,,2,2,,2,1,,2,1,,2,1,,2,1,,2,1,,1,2,,1,1,,1,1,,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucrécia,,2,,,2,,,2,,,1,,,1,,,2,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luís Gomes,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,2,,1,2,,1,2,,1,2,,1,2,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,1,,,1,1,,,1,1,,1,,,1,,,,1,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macaíba,31,188,3,26,156,3,26,154,3,25,154,3,21,140,3,20,131,2,20,107,2,19,106,2,16,108,2,16,106,2,16,106,1,17,103,1,15,105,1,16,72,1,15,70,1,15,70,1,11,75,,10,65,,11,57,,11,55,,10,51,,10,51,,8,47,,6,47,,6,49,,6,50,,7,53,,4,59,,3,62,,2,63,,2,64,,2,47,,2,45,,2,40,,,2,37,,,1,33,,1,33,,1,24,,,1,20,,,1,20,,,23,,,,21,,,3,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,
Macau,1,27,,1,20,,1,20,,1,20,,,19,,,16,,,15,,,14,,,14,,,14,,,14,,,13,,,13,,,10,,,8,,,8,,,10,,,9,,,8,,,8,,,8,,,8,,,8,,,9,,,5,,,5,,,8,,,8,,,9,,,9,,,9,,,9,,,7,,,5,,,,5,,,,7,,,7,,,7,,,,3,,,,3,,,3,,,,2,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Major Sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcelino Vieira,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,2,,,,2,,,2,,,3,,,,3,,,,3,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martins,,2,,,2,,,2,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maxaranguape,1,1,,1,2,,1,2,,1,1,,1,2,,1,2,,1,2,,1,3,,1,2,,,2,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Messias Targino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montanhas,,14,,2,7,1,2,7,1,2,7,1,2,7,1,2,7,1,2,1,1,2,,,1,2,,1,4,,1,8,,1,5,,1,5,,1,5,,1,5,,1,5,,1,5,,,6,,,4,,,4,,,4,,,4,,,3,,,3,,,3,,,3,,,3,,,4,,,5,,,6,,,6,,,6,,,6,,,7,,,,7,,,,8,,,8,,,5,,,,4,,,,4,,,4,,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monte Alegre,8,15,,8,12,,8,12,,8,9,,7,10,,7,5,,7,4,,7,4,,6,5,,6,3,,5,4,,4,3,,4,4,,4,5,,4,3,,4,3,,4,3,,4,2,,4,1,,3,2,,3,1,,3,1,,2,2,,2,2,,2,2,,2,2,,1,3,,1,3,,1,7,,1,7,,1,7,,1,8,,1,7,,1,4,,,1,4,,,1,4,,1,4,,1,2,,,1,,,,1,,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Monte das Gameleiras,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,,3,,,,3,,,3,,,2,,,,2,,,,2,,,2,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mossoró,293,558,21,299,478,20,296,465,20,286,401,20,281,348,19,262,335,18,254,275,18,197,318,16,191,305,16,190,299,15,184,287,14,174,274,14,164,276,13,117,294,11,112,271,10,112,249,10,111,214,9,110,181,9,106,170,8,106,165,8,105,141,8,104,146,8,92,123,8,89,122,8,84,124,8,84,125,6,79,137,6,77,156,6,67,179,6,65,183,6,63,189,5,63,185,5,63,166,5,63,140,3,3,59,133,3,3,43,141,3,21,148,1,20,138,1,1,16,131,1,1,16,132,1,5,142,,,2,151,,1,90,,,1,59,,,,14,,,,5,,,,3,,,,,2,,,2,2,,,,,
Natal,906,3796,21,873,3432,19,872,3382,19,825,3198,19,802,2967,16,767,2897,15,710,2736,16,686,2577,13,677,2564,12,667,2513,12,631,2481,12,567,2518,12,519,2450,12,402,2382,11,396,2136,10,397,2097,9,370,2079,9,359,1797,9,335,1715,8,304,1726,7,283,1549,6,279,1561,6,236,1234,5,204,1242,5,172,1272,5,171,1279,5,159,1350,5,145,1498,5,137,1556,4,131,1554,3,117,1569,3,116,1500,3,112,1405,3,116,1291,2,2,113,1253,2,1,77,1203,1,56,1126,1,48,930,1,,36,501,,,34,504,,19,569,,,13,532,,9,200,,,9,123,,,5,73,,,1,47,,,1,20,,,,1,9,,,8,9,3,2,3,4,5
Nísia Floresta,9,13,1,8,10,1,8,8,1,7,7,1,7,6,1,7,7,1,7,5,1,7,3,1,7,6,1,7,6,1,7,7,1,8,8,1,5,7,1,5,9,1,5,7,1,5,6,1,5,6,1,3,2,,1,3,,1,3,,1,3,,1,3,,1,2,,1,2,,1,2,,1,2,,1,2,,,3,,,5,,,6,,,6,,,6,,,6,,,6,,,,6,,,,7,,,5,,,4,,,,3,,,,3,,,3,,,,3,,,3,,,,3,,,,3,,,,2,,,,2,,,,,,,,,,,,,,
Nova Cruz,4,6,,4,5,,4,5,,4,5,,2,3,,2,3,,2,2,,2,2,,2,2,,2,2,,2,2,,2,2,,2,2,,,3,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,2,,,2,,,2,,,2,,,2,,,1,,,4,,,,4,,,,5,,,5,,,2,,,,2,,,,2,,,2,,,,5,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Olho-d'Água do Borges,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,5,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ouro Branco,1,2,,1,1,,1,1,,1,1,,1,1,,1,2,,1,2,,1,2,,1,1,,1,1,,1,1,,1,1,,1,1,,1,2,,1,2,,1,2,,,3,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,1,,,,1,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraná,,3,,,3,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraú,2,7,,2,9,,2,9,,1,7,,1,7,,1,7,,,7,,,7,,,7,,,7,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,7,,,9,,,9,,,9,,,8,,,8,,,8,,,8,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parazinho,,3,,1,1,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parelhas,,37,,1,34,,1,33,,1,32,,1,26,,1,24,,1,23,,1,22,,1,22,,1,21,,1,21,,,20,,,19,,,16,,,13,,,13,,,13,,,13,,,12,,,13,,,12,,,12,,,9,,,9,,,9,,,9,,,11,,,12,,,11,,,11,,,11,,,10,,,9,,,6,,,,7,,,,6,,,6,,,5,,,,3,,,,3,,,3,,,,3,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Parnamirim,181,677,6,175,609,5,174,603,5,162,580,5,152,539,4,152,508,5,140,478,4,137,451,4,136,448,4,133,448,4,123,446,4,116,434,4,107,428,3,97,412,1,94,384,1,94,373,1,93,370,1,92,310,1,81,264,1,73,269,,70,226,,67,229,,61,180,,57,182,,43,186,,43,187,,41,205,,39,250,,33,267,,31,269,,32,276,,30,271,,30,254,,28,248,,,27,240,,,17,224,,13,199,,11,171,,,10,76,,,9,77,,4,81,,,4,83,,4,29,,,3,20,,,1,16,,,,13,,,,5,,,,,4,,,2,2,1,2,1,1,1
