municipio,confirmado_04_06,suspeito_04_06,morte_04_06,confirmado_03_06,suspeito_03_06,morte_03_06,confirmado_02_06,suspeito_02_06,morte_02_06,confirmado_01_06,suspeito_01_06,morte_01_06,confirmado_30_05,suspeito_30_05,morte_30_05,confirmado_29_05,suspeito_29_05,morte_29_05,confirmado_27_05,suspeito_27_05,morte_27_05,confirmado_26_05,suspeito_26_05,morte_26_05,confirmado_25_05,suspeito_25_05,morte_25_05,confirmado_23_05,suspeito_23_05,morte_23_05,confirmado_22_05,suspeito_22_05,morte_22_05,confirmado_21_05,suspeito_21_05,morte_21_05,confirmado_20_05,suspeito_20_05,morte_20_05,confirmado_19_05,suspeito_19_05,morte_19_05,confirmado_18_05,suspeito_18_05,morte_18_05,confirmado_17_05,suspeito_17_05,morte_17_05,confirmado_16_05,suspeito_16_05,morte_16_05,confirmado_15_05,suspeito_15_05,morte_15_05,suspeito_14_05,confirmado_14_05,morte_14_05,confirmado_13_05,suspeito_13_05,morte_13_05,confirmado_12_05,suspeito_12_05,morte_12_05,confirmado_11_05,suspeito_11_05,morte_11_05,confirmado_10_05,suspeito_10_05,morte_10_05,confirmado_09_05,suspeito_09_05,morte_09_05,confirmado_08_05,suspeito_08_05,morte_08_05,confirmado_07_05,suspeito_07_05,morte_07_05,confirmado_06_05,suspeito_06_05,morte_06_05,confirmado_05_05,suspeito_05_05,morte_05_05,confirmado_04_05,suspeito_04_05,morte_04_05,confirmado_03_05,suspeito_03_05,morte_03_05,confirmado_02_05,suspeito_02_05,morte_02_05,confirmado_01_05,suspeito_01_05,morte_01_05,confirmado_30_04,suspeito_30_04,morte_30_04,confirmado_29_04,suspeito_29_04,morte_29_04,confirmado_28_04,suspeito_28_04,morte_28_04,confirmado_27_04,suspeito_27_04,morte_27_04,confirmado_26_04,suspeito_26_04,morte_26_04,confirmado_25_04,suspeito_25_04,morte_25_04,confirmado_24_04,suspeito_24_04,morte_24_04,confirmado_23_04,suspeito_23_04,morte_23_04,confirmado_22_04,suspeito_22_04,morte_22_04,confirmado_21_04,suspeito_21_04,morte_21_04,confirmado_20_04,suspeito_20_04,morte_20_04,confirmado_18_04,suspeito_18_04,morte_18_04,confirmado_17_04,suspeito_17_04,morte_17_04,confirmado_16_04,suspeito_16_04,morte_16_04,confirmado_15_04,suspeito_15_04,morte_15_04,confirmado_14_04,suspeito_14_04,morte_14_04,confirmado_13_04,suspeito_13_04,morte_13_04,confirmado_12_04_,suspeito_12_04,morte_12_04,confirmado_11_04,suspeito_11_04,morte_11_04,confirmado_10_04,suspeito_10_04,morte_10_04,confirmado_09_04,suspeito_09_04,morte_09_04,confirmado_08_04,suspeito_08_04,morte_08_04,confirmado_07_04,suspeito_07_04,morte_07_04,morte_06_04,confirmado_05_04,suspeito_05_04,morte_05_04,morte_04_04,confirmado_03_04,suspeito_03_04,morte_03_04,confirmado_02_04,suspeitos_02_04,morte_02_04,confirmado_01_04,suspeito_01_04,morte_01_04,morte_31_03,confirmado_30_03,suspeitos_30_03,morte_30_03,morte_29_03,confirmados_28_03,suspeitos_28_03,morte_28_03,confirmados_27_03,suspeitos_27_03,morte_27_03,morte_26_03,confirmados_25_03,suspeitos_25_03,morte_25_03,confirmados_24_03,suspeitos_24_03,morte_24_03,morte_23_03,confirmados_22_03,suspeitos_22_03,morte_22_03,morte_21_03,confirmados_20_03,suspeitos_20_03,morte_20_03,morte_19_03,confirmados_18_03,suspeitos_18_03,morte_18_03,morte_17_03,confirmados_16_03,suspeitos_16_03,morte_16_03,morte_15_03,morte_14_03,confirmados_13_03,suspeitos_13_03,morte_13_03,morte_12_03,suspeitos_11_03,suspeitos_10_03,suspeitos_06_03,suspeitos_05_03,suspeitos_03_03,suspeitos_02_03,suspeitos_28_02
Coronel João Pessoa,2,8,1,2,8,1,2,8,1,2,8,1,2,8,1,2,8,1,2,7,1,2,5,1,2,5,1,2,5,1,2,5,1,2,3,1,2,3,1,2,2,1,2,2,1,2,2,1,2,2,1,1,2,,2,1,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,1,,1,1,,1,1,,1,1,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,2,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruzeta,11,32,,11,35,,10,28,,10,28,,10,28,,11,29,,6,25,,6,19,,5,19,,4,20,,4,12,,1,13,,,11,,,11,,,10,,,10,,,9,,,9,,7,,,,7,,,7,,,7,,,6,,,6,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,4,,,4,,,5,,,4,,,4,,,4,,,4,,,4,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,2,,,,2,,,,3,,,3,,,2,,,,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currais Novos,33,70,1,32,71,1,30,63,1,29,64,1,23,52,1,23,52,1,22,58,1,21,57,1,17,53,1,17,56,1,16,43,1,16,41,,14,39,,13,35,,13,30,,13,30,,12,32,,9,29,,26,8,,8,25,,7,24,,7,25,,6,34,,6,34,,6,32,,6,30,,6,29,,6,24,,6,22,,6,22,,6,22,,6,27,,8,24,,5,20,,2,22,,2,21,,2,21,,2,22,,2,16,,2,14,,2,12,,1,13,,1,14,,1,7,,1,7,,1,7,,1,7,,1,9,,,13,,,14,,,16,,,18,,,16,,,12,,,12,,,,11,,,,8,,,5,,,2,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doutor Severiano,6,5,,6,5,,6,3,,6,3,,6,3,,6,3,,6,3,,6,1,,6,1,,4,1,,3,1,,1,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,,1,,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,1,,,2,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
Encanto,15,29,2,15,29,2,15,21,2,15,21,2,14,21,2,14,21,2,13,21,2,13,21,2,12,22,2,12,24,2,12,24,2,12,27,2,12,27,2,12,24,2,11,25,2,11,25,2,11,25,2,11,25,2,25,11,2,11,25,2,11,22,2,11,22,2,11,24,2,11,28,2,11,22,2,11,18,1,10,18,1,10,18,1,10,16,1,10,16,1,10,15,1,10,22,1,10,22,1,10,21,1,4,29,1,4,24,1,4,24,1,4,24,1,4,14,1,4,14,1,4,13,1,4,13,1,4,13,1,2,2,1,1,3,1,1,4,,1,4,,1,4,,1,5,,1,5,,1,5,,,7,,,7,,,5,,,5,,,,5,,,,5,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equador,2,3,,2,3,,1,3,,1,3,,,3,,,3,,,3,,,2,,,2,,,2,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Espírito Santo,5,7,,5,7,,5,6,,5,6,,3,5,,2,6,,2,5,,2,5,,1,6,,1,6,,1,6,,1,5,,1,4,,1,7,,,8,,,8,,,8,,,6,,5,,,,4,,,4,,,6,,,5,,,5,,,5,,,4,,,4,,,4,,,3,,,3,,,3,,,3,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,1,,,1,,,2,,,2,,,,,,1,,,1,,,1,,,2,,,2,,,2,,,2,,,2,,,1,,,1,,,2,,,,2,,,,2,,,1,,,1,,,,1,,,,1,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Extremoz,134,215,3,134,215,3,131,184,3,123,192,4,115,167,2,96,185,2,88,161,1,85,169,1,72,169,1,72,177,1,65,149,1,63,143,1,56,140,1,51,124,1,44,120,1,44,121,1,43,118,1,40,109,,110,35,,34,94,,33,86,,32,86,,31,84,,31,81,,28,65,,26,59,,25,59,,21,57,,20,52,,17,53,,17,53,,15,47,,15,42,,12,44,,11,45,,10,45,,9,44,,9,44,,9,24,,8,22,,6,22,,6,18,,6,18,,5,13,,5,14,,5,15,,5,15,,5,16,,6,23,,6,25,,5,25,,5,27,,5,27,,5,26,,5,24,,,5,22,,,5,22,,,24,,,17,,,,7,,,,7,,,8,,,,8,,,2,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,
Felipe Guerra,36,9,,35,10,,34,8,,34,8,,34,8,,34,8,,33,8,,33,8,,33,8,,34,8,,33,8,,32,9,,26,9,,24,9,,18,8,,18,8,,13,8,,11,10,,9,9,,9,8,,7,6,,7,4,,6,5,,6,5,,6,4,,4,4,,1,4,,1,4,,,5,,,6,,,6,,,5,,,5,,,5,,,8,,,8,,,6,,,6,,,4,,,4,,,4,,,4,,,4,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,,3,,,,4,,,4,,,4,,,,3,,,,3,,,3,,,,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Pedroza,4,19,,4,19,,4,18,,4,18,,3,16,,3,16,,2,19,,2,15,,1,16,,1,17,,1,16,,1,16,,1,15,,1,14,,1,12,,1,12,,1,12,,1,12,,11,1,,1,11,,1,5,,1,5,,1,5,,1,5,,1,5,,1,5,,1,5,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,,2,,,,2,,,2,,,1,,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florânia,3,52,,3,52,,3,47,,3,47,,3,42,,2,43,,1,36,,1,33,,1,30,,1,28,,1,25,,1,24,,1,20,,1,18,,,17,,,17,,,17,,,18,,17,,,,17,,,14,,,14,,,12,,,11,,,11,,,8,,,4,,,3,,,3,,,3,,,3,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,3,,,5,,,3,,,3,,,4,,,2,,,2,,,1,,,,1,,,,1,,,1,,,,,,,,,,,,,,2,,,,2,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Dantas,1,16,,1,16,,1,11,,1,11,,,11,,,11,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,7,,,7,,,7,,,7,,7,,,,7,,,7,,,6,,,7,,,7,,,5,,,5,,,3,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frutuoso Gomes,5,8,,4,9,,4,8,,4,8,,4,8,,4,8,,4,20,,4,12,,3,12,,3,15,,2,14,,2,15,,2,15,,2,5,,,5,,,5,,,5,,,2,,2,,,,2,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,1,,,1,,,,1,,,,1,,,,1,,,,1,,,,,1,,,1,1,,,,,
Galinhos,3,4,,3,4,,2,,,2,,,2,,,1,1,,1,2,,1,2,,1,1,,1,1,,1,1,,1,2,,1,2,,1,2,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,3,,,3,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goianinha,48,147,,48,147,,42,123,,41,124,,36,111,,35,112,,22,119,,21,117,,19,144,,20,111,,15,104,,13,96,,12,87,,8,80,,8,66,,8,66,,8,66,,4,63,,62,2,,3,57,,3,49,,2,53,,2,52,,2,52,,2,20,,1,48,,1,46,,,44,,,39,,,39,,,39,,,39,,,38,,,36,,,37,,,36,,,36,,,36,,,26,,,21,,,21,,,21,,,21,,,18,,,18,,,18,,,18,,,18,,,18,,,18,,,18,,,18,,,18,,,18,,,18,,,,18,,,,16,,,16,,,15,,,,3,,,,3,,,3,,,,2,,,1,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,
Governador Dix-Sept Rosado,9,51,,9,51,,7,47,,7,47,,7,38,,7,38,,7,39,,7,37,,6,37,,6,37,,6,34,,6,32,,5,29,,5,30,,3,27,,3,27,,3,26,,1,25,,24,1,,1,25,,,17,,,20,,,22,,,22,,,20,,,18,,,17,,,18,,,17,,,17,,,16,,,16,,,16,,,16,,,17,,,17,,,14,,,12,,,11,,,11,,,11,,,11,,,11,,,9,,,9,,,9,,,9,,,10,,,10,,,11,,,11,,,10,,,10,,,10,,,10,,,,10,,,,10,,,10,,,7,,,,4,,,,4,,,4,,,,4,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grossos,15,72,1,15,72,1,14,55,1,14,55,1,12,45,1,12,45,1,10,52,1,6,50,1,6,20,1,6,49,1,6,41,1,5,37,1,5,30,1,5,27,1,5,25,1,5,25,1,5,22,1,6,21,1,21,6,1,6,17,1,6,13,1,5,14,,4,10,1,3,10,1,3,10,1,2,9,,1,10,,1,7,,,5,,,5,,,5,,,5,,,5,,,6,,,6,,,6,,,5,,,6,,,5,,,3,,,3,,,3,,,3,,,2,,,2,,,2,,,2,,,2,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,,3,,,,3,,,2,,,2,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guamaré,76,139,4,76,139,3,55,109,3,54,110,3,46,96,1,42,98,1,38,83,1,36,70,1,26,67,1,22,76,,21,70,,17,62,,16,62,,17,55,,14,52,,13,52,,12,52,,11,52,,40,11,,10,40,,10,36,,10,36,,10,37,,10,37,,10,67,,9,35,,6,30,,6,30,,5,30,,5,29,,4,25,,4,25,,4,24,,2,21,,1,26,,1,26,,1,26,,,23,,,20,,,20,,,20,,,21,,,21,,,21,,,21,,,21,,,21,,,22,,,22,,,24,,,24,,,24,,,24,,,23,,,26,,,,26,,,,26,,,27,,,24,,,,21,,,,23,,,24,,,,24,,,6,,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,
Ielmo Marinho,17,22,2,17,22,2,14,16,1,12,17,1,12,11,1,12,11,1,11,6,1,11,6,1,10,6,,12,9,,12,9,,10,9,,9,4,,7,4,,1,3,,1,3,,1,2,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,1,1,,1,1,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ipanguaçu,33,34,5,33,34,5,30,20,5,30,20,5,26,20,5,26,20,5,24,17,4,24,16,4,22,18,4,22,20,4,22,15,4,20,15,4,20,15,4,19,14,4,18,14,3,18,14,3,18,14,3,17,14,3,10,17,3,12,8,3,12,9,3,12,9,3,11,11,2,11,10,2,11,9,2,10,8,2,10,9,2,9,8,1,9,9,1,9,8,1,9,8,1,9,8,1,8,8,1,8,5,1,4,19,1,4,17,1,4,17,1,4,2,1,2,3,1,2,5,1,2,6,,2,1,,2,1,,1,,,1,,,,,,,,,,,,,1,,,1,,,2,,,2,,,2,,,2,,,1,,,,1,,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ipueira,2,12,,2,12,,2,11,,2,11,,2,10,,2,10,,2,9,,2,9,,2,8,,2,8,,1,8,,1,9,,1,9,,,9,,,8,,,8,,,7,,,7,,7,,,,7,,,7,,,7,,,7,,,7,,,6,,,6,,,6,,,6,,,6,,,6,,,5,,,5,,,5,,,5,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,3,,,3,,,2,,,2,,,,2,,,,2,,,2,,,2,,,,2,,,,2,,,3,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Itajá,17,21,1,17,21,1,15,18,1,15,18,1,14,12,1,12,13,1,10,14,1,9,13,1,8,9,1,8,10,1,7,10,1,6,10,1,6,7,1,4,9,,4,8,,4,8,,4,8,,4,8,,7,4,,4,7,,3,7,,3,6,,4,6,,4,6,,4,6,,3,6,,3,5,,3,5,,3,2,,3,1,,3,1,,2,2,,1,3,,1,3,,1,2,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,1,,,,1,,,,2,,,2,,,2,,,,2,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Itaú,13,20,,13,20,,13,16,,13,16,,13,16,,13,16,,12,16,,12,14,,12,12,,12,12,,12,11,,12,11,,12,13,,12,13,,12,11,,12,11,,12,11,,12,10,,10,12,,11,4,,1,2,,,2,,,2,,,2,,,2,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaçanã,8,10,,8,11,,8,9,,6,10,,6,7,,6,7,,6,12,,5,6,,5,8,,5,20,,5,6,,5,4,,3,4,,3,2,,3,2,,3,2,,3,3,,3,3,,3,3,,3,3,,3,2,,3,2,,3,2,,3,2,,3,1,,3,1,,3,1,,3,1,,3,1,,3,1,,3,1,,3,2,,3,2,,3,1,,3,1,,2,2,,2,2,,2,2,,2,1,,2,1,,1,2,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,2,,,,2,,,,3,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jandaíra,3,9,,3,9,,3,7,,3,7,,1,6,,1,6,,1,6,,1,6,,1,5,,,5,,,5,,,5,,,5,,,4,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,2,,,2,,,2,,,2,,,2,,,,2,,,,2,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janduís,1,3,1,1,3,,1,3,,1,3,,1,3,,1,3,,1,5,,1,5,,1,5,,1,7,,1,4,,1,2,,1,2,,1,2,,,3,,,3,,,3,,,3,,3,,,,3,,,2,,,2,,,1,,,1,,,2,,,2,,,2,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Januário Cicco,2,10,,2,10,,2,10,,2,10,,2,9,,2,9,,2,7,,2,7,,2,7,,2,8,,2,8,,2,8,,2,8,,2,10,,1,10,,1,10,,1,10,,1,8,,7,1,,1,7,,1,7,,1,7,,1,8,,1,8,,1,8,,1,8,,,8,,,8,,,8,,,7,,,7,,,7,,,7,,,7,,,7,,,7,,,7,,,8,,,8,,1,7,,1,5,,1,5,,1,5,,1,4,,1,4,,1,4,,1,4,,1,4,,1,4,,1,4,,,4,,,4,,,5,,,5,,,5,,,,2,,,,2,,,2,,,2,,,,1,,,,1,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japi,4,9,,4,9,,2,9,,2,9,,2,5,,2,5,,,6,,,6,,,6,,,4,,,4,,,4,,,3,,,2,,,2,,,2,,,2,,,2,,2,,,,3,,,3,,,3,,,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jardim de Angicos,1,2,,1,2,,1,2,,1,2,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,,,1,,,1,,,1,,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jardim de Piranhas,5,35,1,5,35,1,2,24,,2,24,,,21,,,21,,,17,,,17,,,18,,,21,,,19,,,19,,,17,,,12,,,10,,,10,,,10,,,10,,10,,,,9,,,10,,,10,,,10,,,10,,,9,,,7,,,7,,,7,,,7,,,7,,,7,,,7,,,7,,,9,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,4,,,,4,,,,3,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jardim do Seridó,11,14,,11,14,,9,12,,9,12,,9,10,,7,11,,4,15,,4,14,,3,15,,3,16,,3,16,,2,15,,2,15,,1,15,,1,15,,1,15,,1,16,,1,13,,11,1,,1,11,,,10,,,10,,,11,,,10,,,10,,,5,,,5,,,4,,,4,,,4,,,4,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,3,,,,3,,,,4,,,4,,,4,,,,4,,,,4,,,4,,,,3,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
João Câmara,36,36,2,36,36,2,28,30,2,27,31,2,16,19,2,12,22,1,10,22,1,10,20,1,6,19,1,6,25,1,5,18,1,5,16,1,4,14,1,3,11,,3,9,,3,9,,3,9,,3,9,,8,3,,3,7,,3,6,,3,7,,3,5,,3,5,,3,5,,3,3,,3,5,,3,5,,3,5,,3,5,,3,5,,3,4,,2,3,,2,5,,2,9,,1,5,,1,5,,1,5,,1,3,,,2,,,2,,,2,,,2,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,,3,,,,3,,,3,,,2,,,,3,,,,3,,,3,,,,3,,,2,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
João Dias,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,2,,,2,,,2,,,2,,,2,,2,,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,1,,,1,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
José da Penha,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,4,,,4,,,4,,,4,,,4,,,3,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,1,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jucurutu,14,75,,14,75,,13,50,,13,50,,12,49,,11,50,,6,40,,5,35,,3,33,,3,34,,3,28,,3,29,,3,28,,2,28,,1,28,,1,28,,1,23,,1,23,,19,1,,1,16,,1,14,,,15,,,15,,,14,,,13,,,10,,,7,,,8,,,7,,,7,,,6,,,6,,,7,,,7,,,9,,,9,,,9,,,9,,,7,,,5,,,5,,,5,,,5,,,6,,,6,,,6,,,6,,,6,,,7,,,7,,,7,,,9,,,9,,,9,,,7,,,,7,,,,7,,,6,,,4,,,,3,,,,3,,,3,,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jundiá,2,4,,2,4,,2,4,,1,5,,1,4,,,5,,,5,,,4,,,5,,,5,,,5,,,5,,,4,,,4,,,2,,,2,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,2,,,2,,,2,,,,2,,,,2,,,2,,,1,,,,1,,,,1,,,1,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Lagoa d'Anta,,8,,,8,,1,5,,1,5,,1,5,,1,5,,1,4,,1,4,,,4,,,4,,1,4,,1,4,,1,4,,1,3,,,4,,,4,,,4,,,4,,3,,,,3,,,2,,,2,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,1,,,1,,,1,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,2,,,2,,,2,,,1,,,1,,,1,,,,1,,,,1,,,1,,,1,,,,2,,,,2,,,2,,,,2,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Lagoa de Pedras,3,7,1,3,7,1,3,7,1,3,7,1,3,6,1,3,6,1,3,6,1,3,6,1,3,7,1,2,8,1,2,7,1,2,7,1,2,7,1,2,7,1,2,7,1,2,7,1,2,7,1,1,8,1,6,1,1,1,6,1,1,5,1,1,5,1,1,5,1,1,5,1,1,4,1,1,3,1,1,3,1,1,4,1,1,4,1,1,4,1,1,4,1,1,4,1,1,4,1,1,4,1,1,4,1,1,4,1,1,3,1,1,3,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,,3,1,,3,,,3,,,3,,,3,,,3,,,,3,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
