municipio,confirmado_04_06,suspeito_04_06,morte_04_06,confirmado_03_06,suspeito_03_06,morte_03_06,confirmado_02_06,suspeito_02_06,morte_02_06,confirmado_01_06,suspeito_01_06,morte_01_06,confirmado_30_05,suspeito_30_05,morte_30_05,confirmado_29_05,suspeito_29_05,morte_29_05,confirmado_27_05,suspeito_27_05,morte_27_05,confirmado_26_05,suspeito_26_05,morte_26_05,confirmado_25_05,suspeito_25_05,morte_25_05,confirmado_23_05,suspeito_23_05,morte_23_05,confirmado_22_05,suspeito_22_05,morte_22_05,confirmado_21_05,suspeito_21_05,morte_21_05,confirmado_20_05,suspeito_20_05,morte_20_05,confirmado_19_05,suspeito_19_05,morte_19_05,confirmado_18_05,suspeito_18_05,morte_18_05,confirmado_17_05,suspeito_17_05,morte_17_05,confirmado_16_05,suspeito_16_05,morte_16_05,confirmado_15_05,suspeito_15_05,morte_15_05,suspeito_14_05,confirmado_14_05,morte_14_05,confirmado_13_05,suspeito_13_05,morte_13_05,confirmado_12_05,suspeito_12_05,morte_12_05,confirmado_11_05,suspeito_11_05,morte_11_05,confirmado_10_05,suspeito_10_05,morte_10_05,confirmado_09_05,suspeito_09_05,morte_09_05,confirmado_08_05,suspeito_08_05,morte_08_05,confirmado_07_05,suspeito_07_05,morte_07_05,confirmado_06_05,suspeito_06_05,morte_06_05,confirmado_05_05,suspeito_05_05,morte_05_05,confirmado_04_05,suspeito_04_05,morte_04_05,confirmado_03_05,suspeito_03_05,morte_03_05,confirmado_02_05,suspeito_02_05,morte_02_05,confirmado_01_05,suspeito_01_05,morte_01_05,confirmado_30_04,suspeito_30_04,morte_30_04,confirmado_29_04,suspeito_29_04,morte_29_04,confirmado_28_04,suspeito_28_04,morte_28_04,confirmado_27_04,suspeito_27_04,morte_27_04,confirmado_26_04,suspeito_26_04,morte_26_04,confirmado_25_04,suspeito_25_04,morte_25_04,confirmado_24_04,suspeito_24_04,morte_24_04,confirmado_23_04,suspeito_23_04,morte_23_04,confirmado_22_04,suspeito_22_04,morte_22_04,confirmado_21_04,suspeito_21_04,morte_21_04,confirmado_20_04,suspeito_20_04,morte_20_04,confirmado_18_04,suspeito_18_04,morte_18_04,confirmado_17_04,suspeito_17_04,morte_17_04,confirmado_16_04,suspeito_16_04,morte_16_04,confirmado_15_04,suspeito_15_04,morte_15_04,confirmado_14_04,suspeito_14_04,morte_14_04,confirmado_13_04,suspeito_13_04,morte_13_04,confirmado_12_04_,suspeito_12_04,morte_12_04,confirmado_11_04,suspeito_11_04,morte_11_04,confirmado_10_04,suspeito_10_04,morte_10_04,confirmado_09_04,suspeito_09_04,morte_09_04,confirmado_08_04,suspeito_08_04,morte_08_04,confirmado_07_04,suspeito_07_04,morte_07_04,morte_06_04,confirmado_05_04,suspeito_05_04,morte_05_04,morte_04_04,confirmado_03_04,suspeito_03_04,morte_03_04,confirmado_02_04,suspeitos_02_04,morte_02_04,confirmado_01_04,suspeito_01_04,morte_01_04,morte_31_03,confirmado_30_03,suspeitos_30_03,morte_30_03,morte_29_03,confirmados_28_03,suspeitos_28_03,morte_28_03,confirmados_27_03,suspeitos_27_03,morte_27_03,morte_26_03,confirmados_25_03,suspeitos_25_03,morte_25_03,confirmados_24_03,suspeitos_24_03,morte_24_03,morte_23_03,confirmados_22_03,suspeitos_22_03,morte_22_03,morte_21_03,confirmados_20_03,suspeitos_20_03,morte_20_03,morte_19_03,confirmados_18_03,suspeitos_18_03,morte_18_03,morte_17_03,confirmados_16_03,suspeitos_16_03,morte_16_03,morte_15_03,morte_14_03,confirmados_13_03,suspeitos_13_03,morte_13_03,morte_12_03,suspeitos_11_03,suspeitos_10_03,suspeitos_06_03,suspeitos_05_03,suspeitos_03_03,suspeitos_02_03,suspeitos_28_02
Caicó,64,360,1,60,361,1,50,330,1,46,330,1,35,296,1,34,297,1,29,250,1,27,242,1,23,243,1,20,256,1,17,241,,17,233,,15,219,,14,207,,14,207,,14,207,,10,210,,8,204,,196,8,,8,182,,5,171,,5,204,,4,182,,3,183,,2,163,,2,153,,2,148,,1,145,,1,144,,1,147,,1,147,,1,148,,1,140,,1,131,,1,99,,1,98,,1,98,,1,98,,1,94,,1,51,,,51,,,51,,,51,,,41,,,41,,,41,,,41,,,41,,,41,,,42,,,42,,,43,,,43,,,41,,,1,,,,1,,,,1,,,1,,,1,,,2,15,,,1,15,,,17,,,,3,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
Campo Grande,2,4,,2,4,,2,4,,2,4,,2,4,,2,4,,2,6,,1,3,,1,2,,1,3,,1,3,,1,4,,1,4,,1,4,,1,3,,1,3,,1,3,,1,3,,3,1,,1,3,,1,4,,1,4,,1,3,,1,2,,,3,,,3,,,2,,,2,,,3,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,2,,,2,,,2,,,2,,,1,,,2,,,2,,,2,,1,1,,,1,1,,,1,2,,,3,,,3,,,,1,,,,1,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Campo Redondo,9,14,,9,14,,8,8,,8,8,,6,7,,4,9,,4,8,,4,8,,4,6,,4,7,,4,5,,4,4,,3,3,,3,3,,3,3,,3,3,,3,1,,3,1,,1,3,,3,1,,3,1,,2,1,,2,1,,2,1,,2,1,,2,1,,1,2,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,2,,,1,3,,1,3,,1,3,,1,4,,1,2,,1,2,,,1,,,,,,,,,,,,,,,2,,,2,,,3,,,4,,,4,,,2,,,3,,,2,,,3,,,1,,,,1,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canguaretama,56,46,7,56,46,7,54,42,7,54,42,7,54,40,7,52,41,7,52,44,7,52,43,7,48,42,7,45,44,7,43,42,7,43,41,7,42,43,7,39,43,7,38,43,7,38,43,7,38,42,7,38,39,7,40,37,7,32,40,6,30,36,5,28,38,5,28,40,5,28,40,5,26,33,4,26,27,4,22,29,4,17,28,4,17,27,4,17,25,4,16,24,3,15,25,3,14,21,3,12,26,3,11,40,3,11,38,3,11,36,3,11,33,3,11,15,3,11,16,3,7,21,2,6,17,2,6,17,1,5,11,1,5,11,1,4,12,1,4,12,1,3,13,,3,13,,,17,,,17,,,17,,,16,,,12,,,12,,,,12,,,,11,,,10,,,8,,,,6,,,,6,,,6,,,,6,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Caraúbas,44,21,,41,24,,34,12,,34,12,,33,4,,33,4,,19,2,,18,1,,16,2,,16,5,,11,2,,8,2,,7,2,,5,4,,5,3,,5,3,,5,3,,5,3,,3,5,,5,3,,4,2,,4,2,,6,5,,6,7,,6,1,,5,7,,4,7,,4,7,,4,7,,4,7,,2,7,,2,6,,2,6,,2,6,,1,9,,1,8,,1,8,,1,8,,1,6,,1,9,,1,9,,1,7,,1,7,,1,6,,1,6,,1,6,,1,7,,1,7,,1,9,,1,9,,1,9,,1,9,,1,9,,1,9,,1,10,,,1,10,,,1,6,,,6,,,6,,,,4,,,,5,,,5,,,,5,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Carnaúba dos Dantas,4,58,2,4,58,2,2,47,1,2,47,1,2,27,1,2,27,1,2,25,1,1,20,1,1,20,1,1,21,1,1,18,1,1,17,1,1,16,1,1,13,1,1,13,1,1,13,1,1,13,1,1,13,1,11,1,1,1,10,1,1,9,1,1,9,1,1,6,1,1,6,1,1,6,1,1,6,1,1,6,1,1,4,1,1,4,1,1,4,1,1,4,1,1,4,1,1,4,1,1,5,1,1,5,1,1,3,1,1,3,1,1,3,1,1,3,,1,5,,,6,,,4,,,4,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,1,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carnaubais,21,36,,21,36,,15,33,,15,33,,14,28,,11,31,,9,30,,9,30,,7,31,,5,22,,1,17,,1,17,,1,17,,2,15,,2,15,,2,15,,2,15,,2,12,,12,2,,2,12,,1,12,,1,11,,1,11,,1,11,,1,11,,1,10,,1,10,,1,10,,1,10,,1,10,,1,10,,1,10,,1,10,,1,10,,1,11,,1,10,,1,10,,1,10,,1,10,,1,10,,1,10,,1,10,,1,10,,1,10,,1,10,,1,10,,1,10,,1,10,,1,10,,,11,,1,11,,1,11,,1,11,,1,10,,1,11,,,1,12,,,1,12,,1,11,,1,10,,,1,9,,,,10,,,10,,,,10,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceará-Mirim,127,218,13,125,219,13,115,189,8,110,194,7,94,157,7,78,174,7,67,169,5,64,154,5,55,147,5,50,149,5,48,142,5,44,141,5,38,122,5,31,97,5,26,86,3,26,86,3,23,85,2,19,83,2,75,16,2,14,72,2,12,68,2,13,68,2,15,57,2,15,56,2,14,57,2,14,52,2,14,54,2,12,58,2,12,57,2,12,53,2,12,48,2,12,46,2,12,48,2,11,47,2,11,45,2,10,43,1,10,43,1,10,45,1,10,39,1,9,39,1,8,39,,7,36,,7,36,,7,35,,5,35,,5,36,,5,37,,5,36,,3,42,,3,42,,3,42,,3,43,,3,43,,3,41,,3,42,,,3,41,,,3,37,,2,37,,1,21,,,,8,,,,8,,,7,,,,7,,,2,,,,2,,,,1,,,,1,,,,1,,,,,,,,,,,,,,
Cerro Corá,1,22,1,1,22,1,1,21,1,1,21,1,1,20,1,1,20,1,1,20,1,1,20,1,1,20,1,1,18,1,1,16,1,1,16,1,1,17,1,1,17,1,1,16,1,1,16,1,1,15,1,1,14,1,14,1,1,1,14,1,1,15,1,1,15,1,1,13,1,1,13,1,1,13,1,1,13,1,1,14,1,1,14,1,1,14,1,1,15,1,1,13,1,1,13,1,1,13,1,1,12,1,1,11,1,1,11,1,1,11,1,1,11,1,1,8,1,1,8,1,1,8,1,1,8,1,1,8,1,1,5,1,1,5,1,1,5,1,1,5,1,1,6,1,1,8,1,,8,1,,8,,,9,,,9,,,4,,,4,,,,4,,,,2,,,2,,,1,,,,1,,,,1,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronel Ezequiel,,2,,,2,,,1,,,1,,,1,,,1,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
