municipio,confirmado_30_04,suspeito_30_04,confirmado_29_04,suspeito_29_04,confirmado_28_04,suspeito_28_04,confirmado_27_04,suspeito_27_04,confirmado_26_04,suspeito_26_04,confirmado_25_04,suspeito_25_04,confirmado_24_04,suspeito_24_04,confirmado_23_04,suspeito_23_04,confirmado_22_04,suspeito_22_04,confirmado_21_04,suspeito_21_04,confirmado_20_04,suspeito_20_04,confirmado_18_04,suspeito_18_04,confirmado_17_04,suspeito_17_04,confirmado_16_04,suspeito_16_04,confirmado_15_04,suspeito_15_04,confirmado_14_04,suspeito_14_04,confirmado_13_04,suspeito_13_04,confirmado_12_04_,suspeito_12_04,confirmado_11_04,suspeito_11_04,confirmado_10_04,suspeito_10_04,confirmado_09_04,suspeito_09_04,confirmado_08_04,suspeito_08_04,confirmado_07_04,suspeito_07_04,confirmado_05_04,suspeito_05_04,confirmado_03_04,suspeito_03_04,confirmado_02_04,suspeitos_02_04,confirmado_01_04,suspeito_01_04,confirmado_30_03,suspeitos_30_03,confirmados_28_03,suspeitos_28_03,confirmados_27_03,suspeitos_27_03,confirmados_25_03,suspeitos_25_03,confirmados_24_03,suspeitos_24_03,confirmados_22_03,suspeitos_22_03,confirmados_20_03,suspeitos_20_03,confirmados_18_03,suspeitos_18_03,confirmados_16_03,suspeitos_16_03,confirmados_13_03,suspeitos_13_03,suspeitos_11_03,suspeitos_10_03,suspeitos_06_03,suspeitos_05_03,suspeitos_03_03,suspeitos_02_03,suspeitos_28_02
Mossoró,174,274,164,276,117,294,112,271,112,249,111,214,110,181,106,170,106,165,105,141,104,146,92,123,89,122,84,124,84,125,79,137,77,156,67,179,65,183,63,189,63,185,63,166,63,140,59,133,43,141,21,148,20,138,16,131,16,132,5,142,2,151,1,90,1,59,,14,,5,,3,,2,2,2,,,,,
Natal,567,2518,519,2450,402,2382,396,2136,397,2097,370,2079,359,1797,335,1715,304,1726,283,1549,279,1561,236,1234,204,1242,172,1272,171,1279,159,1350,145,1498,137,1556,131,1554,117,1569,116,1500,112,1405,116,1291,113,1253,77,1203,56,1126,48,930,36,501,34,504,19,569,13,532,9,200,9,123,5,73,1,47,1,20,1,9,8,9,3,2,3,4,5
Nísia Floresta,8,8,5,7,5,9,5,7,5,6,5,6,3,2,1,3,1,3,1,3,1,3,1,2,1,2,1,2,1,2,1,2,,3,,5,,6,,6,,6,,6,,6,,6,,7,,5,,4,,3,,3,,3,,3,,3,,3,,3,,2,,2,,,,,,,,,
Nova Cruz,2,2,2,2,,3,,2,,2,,2,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,2,,2,,2,,2,,2,,1,,4,,4,,5,,5,,2,,2,,2,,2,,5,,1,,1,,,,,,,,,,,,,,,
Olho-d'Água do Borges,,1,,1,,5,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,
Ouro Branco,1,1,1,1,1,2,1,2,1,2,,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,2,,2,,2,,2,,2,,2,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraná,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraú,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,7,,9,,9,,9,,8,,8,,8,,8,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parazinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parelhas,,20,,19,,16,,13,,13,,13,,13,,12,,13,,12,,12,,9,,9,,9,,9,,11,,12,,11,,11,,11,,10,,9,,6,,7,,6,,6,,5,,3,,3,,3,,3,,4,,2,,,,,,,,,,,,,,,
Parnamirim,116,434,107,428,97,412,94,384,94,373,93,370,92,310,81,264,73,269,70,226,67,229,61,180,57,182,43,186,43,187,41,205,39,250,33,267,31,269,32,276,30,271,30,254,28,248,27,240,17,224,13,199,11,171,10,76,9,77,4,81,4,83,4,29,3,20,1,16,,13,,5,,4,2,2,1,2,1,1,1
Passa e Fica,1,,1,,1,1,1,1,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,
Passagem,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,
Patu,,4,,3,,3,,3,,3,,3,,2,,2,,2,,2,,2,,2,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,
Pau dos Ferros,7,25,5,24,3,28,3,19,3,19,3,19,3,16,3,12,2,11,1,13,1,13,1,5,1,4,1,4,1,4,1,4,,8,,10,,11,,11,,11,,9,,6,,5,,9,,7,,9,,5,,5,,5,,4,,1,,,,,,,,,,,,,,,,,
Pedra Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedra Preta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedro Avelino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,2,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedro Velho,,4,,5,,6,,5,,5,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,4,,4,,4,,4,,4,,4,,4,,5,,3,,3,,1,,1,,2,,2,,2,,,,,,,,,,,,,,,,,
Pendências,1,1,,1,,1,,2,,2,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,2,,2,,2,,1,,1,,1,,1,,,,,,,,1,,,,,,,,,,,
Pilões,,1,,1,,1,,1,,1,,1,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,
Poço Branco,1,1,1,3,1,8,1,6,1,5,1,4,1,1,1,4,1,5,1,1,1,1,1,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portalegre,,2,,2,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porto do Mangue,,2,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pureza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,2,,3,,3,,3,,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Fernandes,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,2,,2,,2,,2,,1,,1,,1,,1,,,,,,,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,
Rafael Godeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riacho da Cruz,,1,,1,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,3,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
Riacho de Santana,,1,,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riachuelo,,2,,2,,2,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,2,,2,,2,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,
Rio do Fogo,,3,,3,,3,,3,,3,,4,,3,,3,,3,,3,,3,,3,,3,,3,,3,,4,,4,,4,,4,,4,,3,,3,,3,,3,,2,,2,,2,,3,,3,,3,,3,,3,,3,,,,,,,,,,,,,,,
Rodolfo Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruy Barbosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,
Santa Cruz,11,51,10,60,8,49,8,45,4,41,4,44,3,28,3,26,3,24,3,24,3,26,2,7,2,7,1,8,1,8,1,7,1,9,1,10,1,11,,13,,14,,12,,10,,10,,12,,10,,7,,3,,3,,4,,5,,2,,2,,2,,2,,,,,,,,,,,
Santa Maria,1,3,1,3,1,3,,4,,4,,3,,3,,3,,3,,3,,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,
Santana do Matos,,2,,2,,2,,2,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,
Santana do Seridó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santo Antônio,8,15,8,18,6,21,6,17,6,16,6,15,6,11,6,18,5,18,5,11,5,11,4,7,4,7,3,8,3,8,3,7,2,12,2,12,1,13,1,11,1,11,1,9,1,7,1,7,1,7,,3,,3,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,
São Bento do Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Bento do Trairí,,12,,9,,9,,9,,9,,9,,7,,7,,7,,6,,6,,3,,3,,3,,3,,3,,3,,3,,3,,2,,,,,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Fernando,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,,1,,1,,1,,,,,,,,,,,,,
São Francisco do Oeste,,,,1,,2,,1,,1,,1,,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,
São Gonçalo do Amarante,47,159,44,158,42,135,42,129,42,126,41,138,39,104,39,88,34,91,33,76,32,78,30,46,28,46,26,46,26,46,24,52,22,71,20,84,19,86,11,107,11,107,11,100,11,85,10,79,9,59,1,62,1,39,2,18,1,18,,21,,23,,6,,4,,2,,,,,,,,,,,,,
São João do Sabugi,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,3,,3,,,,,,,,,,,,,,,,,
São José de Mipibu,12,24,9,25,8,28,8,18,8,18,5,20,5,15,5,15,5,15,4,10,4,10,4,9,2,9,2,9,2,9,2,10,,,2,16,2,17,1,20,1,20,1,19,1,20,1,21,1,21,1,20,1,18,1,6,1,6,,6,,6,,4,,4,,,,,,,,,,,,,,,
São José do Campestre,,3,,3,,4,,3,,3,,3,,4,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,4,,4,,4,,4,,4,,4,,4,,4,,4,,3,,,,,,,,,,,,,,,,,
São José do Seridó,,1,,2,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,
São Miguel,3,26,3,23,2,23,2,20,2,19,2,19,1,12,1,11,1,11,1,11,1,11,1,7,,7,,7,,7,,8,,8,,8,,8,,8,,4,,4,,3,,3,,3,,3,,3,,3,,3,,3,,3,,,,,,,,,,,,,,,,,,,
São Miguel do Gostoso,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,,2,,2,,2,,2,,2,,3,,3,,1,,1,,1,,1,,1,,2,,2,,1,,1,,1,,1,,,,,,,,,,,
São Paulo do Potengi,1,13,1,13,,10,,6,,6,,6,,7,,6,,5,,5,,5,,4,,4,,4,,4,,4,,4,,6,,5,,5,,5,,3,,2,,2,,3,,3,,2,,2,,2,,2,,1,,1,,,,,,,,,,,,,,,,,
São Pedro,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Rafael,5,8,5,8,3,7,3,5,3,5,3,5,3,2,3,2,1,4,1,2,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Tomé,,1,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Vicente,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,8,,8,,8,,8,,7,,8,,7,,7,,7,,5,,4,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senador Elói de Souza,,1,,2,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senador Georgino Avelino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serra Caiada,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,,,,,1,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,
Serra de São Bento,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serra do Mel,1,1,1,3,,4,,3,,3,,2,,2,,2,,2,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,
Serra Negra do Norte,1,4,1,2,1,2,1,2,1,2,1,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serrinha,,1,,2,,2,,2,,2,,1,,1,,1,,1,,1,,1,,,,1,,1,,1,,2,,2,,2,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serrinha dos Pintos,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Severiano Melo,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,,1,,1,,1,,1,,1,,3,,3,,3,,3,,3,,3,,3,,2,,2,,2,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sítio Novo,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Taboleiro Grande,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taipu,1,2,1,2,1,2,1,1,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,1,1,1,1,2,1,2,1,2,1,2,1,2,1,1,1,1,1,,1,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tangará,,2,,3,,1,,1,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tenente Ananias,4,4,3,4,2,6,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,,2,,2,,2,,2,,2,,1,1,1,,1,,1,,1,,1,,1,,,1,,2,,2,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,
Tenente Laurentino Cruz,,3,,2,,2,,2,,2,,1,,1,,1,,1,,1,,1,,2,,2,,2,,3,,2,,4,,2,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tibau,2,13,2,17,2,7,2,7,2,7,2,6,2,6,2,6,2,6,2,6,2,6,2,6,2,6,2,6,2,6,2,6,2,6,1,8,1,8,1,8,1,7,1,7,1,6,1,6,1,5,1,3,1,3,1,2,1,2,,3,,1,,4,,3,,2,,,,,,,,,,,,,
Tibau do Sul,,1,,1,,1,,1,,1,,,,,,1,,1,,,,,,,,,,,,,,1,,1,,1,,1,,1,,,,,,2,,2,,3,,3,,4,,3,,3,,3,,4,,1,,1,,1,,1,,1,,,,,,,,,
Timbaúba dos Batistas,,1,,1,,2,,1,,1,,1,,1,,2,,2,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,
Touros,1,4,1,4,1,15,1,12,1,12,1,12,1,1,1,7,1,7,1,1,1,1,1,1,,1,,1,,1,,2,,2,,2,,3,,4,,4,,3,,1,,1,,1,,1,,1,,1,,1,,3,,3,,1,,,,,,,,,,,,,,,,,
Triunfo Potiguar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umarizal,,1,,1,,2,,2,,2,,3,,3,,3,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,
Upanema,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Várzea,,,,3,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venha-Ver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,
Vera Cruz,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,2,,2,,2,,1,,1,,2,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Viçosa,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vila Flor,,,,,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Importados,6,26,10,58,9,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,31,5,32,5,40,3,38,2,30,2,27,1,28,,30,,26,,24,,10,,3,,3,,2,,1,1,1,,,,,
