municipio,confirmado_29_06,suspeito_29_06,morte_29_06,confirmado_26_06,suspeito_26_06,morte_26_06,confirmado_25_06,suspeito_25_06,morte_25_06,confirmado_24_06,suspeito_24_06,morte_24_06,confirmado_23_06,suspeito_23_06,morte_23_06,confirmado_22_06,suspeito_22_06,morte_22_06,confirmado_20_06,suspeito_20_06,morte_20_06,confirmado_19_06,suspeito_19_06,morte_19_06,confirmado_18_06,suspeito_18_06,morte_18_06,confirmado_17_06,suspeito_17_06,morte_17_06,confirmado_16_06,suspeito_16_06,morte_16_06,confirmado_15_06,suspeito_15_06,morte_15_06,confirmado_13_06,suspeito_13_06,morte_13_06,confirmado_12_06,suspeito_12_06,morte_12_06,confirmado_11_06,suspeito_11_06,morte_11_06,confirmado_10_06,suspeito_10_06,morte_10_06,confirmado_09_06,suspeito_09_06,morte_09_06,confirmado_08_06,suspeito_08_06,morte_08_06,confirmado_06_06,suspeito_06_06,morte_06_06,confirmado_05_06,suspeito_05_06,morte_05_06,confirmado_04_06,suspeito_04_06,morte_04_06,confirmado_03_06,suspeito_03_06,morte_03_06,confirmado_02_06,suspeito_02_06,morte_02_06,confirmado_01_06,suspeito_01_06,morte_01_06,confirmado_30_05,suspeito_30_05,morte_30_05,confirmado_29_05,suspeito_29_05,morte_29_05,confirmado_27_05,suspeito_27_05,morte_27_05,confirmado_26_05,suspeito_26_05,morte_26_05,confirmado_25_05,suspeito_25_05,morte_25_05,confirmado_23_05,suspeito_23_05,morte_23_05,confirmado_22_05,suspeito_22_05,morte_22_05,confirmado_21_05,suspeito_21_05,morte_21_05,confirmado_20_05,suspeito_20_05,morte_20_05,confirmado_19_05,suspeito_19_05,morte_19_05,confirmado_18_05,suspeito_18_05,morte_18_05,confirmado_17_05,suspeito_17_05,morte_17_05,confirmado_16_05,suspeito_16_05,morte_16_05,confirmado_15_05,suspeito_15_05,morte_15_05,suspeito_14_05,confirmado_14_05,morte_14_05,confirmado_13_05,suspeito_13_05,morte_13_05,confirmado_12_05,suspeito_12_05,morte_12_05,confirmado_11_05,suspeito_11_05,morte_11_05,confirmado_10_05,suspeito_10_05,morte_10_05,confirmado_09_05,suspeito_09_05,morte_09_05,confirmado_08_05,suspeito_08_05,morte_08_05,confirmado_07_05,suspeito_07_05,morte_07_05,confirmado_06_05,suspeito_06_05,morte_06_05,confirmado_05_05,suspeito_05_05,morte_05_05,confirmado_04_05,suspeito_04_05,morte_04_05,confirmado_03_05,suspeito_03_05,morte_03_05,confirmado_02_05,suspeito_02_05,morte_02_05,confirmado_01_05,suspeito_01_05,morte_01_05,confirmado_30_04,suspeito_30_04,morte_30_04,confirmado_29_04,suspeito_29_04,morte_29_04,confirmado_28_04,suspeito_28_04,morte_28_04,confirmado_27_04,suspeito_27_04,morte_27_04,confirmado_26_04,suspeito_26_04,morte_26_04,confirmado_25_04,suspeito_25_04,morte_25_04,confirmado_24_04,suspeito_24_04,morte_24_04,confirmado_23_04,suspeito_23_04,morte_23_04,confirmado_22_04,suspeito_22_04,morte_22_04,confirmado_21_04,suspeito_21_04,morte_21_04,confirmado_20_04,suspeito_20_04,morte_20_04,confirmado_18_04,suspeito_18_04,morte_18_04,confirmado_17_04,suspeito_17_04,morte_17_04,confirmado_16_04,suspeito_16_04,morte_16_04,confirmado_15_04,suspeito_15_04,morte_15_04,confirmado_14_04,suspeito_14_04,morte_14_04,confirmado_13_04,suspeito_13_04,morte_13_04,confirmado_12_04,suspeito_12_04,morte_12_04,confirmado_11_04,suspeito_11_04,morte_11_04,confirmado_10_04,suspeito_10_04,morte_10_04,confirmado_09_04,suspeito_09_04,morte_09_04,confirmado_08_04,suspeito_08_04,morte_08_04,confirmado_07_04,suspeito_07_04,morte_07_04,morte_06_04,confirmado_05_04,suspeito_05_04,morte_05_04,morte_04_04,confirmado_03_04,suspeito_03_04,morte_03_04,confirmado_02_04,suspeito_02_04,morte_02_04,confirmado_01_04,suspeito_01_04,morte_01_04,morte_31_03,confirmado_30_03,suspeito_30_03,morte_30_03,morte_29_03,confirmado_28_03,suspeito_28_03,morte_28_03,confirmado_27_03,suspeito_27_03,morte_27_03,morte_26_03,confirmado_25_03,suspeito_25_03,morte_25_03,confirmado_24_03,suspeito_24_03,morte_24_03,morte_23_03,confirmado_22_03,suspeito_22_03,morte_22_03,morte_21_03,confirmado_20_03,suspeito_20_03,morte_20_03,morte_19_03,confirmado_18_03,suspeito_18_03,morte_18_03,morte_17_03,confirmado_16_03,suspeito_16_03,morte_16_03,morte_15_03,morte_14_03,confirmado_13_03,suspeito_13_03,morte_13_03,morte_12_03,suspeito_11_03,suspeito_10_03,suspeito_06_03,suspeito_05_03,suspeito_03_03,suspeito_02_03,suspeito_28_02
Acari,24,99,1,10,101,,24,99,1,9,92,,9,78,,9,133,,9,133,,8,122,,8,122,,8,122,,8,122,,8,117,,8,117,,8,117,,9,117,,8,117,,6,119,,6,119,,3,109,,3,111,,3,111,,3,111,,3,101,,3,101,,3,91,,3,92,,3,91,,3,87,,3,86,,3,87,,3,82,,2,76,,1,76,,1,73,,1,72,,1,72,,1,71,,2,72,,71,2,,2,67,,2,64,,2,62,,2,60,,2,60,,2,60,,2,59,,1,59,,1,57,,1,57,,1,56,,1,56,,1,56,,2,56,,1,57,,1,54,,1,53,,1,52,,1,52,,1,50,,1,51,,1,50,,1,49,,1,49,,1,36,,1,35,,1,35,,1,35,,1,35,,,36,,,37,,,37,,,37,,,37,,,30,,,31,,,,,,,,28,,,29,,,25,,,,10,,,,10,,,10,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Açu,423,396,15,321,329,14,423,396,15,298,298,11,283,261,10,281,308,10,262,315,9,219,283,9,219,283,9,219,283,9,217,284,9,206,252,9,204,254,9,203,255,9,200,255,9,172,262,9,168,265,9,168,267,9,146,221,8,146,237,7,141,242,7,141,242,7,133,208,5,129,212,5,121,187,5,113,198,4,110,191,4,109,183,4,100,185,4,98,182,4,96,166,4,89,167,4,84,155,4,80,139,4,71,119,4,71,119,4,71,117,4,65,114,4,99,64,4,60,84,4,56,76,4,54,76,3,55,67,3,55,65,3,53,55,3,49,46,2,46,42,2,42,41,2,42,38,2,42,37,2,42,38,2,42,38,2,35,41,2,35,43,2,31,37,2,29,38,2,29,38,2,29,32,1,25,30,1,24,33,1,24,29,1,20,23,1,19,25,1,18,15,1,16,15,1,13,18,1,13,18,,11,22,,10,29,,8,36,,8,36,,8,37,,8,32,,8,31,,8,32,,,8,33,,,6,37,,1,33,,1,29,,,1,23,,,1,24,,,29,,,,29,,,10,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Afonso Bezerra,44,25,4,37,26,4,44,25,4,32,21,4,31,17,3,31,20,3,28,22,3,23,12,3,23,12,3,21,12,3,21,12,3,20,11,3,19,12,2,19,12,1,19,12,1,18,12,1,16,13,1,16,13,1,14,8,1,14,8,1,14,8,1,14,8,1,11,5,1,11,5,1,10,5,1,10,5,1,7,10,1,7,8,1,7,8,1,6,10,1,5,10,1,5,9,1,5,7,1,5,6,1,3,8,,3,8,,3,8,,3,8,,8,2,,2,6,,1,6,,1,6,,1,6,,1,6,,1,6,,1,5,,1,4,,,4,,,4,,,4,,,4,,,4,,,3,,,3,,,3,,,2,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,1,,,2,,,2,,,2,,,,,,,2,,,,2,,,1,,,1,,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Água Nova,1,1,,,,,1,1,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,2,,,2,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandria,15,18,2,10,17,1,15,18,2,10,14,1,10,10,1,10,11,1,10,11,1,9,6,1,8,6,1,8,6,1,8,6,1,7,4,1,7,4,1,7,4,1,6,4,1,6,4,1,6,4,1,6,4,1,6,3,1,6,3,1,6,3,1,6,3,1,5,3,1,5,3,1,5,2,1,5,2,1,5,2,1,5,2,1,5,2,1,5,3,1,5,3,1,5,2,1,5,2,1,5,2,1,5,2,1,5,2,1,5,1,1,5,1,1,1,5,1,5,1,1,4,2,,5,1,1,5,,1,5,,1,5,,1,4,,1,4,,1,4,,1,4,,1,4,,1,4,,1,4,1,1,4,,1,5,,1,1,21,1,1,5,1,1,5,1,1,5,1,1,,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,2,,,2,,,1,,,2,,,2,,,2,,,1,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Almino Afonso,14,15,,7,19,,14,15,,7,18,,6,17,,6,22,,6,22,,6,18,,6,18,,6,18,,6,18,,5,17,,5,17,,5,17,,5,17,,5,17,,5,17,,5,17,,2,15,,2,15,,2,15,,2,15,,1,15,,1,15,,1,12,,1,12,,1,11,,1,11,,1,11,,1,13,,1,12,,1,11,,1,11,,1,10,,1,10,,1,10,,1,10,,1,10,,10,1,,1,10,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,3,,,6,,,6,,,6,,,6,,,4,,,4,,,3,,,3,,,3,,,3,,,3,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,2,,,2,,,2,,,2,,,1,,,1,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alto do Rodrigues,177,95,6,124,151,6,177,95,6,115,129,6,109,75,6,109,98,6,108,100,6,103,87,6,102,87,6,102,87,6,101,87,6,93,70,6,93,70,6,93,70,6,92,70,6,73,70,6,73,70,6,72,70,6,61,67,6,61,67,6,61,67,6,61,67,6,49,61,6,49,61,6,43,52,6,37,58,4,31,66,4,28,59,3,24,60,3,23,60,3,22,57,3,20,55,2,20,55,2,16,56,2,15,57,2,14,57,1,13,57,1,12,52,1,46,10,1,9,45,1,5,44,1,5,43,1,5,35,1,4,35,1,4,33,1,3,32,1,2,28,1,2,26,1,2,24,1,2,24,1,2,23,1,2,23,1,2,24,1,2,24,1,2,22,,1,21,,1,21,,1,21,,1,17,,1,17,,1,16,,1,16,,1,16,,,11,,,11,,,11,,,11,,,11,,,12,,,12,,,12,,,11,,,9,,,9,,,10,,,,10,,,,10,,,10,,,8,,,,7,,,,7,,,7,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angicos,77,92,2,25,137,2,77,92,2,23,103,2,22,75,2,22,81,2,19,82,2,14,53,2,14,53,2,14,53,2,14,53,2,14,44,2,14,44,2,14,44,2,12,44,1,10,44,1,10,44,1,10,44,1,7,38,1,7,38,1,7,38,1,7,38,1,7,28,1,7,28,1,6,23,,5,24,,3,25,,3,24,,3,20,,3,21,,2,18,,2,18,,2,13,,2,12,,1,11,,1,11,,1,12,,1,12,,13,,,,9,,,9,,,9,,,8,,,8,,,7,,,7,,,7,,,7,,,7,,,7,,,7,,,7,,,8,,,8,,,6,,,5,,,5,,,5,,,5,,,6,,,6,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,6,,,6,,,6,,,12,,,,12,,,,12,,,11,,,8,,,,8,,,,8,,,8,,,,9,,,1,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,
Antônio Martins,3,7,1,3,10,,3,7,1,2,7,,2,6,,2,6,,2,6,,2,4,,2,4,,2,4,,2,4,,2,4,,2,4,,2,4,,2,4,,2,5,,2,5,,2,5,,2,5,,2,5,,2,5,,2,5,,2,5,,2,5,,2,5,,2,5,,2,4,,1,8,,1,8,,1,9,,1,9,,1,8,,1,7,,1,5,,1,5,,1,5,,1,5,,1,5,,5,1,,1,5,,1,5,,1,5,,,9,,,9,,,9,,,9,,,8,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apodi,740,113,9,713,118,9,740,113,9,659,131,8,616,92,8,617,116,8,630,119,8,482,104,8,468,104,8,457,105,8,442,105,8,434,74,8,426,74,8,418,74,8,411,74,7,384,75,7,364,84,7,358,102,7,312,92,7,312,113,7,308,117,7,301,126,7,284,88,7,274,98,6,248,72,6,208,111,5,198,93,4,198,91,3,186,85,3,167,176,2,155,155,2,148,152,2,131,124,2,119,101,2,106,62,2,102,64,2,94,70,2,92,72,2,39,79,2,67,35,2,48,61,2,54,71,2,38,56,2,37,56,2,37,34,2,35,34,1,36,12,1,36,13,1,22,90,1,22,89,1,22,89,1,21,89,1,15,109,1,15,94,1,11,123,1,11,55,1,8,27,1,7,26,1,7,9,1,7,13,1,7,12,1,7,8,1,5,10,1,5,6,1,5,6,1,5,6,1,5,8,1,5,8,1,4,10,1,3,10,1,3,9,1,2,11,,2,8,,2,7,,1,8,,,1,8,,,1,7,,1,7,,1,3,,,1,3,,,,4,,,4,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
